                       	basic_memmem	twoway_memmem	memmem
String HTXA6FB0O4SV<QW3CM[PWH2WMZF4IY, offset 79898:	106103	42919.8	7057.32
String 6, offset 163838:	101608	3695.6	3691.25
String [T4EJE89MDSP1Q9MJ4W?5@X77CROZ2, offset 1079:	992.898	165.945	129.215
String I1BCBA[EIFMFHQ@XFJV[U>Q3F7, offset 999:	843.406	493.918	137.652
String 9, offset 163838:	102137	3833.53	3692.35
String 7, offset 807:	582.312	27.4844	24.5703
String G<SYZM886>3J?@><7HDHYUA>=07EYBQ, offset 18632:	22039.6	647.289	1239.74
String F?02JRNBMYMI<TIZN[NA?VAES, offset 2731:	2507.53	1286.5	278.172
String 4, offset 163838:	101554	4029.62	3636.4
String 1GLDC@6[?ZDXW@APOVAZG68WL@@MZE2, offset 137:	160.281	14.9922	79.043
String WVU[0AH07J, offset 1381:	1052.44	100.391	324.555
String 0UYV, offset 49301:	30818.3	1092.8	25622
String YR5DM[FIQDFCZ=EOBQSWY, offset 931:	795.57	390.773	181.145
String 6, offset 163838:	102778	3828.07	3684.69
String 8, offset 163838:	102030	3812.37	3648.39
String 7BE4[2UF5MDRT1T, offset 7449:	4694.18	161.723	972.961
String DXW@APO2AZ, offset 147:	124.461	120.012	69.3477
String QM3J@OE3PY413DBMG, offset 3775:	3491.5	191.133	451.664
String FBD9RJ, offset 4458:	4622.3	2171.97	1434
String QXVG<8VKH, offset 91649:	118131	2318.84	19238.6
String 1, offset 2166:	1379.24	67.2578	43.5898
String 51TN, offset 9384:	5893.64	193.004	4709.57
String SLU8@<77JUVP6, offset 11601:	13668.8	443.664	1744.89
String 0, offset 163838:	102609	3765.59	3662.54
String 4, offset 163838:	102139	3883.31	3649.83
String BT98HTDMY[, offset 1755:	1496.35	643.422	349.594
String =C3TYG61=@?KNN89GQ=Q9MHOY>XSIZ, offset 710:	651.422	350.594	124.66
String JRN3MYMI2TIZN[N9?, offset 2735:	2569.6	1235.57	380.707
String Y6, offset 18239:	22047.5	571.715	26298.7
String E=<X7S5<FAOI4, offset 2503:	2272.81	115.211	378.332
String 52BS3CUPU3KU@W2, offset 11268:	7080.18	220.727	1462.31
String Z6, offset 22605:	28513.3	623.785	32328.6
String N4G4=QQMH48>2SIZOKA<C>GY@8=6, offset 724:	619.211	586.613	102.078
String 2, offset 611:	399.473	22.8203	20.6211
String 6[GPB, offset 41469:	25843.5	918.156	16387.6
String DCZCEDI2, offset 3838:	3612.85	158.07	875.461
String F2LVAHH5, offset 59813:	77153.9	31491.2	14585.4
String 6KJI04X9PW40HJ1IPRIT=>=V3>, offset 2393:	1589.54	55.6289	263.258
String AYESVW[9AU9O, offset 43093:	55647.7	1026.79	6621.16
String N1PJ@V0, offset 1961:	1671.79	86.2422	607.098
String JAPZ@SHK7, offset 5306:	5541.8	179.641	1088.05
String Y>WH@OQ7<<KG, offset 5489:	5517.14	160.234	843.273
String 8YK9Y4AX, offset 3077:	1958.91	86.5195	684.723
String >Y9, offset 841:	724.145	55.0508	638.441
String @QPQGLZPSF5T[=PJ[RNLP[@<BD, offset 6803:	7786.45	3408.15	616.598
String 5, offset 163838:	102568	3775.71	3631.16
String 0, offset 163838:	102629	3827.04	3656.36
String BO>@>1HVD9K=P4B, offset 1113:	901.594	672.234	200.641
