                       	basic_strstr	twoway_strstr	__strstr_sse2_unaligned	__strstr_sse2
Length  192/  9, alignment  1/ 3, found:	159.312	93.1562	41.75	83.375
Length  192/  9, alignment  0/ 9, fail :	150.188	82	43.2812	73.9375
Length  192/ 10, alignment  1/ 3, found:	186.469	104.875	42.625	89.4688
Length  192/ 10, alignment  0/ 9, fail :	177.812	94.2188	44.0625	81.5625
Length  192/ 11, alignment  1/ 3, found:	147.188	30.2188	38.2188	36.4375
Length  192/ 11, alignment  0/ 9, fail :	146.844	93.3438	40.0938	75.4688
Length  192/ 12, alignment  1/ 3, found:	197.781	285.031	46.25	106.969
Length  192/ 12, alignment  0/ 9, fail :	205.125	271.781	41.9688	104.062
Length  192/ 13, alignment  1/ 3, found:	173.75	141.5	40.3125	98.2812
Length  192/ 13, alignment  0/ 9, fail :	172.031	137.281	31.6875	93.0312
Length  192/ 14, alignment  1/ 3, found:	150.75	28.6875	41.4375	31.25
Length  192/ 14, alignment  0/ 9, fail :	146.062	18.9375	32.25	19.1562
Length  192/ 15, alignment  1/ 3, found:	150.688	27.6875	38.3438	31.1562
Length  192/ 15, alignment  0/ 9, fail :	146.062	18.125	32.5625	19.7188
Length  192/ 16, alignment  1/ 3, found:	149.5	27.25	38.8438	30.2188
Length  192/ 16, alignment  0/ 9, fail :	146	18.5	32.125	19.125
Length  224/  1, alignment  1/ 3, found:	167.219	22.5625	24.3125	19.9688
Length  224/  1, alignment  0/ 9, fail :	165.781	19.7188	24.8438	18.9062
Length  224/  2, alignment  1/ 3, found:	193.031	229.188	34.4688	319.062
Length  224/  2, alignment  0/ 9, fail :	180.656	207.219	32.875	306.094
Length  224/  3, alignment  1/ 3, found:	218.062	410	60.0625	296.312
Length  224/  3, alignment  0/ 9, fail :	190.812	409.469	50.4375	290.5
Length  224/  4, alignment  1/ 3, found:	211.344	318.031	42.5312	188.594
Length  224/  4, alignment  0/ 9, fail :	186.75	296.375	31.5625	175.375
Length  224/  5, alignment  1/ 3, found:	227.875	190.719	41	110.531
Length  224/  5, alignment  0/ 9, fail :	218.188	169.906	32.125	104.406
Length  224/  6, alignment  1/ 3, found:	219	324.719	63.4375	151.969
Length  224/  6, alignment  0/ 9, fail :	180.938	320.375	56.3125	141.5
Length  224/  7, alignment  1/ 3, found:	185.219	90.875	46.6875	119.25
Length  224/  7, alignment  0/ 9, fail :	182.25	83.5938	39.6562	129.75
Length  224/  8, alignment  1/ 3, found:	232	87.6562	46.2812	138.406
Length  224/  8, alignment  0/ 9, fail :	192.625	79.0938	39.1562	111.219
Length  224/  9, alignment  1/ 3, found:	228.438	483.875	56.0938	124.844
Length  224/  9, alignment  0/ 9, fail :	176.188	484.656	45.125	112.562
Length  224/ 10, alignment  1/ 3, found:	216.031	582.344	42.4375	114
Length  224/ 10, alignment  0/ 9, fail :	183.844	584.5	33.5	115.125
Length  224/ 11, alignment  1/ 3, found:	218.25	584.844	56.7188	115.281
Length  224/ 11, alignment  0/ 9, fail :	203.094	574.5	50	111.781
Length  224/ 12, alignment  1/ 3, found:	304.438	570.781	43.5312	106.406
Length  224/ 12, alignment  0/ 9, fail :	211.062	562.719	33.5625	107.531
Length  224/ 13, alignment  1/ 3, found:	172.844	34.4688	42.0312	35.6562
Length  224/ 13, alignment  0/ 9, fail :	171.406	28.5	32.375	31.6875
Length  224/ 14, alignment  1/ 3, found:	169.812	31.8125	44.6875	31.875
Length  224/ 14, alignment  0/ 9, fail :	165.969	18.5625	31.75	20.3438
Length  224/ 15, alignment  1/ 3, found:	167.094	30.5938	44.375	31.375
Length  224/ 15, alignment  0/ 9, fail :	166.406	18.5312	32.0625	21.2188
Length  224/ 16, alignment  1/ 3, found:	253.156	609.594	62.1562	115.625
Length  224/ 16, alignment  0/ 9, fail :	255.438	586.656	45.4375	110.031
Length  256/  1, alignment  1/ 3, found:	186.594	24.0625	27.5	21.4062
Length  256/  1, alignment  0/ 9, fail :	185.281	23.25	28.1562	22.5
Length  256/  2, alignment  1/ 3, found:	208.031	99.3125	38.0938	382.188
Length  256/  2, alignment  0/ 9, fail :	187.25	87.0938	39.2188	364.812
Length  256/  3, alignment  1/ 3, found:	251.812	149.875	52.4062	173.812
Length  256/  3, alignment  0/ 9, fail :	237.812	139.75	53.9062	164.5
Length  256/  4, alignment  1/ 3, found:	289.281	172.281	42.375	204.406
Length  256/  4, alignment  0/ 9, fail :	281.969	155.312	44.8125	194.906
Length  256/  5, alignment  1/ 3, found:	235.875	663.281	50.875	191.812
