
Results For: strncmp
len,align1,align2,strlen
22,4032,0,22,0.95
22,4016,0,22,0.944
22,4056,4016,22,0.93
22,4000,0,22,0.954
22,3984,0,22,0.937
22,4040,3984,22,0.927
23,0,0,23,0.958
23,23,0,23,0.93
23,2048,2047,23,0.881
23,2047,2048,23,0.809
23,4073,0,23,0.952
23,4080,0,23,0.957
23,4088,4080,23,0.878
23,4064,0,23,0.954
23,4048,0,23,0.959
23,4072,4048,23,0.928
23,4032,0,23,0.954
23,4016,0,23,0.92
23,4056,4016,23,0.93
23,4000,0,23,0.944
23,3984,0,23,0.936
23,4040,3984,23,0.929
24,0,0,24,0.957
24,24,0,24,0.948
24,2048,2047,24,0.871
24,2047,2048,24,0.805
24,4072,0,24,0.946
24,4080,0,24,0.944
24,4088,4080,24,1.01
24,4064,0,24,0.959
24,4048,0,24,0.956
24,4032,0,24,0.956
24,4016,0,24,0.932
24,4056,4016,24,0.935
24,4000,0,24,0.953
24,3984,0,24,0.939
24,4040,3984,24,0.928
25,0,0,25,0.955
25,25,0,25,0.823
25,2048,2047,25,0.885
25,2047,2048,25,0.813
25,4071,0,25,0.954
25,4080,0,25,0.953
25,4088,4080,25,0.864
25,4064,0,25,0.956
25,4048,0,25,0.941
25,4072,4048,25,0.818
25,4032,0,25,0.943
25,4016,0,25,0.936
25,4056,4016,25,0.817
25,4000,0,25,0.948
25,3984,0,25,0.93
25,4040,3984,25,0.818
26,0,0,26,0.965
26,26,0,26,0.817
26,2048,2047,26,0.88
26,2047,2048,26,0.809
26,4070,0,26,0.954
26,4080,0,26,0.964
26,4088,4080,26,0.853
26,4064,0,26,0.969
26,4048,0,26,0.966
26,4072,4048,26,0.817
26,4032,0,26,0.961
26,4016,0,26,0.934
26,4056,4016,26,0.818
26,4000,0,26,0.959
26,3984,0,26,0.933
26,4040,3984,26,0.82
27,0,0,27,0.965
27,27,0,27,0.817
27,2048,2047,27,0.886
27,2047,2048,27,0.805
27,4069,0,27,0.949
27,4080,0,27,0.942
27,4088,4080,27,0.859
27,4064,0,27,0.96
27,4048,0,27,0.946
27,4072,4048,27,0.818
27,4032,0,27,0.954
27,4016,0,27,0.922
27,4056,4016,27,0.819
27,4000,0,27,0.95
27,3984,0,27,0.933
27,4040,3984,27,0.818
28,0,0,28,0.964
28,28,0,28,0.822
28,2048,2047,28,0.889
28,2047,2048,28,0.803
28,4068,0,28,0.944
28,4080,0,28,0.966
28,4088,4080,28,0.863
28,4064,0,28,0.97
28,4048,0,28,0.96
28,4072,4048,28,0.817
28,4032,0,28,0.961
28,4016,0,28,0.944
28,4056,4016,28,0.818
28,4000,0,28,0.957
28,3984,0,28,0.949
28,4040,3984,28,0.817
29,0,0,29,0.958
29,29,0,29,0.819
29,2048,2047,29,0.884
29,2047,2048,29,0.807
29,4067,0,29,0.962
29,4080,0,29,0.956
29,4088,4080,29,0.859
29,4064,0,29,0.956
29,4048,0,29,0.962
29,4072,4048,29,0.817
29,4032,0,29,0.962
29,4016,0,29,0.949
29,4056,4016,29,0.818
29,4000,0,29,0.965
29,3984,0,29,0.955
29,4040,3984,29,0.818
30,0,0,30,0.971
30,30,0,30,0.818
30,2048,2047,30,0.89
30,2047,2048,30,0.804
30,4066,0,30,0.951
30,4080,0,30,0.957
30,4088,4080,30,0.858
30,4064,0,30,0.957
30,4048,0,30,0.964
