
Results For: strncat
align1,align2 ,len1 ,len2 ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,64   ,16   ,127      ,128  ,25.817 ,23.406 ,1.103   
0     ,0      ,64   ,16   ,127      ,2    ,18.577 ,18.889 ,0.983   
0     ,0      ,64   ,16   ,127      ,2048 ,25.807 ,23.511 ,1.098   
0     ,0      ,64   ,16   ,127      ,32   ,18.665 ,18.726 ,0.997   
0     ,0      ,64   ,16   ,127      ,512  ,25.772 ,23.517 ,1.096   
0     ,0      ,64   ,16   ,127      ,8    ,18.633 ,18.723 ,0.995   
0     ,0      ,64   ,64   ,127      ,128  ,20.553 ,21.949 ,0.936   
0     ,0      ,64   ,64   ,127      ,2    ,18.198 ,19.426 ,0.937   
0     ,0      ,64   ,64   ,127      ,2048 ,20.515 ,22.034 ,0.931   
0     ,0      ,64   ,64   ,127      ,32   ,17.855 ,19.289 ,0.926   
0     ,0      ,64   ,64   ,127      ,512  ,20.524 ,21.988 ,0.933   
0     ,0      ,64   ,64   ,127      ,8    ,17.824 ,19.317 ,0.923   
0     ,0      ,8    ,8    ,127      ,128  ,18.69  ,18.775 ,0.995   
0     ,0      ,8    ,8    ,127      ,2    ,18.605 ,19.955 ,0.932   
0     ,0      ,8    ,8    ,127      ,2048 ,18.696 ,19.409 ,0.963   
0     ,0      ,8    ,8    ,127      ,32   ,18.7   ,18.991 ,0.985   
0     ,0      ,8    ,8    ,127      ,512  ,18.699 ,18.949 ,0.987   
0     ,0      ,8    ,8    ,127      ,8    ,18.626 ,18.684 ,0.997   
0     ,2      ,2    ,2    ,127      ,128  ,18.411 ,18.979 ,0.97    
0     ,2      ,2    ,2    ,127      ,2    ,18.635 ,20.596 ,0.905   
0     ,2      ,2    ,2    ,127      ,2048 ,18.526 ,19.825 ,0.934   
0     ,2      ,2    ,2    ,127      ,32   ,18.418 ,18.932 ,0.973   
0     ,2      ,2    ,2    ,127      ,512  ,18.467 ,19.379 ,0.953   
0     ,2      ,2    ,2    ,127      ,8    ,18.41  ,18.899 ,0.974   
0     ,4      ,128  ,1    ,127      ,128  ,25.844 ,24.657 ,1.048   
0     ,4      ,128  ,1    ,127      ,2    ,18.622 ,18.927 ,0.984   
0     ,4      ,128  ,1    ,127      ,2048 ,27.358 ,25.584 ,1.069   
0     ,4      ,128  ,1    ,127      ,32   ,18.811 ,19.032 ,0.988   
0     ,4      ,128  ,1    ,127      ,512  ,27.345 ,25.704 ,1.064   
0     ,4      ,128  ,1    ,127      ,8    ,18.617 ,18.971 ,0.981   
1     ,0      ,1024 ,1024 ,127      ,1024 ,52.077 ,52.83  ,0.986   
1     ,0      ,1024 ,1024 ,127      ,1056 ,52.496 ,54.742 ,0.959   
1     ,0      ,1024 ,1024 ,127      ,1088 ,52.842 ,54.58  ,0.968   
1     ,0      ,1024 ,1024 ,127      ,960  ,50.889 ,50.388 ,1.01    
1     ,0      ,1024 ,1024 ,127      ,992  ,51.175 ,53.024 ,0.965   
1     ,0      ,1024 ,1056 ,127      ,1024 ,53.222 ,54.328 ,0.98    
1     ,0      ,1024 ,1088 ,127      ,1024 ,51.915 ,52.478 ,0.989   
1     ,0      ,1024 ,960  ,127      ,1024 ,52.038 ,52.368 ,0.994   
1     ,0      ,1024 ,992  ,127      ,1024 ,50.133 ,54.882 ,0.913   
1     ,0      ,128  ,128  ,127      ,128  ,25.352 ,26.867 ,0.944   
1     ,0      ,128  ,128  ,127      ,160  ,25.636 ,27.401 ,0.936   
1     ,0      ,128  ,128  ,127      ,192  ,25.749 ,27.618 ,0.932   
1     ,0      ,128  ,128  ,127      ,64   ,19.642 ,21.493 ,0.914   
