Results For: strchrnul
alignment,length ,max_char ,pos  ,rand ,rand-addr ,seek_char   ,__strchrnul_evex ,__strchrnul_evex512 
1        ,320    ,127      ,32   ,0    ,0         ,0           ,5.142            ,3.8                 ,1.353               
1        ,320    ,127      ,512  ,0    ,0         ,0           ,15.971           ,11.754              ,1.359               
1        ,320    ,127      ,64   ,0    ,0         ,0           ,5.18             ,5.668               ,0.914               
1        ,336    ,127      ,16   ,0    ,0         ,0           ,3.429            ,3.783               ,0.906               
1        ,352    ,127      ,128  ,0    ,0         ,0           ,6.92             ,6.264               ,1.105               
1        ,352    ,127      ,256  ,0    ,0         ,0           ,13.092           ,7.765               ,1.686               
1        ,352    ,127      ,32   ,0    ,0         ,0           ,5.128            ,3.806               ,1.347               
1        ,352    ,127      ,512  ,0    ,0         ,0           ,15.968           ,11.804              ,1.353               
1        ,352    ,127      ,64   ,0    ,0         ,0           ,5.183            ,5.651               ,0.917               
1        ,3776   ,127      ,4096 ,0    ,0         ,0           ,110.784          ,54.826              ,2.021               
1        ,3808   ,127      ,4096 ,0    ,0         ,0           ,110.721          ,54.719              ,2.023               
1        ,384    ,127      ,128  ,0    ,0         ,0           ,6.958            ,6.27                ,1.11                
1        ,384    ,127      ,256  ,0    ,0         ,0           ,13.115           ,7.74                ,1.695               
1        ,384    ,127      ,512  ,0    ,0         ,0           ,15.906           ,12.726              ,1.25                
1        ,384    ,127      ,64   ,0    ,0         ,0           ,5.21             ,5.711               ,0.912               
1        ,3840   ,127      ,4096 ,0    ,0         ,0           ,113.383          ,56.592              ,2.004               
1        ,3872   ,127      ,4096 ,0    ,0         ,0           ,111.006          ,56.553              ,1.963               
1        ,3904   ,127      ,4096 ,0    ,0         ,0           ,113.836          ,57.311              ,1.986               
1        ,3936   ,127      ,4096 ,0    ,0         ,0           ,115.215          ,56.703              ,2.032               
1        ,3968   ,127      ,4096 ,0    ,0         ,0           ,116.441          ,58.218              ,2.0                 
1        ,4      ,127      ,3    ,0    ,0         ,0           ,3.487            ,3.719               ,0.938               
1        ,4      ,127      ,3    ,0    ,0         ,23          ,3.452            ,3.859               ,0.895               
1        ,4000   ,127      ,4096 ,0    ,0         ,0           ,115.95           ,58.095              ,1.996               
1        ,4032   ,127      ,4096 ,0    ,0         ,0           ,116.613          ,57.952              ,2.012               
1        ,4064   ,127      ,4096 ,0    ,0         ,0           ,117.18           ,57.97               ,2.021               
1        ,4096   ,127      ,32   ,0    ,0         ,0           ,5.235            ,3.851               ,1.359               
1        ,4096   ,127      ,32   ,0    ,0         ,23          ,5.291            ,3.896               ,1.358               
1        ,4096   ,127      ,3776 ,0    ,0         ,0           ,111.298          ,55.269              ,2.014               
1        ,4096   ,127      ,3808 ,0    ,0         ,0           ,113.112          ,55.047              ,2.055               
