strchr-extra/run1/sunil1//bench-strchr0.out
strchr-extra/run1/sunil1//bench-strchr1.out
strchr-extra/run1/sunil1//bench-strchr2.out
strchr-extra/run1/sunil1//bench-strchr3.out
strchr-extra/run1/sunil1//bench-strchr4.out
strchr-extra/run1/sunil1//bench-strchr5.out
strchr-extra/run1/sunil1//bench-strchr6.out
strchr-extra/run1/sunil1//bench-strchr7.out
strchr-extra/run1/sunil1//bench-strchr8.out
strchr-extra/run1/sunil1//bench-strchr9.out
strchr-extra/run1/strchr1//bench-strchr0.out
strchr-extra/run1/strchr1//bench-strchr1.out
strchr-extra/run1/strchr1//bench-strchr2.out
strchr-extra/run1/strchr1//bench-strchr3.out
strchr-extra/run1/strchr1//bench-strchr4.out
strchr-extra/run1/strchr1//bench-strchr5.out
strchr-extra/run1/strchr1//bench-strchr6.out
strchr-extra/run1/strchr1//bench-strchr7.out
strchr-extra/run1/strchr1//bench-strchr8.out
strchr-extra/run1/strchr1//bench-strchr9.out

Results For: strchr
alignment,length ,max_char ,pos       ,rand ,rand-addr ,seek_char   ,sunil1      ,strchr1 ,sunil1/strchr1 
0        ,127    ,127      ,126       ,0    ,1         ,524288      ,0           ,7.554   ,6.317          ,1.196          
0        ,13     ,127      ,12        ,0    ,1         ,131072      ,0           ,5.138   ,4.552          ,1.129          
0        ,13     ,127      ,12        ,0    ,1         ,262144      ,0           ,5.357   ,4.624          ,1.158          
0        ,13     ,127      ,12        ,0    ,1         ,524288      ,0           ,5.61    ,4.838          ,1.159          
0        ,14     ,127      ,13        ,0    ,1         ,131072      ,0           ,5.168   ,4.59           ,1.126          
0        ,14     ,127      ,13        ,0    ,1         ,262144      ,0           ,5.318   ,4.614          ,1.153          
0        ,14     ,127      ,13        ,0    ,1         ,524288      ,0           ,5.649   ,4.79           ,1.179          
0        ,15     ,127      ,14        ,0    ,1         ,131072      ,0           ,5.172   ,4.53           ,1.142          
0        ,15     ,127      ,14        ,0    ,1         ,262144      ,0           ,5.319   ,4.552          ,1.168          
0        ,15     ,127      ,14        ,0    ,1         ,524288      ,0           ,5.596   ,4.808          ,1.164          
0        ,158    ,127      ,159       ,0    ,1         ,524288      ,0           ,9.368   ,8.719          ,1.074          
0        ,159    ,127      ,158       ,0    ,1         ,524288      ,0           ,9.467   ,8.678          ,1.091          
0        ,16     ,127      ,15        ,0    ,1         ,131072      ,0           ,5.18    ,4.467          ,1.16           
0        ,16     ,127      ,15        ,0    ,1         ,262144      ,0           ,5.381   ,4.588          ,1.173          
0        ,16     ,127      ,15        ,0    ,1         ,524288      ,0           ,5.629   ,4.801          ,1.172          
0        ,17     ,127      ,16        ,0    ,1         ,131072      ,0           ,5.194   ,4.599          ,1.129          
0        ,17     ,127      ,16        ,0    ,1         ,262144      ,0           ,5.333   ,4.568          ,1.167          
0        ,17     ,127      ,16        ,0    ,1         ,524288      ,0           ,5.555   ,4.863          ,1.142          
0        ,18     ,127      ,17        ,0    ,1         ,131072      ,0           ,5.194   ,4.487          ,1.158          
0        ,18     ,127      ,17        ,0    ,1         ,262144      ,0           ,5.305   ,4.614          ,1.15           
0        ,18     ,127      ,17        ,0    ,1         ,524288      ,0           ,5.593   ,4.848          ,1.154          
0        ,19     ,127      ,18        ,0    ,1         ,131072      ,0           ,5.162   ,4.569          ,1.13           
0        ,19     ,127      ,18        ,0    ,1         ,262144      ,0           ,5.302   ,4.652          ,1.14           
0        ,19     ,127      ,18        ,0    ,1         ,524288      ,0           ,5.627   ,4.878          ,1.154          
