strchr-extra/sunil1//bench-strchr0.out
strchr-extra/sunil1//bench-strchr1.out
strchr-extra/sunil1//bench-strchr2.out
strchr-extra/sunil1//bench-strchr3.out
strchr-extra/sunil1//bench-strchr4.out
strchr-extra/sunil1//bench-strchr5.out
strchr-extra/sunil1//bench-strchr6.out
strchr-extra/sunil1//bench-strchr7.out
strchr-extra/sunil1//bench-strchr8.out
strchr-extra/sunil1//bench-strchr9.out
strchr-extra/strchr0//bench-strchr0.out
strchr-extra/strchr0//bench-strchr1.out
strchr-extra/strchr0//bench-strchr2.out
strchr-extra/strchr0//bench-strchr3.out
strchr-extra/strchr0//bench-strchr4.out
strchr-extra/strchr0//bench-strchr5.out
strchr-extra/strchr0//bench-strchr6.out
strchr-extra/strchr0//bench-strchr7.out
strchr-extra/strchr0//bench-strchr8.out
strchr-extra/strchr0//bench-strchr9.out

Results For: strchr
alignment,length ,max_char ,pos       ,rand ,rand-addr ,seek_char   ,sunil1      ,strchr0 ,sunil1/strchr0 
1        ,5      ,127      ,4         ,0    ,0         ,0           ,4.258       ,3.991   ,1.067          
1        ,5      ,127      ,4         ,0    ,0         ,23          ,4.315       ,3.962   ,1.089          
1        ,512    ,127      ,192       ,0    ,0         ,0           ,7.609       ,6.401   ,1.189          
1        ,512    ,127      ,224       ,0    ,0         ,0           ,7.616       ,6.33    ,1.203          
1        ,512    ,127      ,256       ,0    ,0         ,0           ,8.05        ,7.674   ,1.049          
1        ,512    ,127      ,256       ,0    ,0         ,23          ,8.088       ,7.7     ,1.05           
1        ,512    ,127      ,288       ,0    ,0         ,0           ,8.019       ,7.746   ,1.035          
1        ,512    ,127      ,320       ,0    ,0         ,0           ,12.244      ,11.284  ,1.085          
1        ,512    ,127      ,352       ,0    ,0         ,0           ,12.161      ,11.237  ,1.082          
1        ,512    ,127      ,384       ,0    ,0         ,0           ,13.194      ,12.351  ,1.068          
1        ,512    ,127      ,416       ,0    ,0         ,0           ,13.067      ,11.913  ,1.097          
1        ,512    ,127      ,448       ,0    ,0         ,0           ,12.844      ,11.956  ,1.074          
1        ,512    ,127      ,480       ,0    ,0         ,0           ,13.0        ,11.903  ,1.092          
1        ,512    ,127      ,544       ,0    ,0         ,0           ,14.237      ,13.762  ,1.035          
1        ,512    ,127      ,576       ,0    ,0         ,0           ,14.262      ,13.693  ,1.042          
1        ,512    ,127      ,608       ,0    ,0         ,0           ,14.216      ,13.755  ,1.033          
1        ,512    ,127      ,640       ,0    ,0         ,0           ,14.266      ,13.682  ,1.043          
1        ,512    ,127      ,672       ,0    ,0         ,0           ,14.309      ,13.764  ,1.04           
1        ,512    ,127      ,704       ,0    ,0         ,0           ,14.172      ,13.742  ,1.031          
1        ,512    ,127      ,736       ,0    ,0         ,0           ,14.25       ,14.006  ,1.017          
1        ,512    ,127      ,768       ,0    ,0         ,0           ,14.243      ,13.751  ,1.036          
1        ,512    ,127      ,800       ,0    ,0         ,0           ,14.007      ,13.678  ,1.024          
1        ,512    ,127      ,832       ,0    ,0         ,0           ,14.302      ,13.779  ,1.038          
1        ,544    ,127      ,256       ,0    ,0         ,0           ,8.06        ,7.742   ,1.041          
1        ,544    ,127      ,512       ,0    ,0         ,0           ,14.225      ,13.648  ,1.042          
1        ,576    ,127      ,256       ,0    ,0         ,0           ,7.935       ,7.669   ,1.035          
1        ,576    ,127      ,512       ,0    ,0         ,0           ,14.237      ,13.719  ,1.038          
1        ,6      ,127      ,5         ,0    ,0         ,0           ,4.238       ,3.94    ,1.076          
1        ,6      ,127      ,5         ,0    ,0         ,23          ,4.181       ,4.017   ,1.041          
1        ,608    ,127      ,512       ,0    ,0         ,0           ,14.141      ,13.688  ,1.033          
1        ,62     ,127      ,63        ,0    ,0         ,0           ,4.332       ,3.885   ,1.115          
1        ,63     ,127      ,62        ,0    ,0         ,0           ,4.24        ,3.897   ,1.088          
1        ,64     ,127      ,128       ,0    ,0         ,0           ,5.631       ,4.823   ,1.168          
1        ,64     ,127      ,160       ,0    ,0         ,0           ,5.558       ,4.797   ,1.159          
1        ,64     ,127      ,192       ,0    ,0         ,0           ,5.645       ,4.78    ,1.181          
1        ,64     ,127      ,224       ,0    ,0         ,0           ,5.563       ,4.72    ,1.179          
1        ,64     ,127      ,256       ,0    ,0         ,0           ,5.573       ,4.769   ,1.169          
1        ,64     ,127      ,288       ,0    ,0         ,0           ,5.638       ,4.744   ,1.189          
1        ,64     ,127      ,32        ,0    ,0         ,0           ,4.306       ,3.994   ,1.078          
1        ,64     ,127      ,320       ,0    ,0         ,0           ,5.582       ,4.796   ,1.164          
1        ,64     ,127      ,352       ,0    ,0         ,0           ,5.545       ,4.769   ,1.163          
1        ,64     ,127      ,384       ,0    ,0         ,0           ,5.569       ,4.762   ,1.169          
1        ,64     ,127      ,96        ,0    ,0         ,0           ,5.575       ,4.802   ,1.161          
1        ,640    ,127      ,512       ,0    ,0         ,0           ,14.225      ,13.804  ,1.031          
1        ,672    ,127      ,512       ,0    ,0         ,0           ,14.176      ,13.736  ,1.032          
1        ,7      ,127      ,6         ,0    ,0         ,0           ,4.271       ,3.991   ,1.07           
1        ,7      ,127      ,6         ,0    ,0         ,23          ,4.281       ,3.986   ,1.074          
1        ,704    ,127      ,1024      ,0    ,0         ,0           ,15.614      ,15.041  ,1.038          
1        ,704    ,127      ,512       ,0    ,0         ,0           ,14.093      ,13.738  ,1.026          
1        ,736    ,127      ,1024      ,0    ,0         ,0           ,15.641      ,15.014  ,1.042          
1        ,736    ,127      ,512       ,0    ,0         ,0           ,14.289      ,14.209  ,1.006          
1        ,768    ,127      ,1024      ,0    ,0         ,0           ,17.676      ,16.882  ,1.047          
1        ,768    ,127      ,512       ,0    ,0         ,0           ,14.357      ,13.901  ,1.033          
1        ,7872   ,127      ,8192      ,0    ,0         ,0           ,137.899     ,137.529 ,1.003          
