combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex ,__strnlen_evex_sunil 
6   ,6     ,127      ,7      ,3.081          ,4.108               ,0.75  
7   ,7     ,127      ,6      ,3.163          ,4.122               ,0.767 
7   ,7     ,127      ,7      ,3.023          ,3.99                ,0.758 
7   ,7     ,127      ,8      ,3.094          ,4.078               ,0.759 
4   ,0     ,127      ,5000   ,2.99           ,3.701               ,0.808 
4   ,1     ,127      ,5000   ,3.247          ,3.899               ,0.833 
5000,0     ,127      ,4      ,2.997          ,3.91                ,0.766 
5000,1     ,127      ,4      ,3.332          ,4.026               ,0.828 
8   ,0     ,127      ,5000   ,3.142          ,3.786               ,0.83  
8   ,1     ,127      ,5000   ,3.019          ,3.844               ,0.786 
5000,0     ,127      ,8      ,3.137          ,3.938               ,0.797 
5000,1     ,127      ,8      ,3.213          ,3.99                ,0.805 
16  ,0     ,127      ,5000   ,3.105          ,3.827               ,0.811 
16  ,1     ,127      ,5000   ,3.128          ,3.801               ,0.823 
5000,0     ,127      ,16     ,3.157          ,3.978               ,0.794 
5000,1     ,127      ,16     ,3.129          ,4.007               ,0.781 
32  ,0     ,127      ,5000   ,4.728          ,5.061               ,0.934 
32  ,1     ,127      ,5000   ,4.719          ,5.116               ,0.922 
5000,0     ,127      ,32     ,3.339          ,3.671               ,0.91  
5000,1     ,127      ,32     ,3.188          ,3.885               ,0.821 
64  ,0     ,127      ,5000   ,5.432          ,5.524               ,0.983 
64  ,1     ,127      ,5000   ,5.443          ,5.754               ,0.946 
5000,0     ,127      ,64     ,4.561          ,6.563               ,0.695 
5000,1     ,127      ,64     ,4.846          ,6.779               ,0.715 
128 ,0     ,127      ,5000   ,6.79           ,6.858               ,0.99  
128 ,1     ,127      ,5000   ,6.62           ,6.748               ,0.981 
5000,0     ,127      ,128    ,6.141          ,7.283               ,0.843 
5000,1     ,127      ,128    ,6.323          ,7.443               ,0.85  
256 ,0     ,127      ,5000   ,12.043         ,12.015              ,1.002 
256 ,1     ,127      ,5000   ,12.028         ,12.041              ,0.999 
5000,0     ,127      ,256    ,9.287          ,9.424               ,0.985 
5000,1     ,127      ,256    ,9.827          ,9.855               ,0.997 
512 ,0     ,127      ,5000   ,15.585         ,15.448              ,1.009 
512 ,1     ,127      ,5000   ,15.744         ,15.442              ,1.02  
5000,0     ,127      ,512    ,11.82          ,13.993              ,0.845 
5000,1     ,127      ,512    ,13.594         ,14.213              ,0.956 
1024,0     ,127      ,5000   ,22.949         ,23.545              ,0.975 
1024,1     ,127      ,5000   ,22.75          ,23.087              ,0.985 
5000,0     ,127      ,1024   ,18.898         ,21.616              ,0.874 
5000,1     ,127      ,1024   ,20.616         ,21.763              ,0.947 
1   ,0     ,127      ,5000   ,3.245          ,3.578               ,0.907 
5000,0     ,127      ,1      ,3.432          ,3.996               ,0.859 
2   ,0     ,127      ,5000   ,3.153          ,3.966               ,0.795 
5000,0     ,127      ,2      ,3.448          ,4.053               ,0.851 
3   ,0     ,127      ,5000   ,3.137          ,3.824               ,0.82  
5000,0     ,127      ,3      ,3.12           ,4.133               ,0.755 
5   ,0     ,127      ,5000   ,3.124          ,3.893               ,0.803 
5000,0     ,127      ,5      ,3.201          ,4.072               ,0.786 
6   ,0     ,127      ,5000   ,3.17           ,3.951               ,0.802 
5000,0     ,127      ,6      ,3.12           ,4.133               ,0.755 
7   ,0     ,127      ,5000   ,3.1            ,3.764               ,0.824 
5000,0     ,127      ,7      ,3.152          ,4.068               ,0.775 
1   ,1     ,127      ,5000   ,3.202          ,3.962               ,0.808 
5000,1     ,127      ,1      ,3.33           ,4.065               ,0.819 
2   ,2     ,127      ,5000   ,3.113          ,3.867               ,0.805 
5000,2     ,127      ,2      ,3.281          ,4.11                ,0.798 
3   ,3     ,127      ,5000   ,3.125          ,3.877               ,0.806 
5000,3     ,127      ,3      ,3.335          ,4.065               ,0.821 
4   ,4     ,127      ,5000   ,3.008          ,3.953               ,0.761 
5000,4     ,127      ,4      ,3.112          ,4.002               ,0.778 
5   ,5     ,127      ,5000   ,3.107          ,4.099               ,0.758 
5000,5     ,127      ,5      ,3.292          ,4.0                 ,0.823 
6   ,6     ,127      ,5000   ,3.109          ,3.991               ,0.779 
5000,6     ,127      ,6      ,3.172          ,4.04                ,0.785 
7   ,7     ,127      ,5000   ,3.02           ,3.737               ,0.808 
5000,7     ,127      ,7      ,3.165          ,3.969               ,0.797 
16  ,0     ,127      ,16     ,2.93           ,3.649               ,0.803 
16  ,1     ,127      ,16     ,2.932          ,3.771               ,0.778 
16  ,64    ,127      ,16     ,2.932          ,3.662               ,0.801 
48  ,0     ,127      ,16     ,3.113          ,3.911               ,0.796 
48  ,1     ,127      ,16     ,3.047          ,3.86                ,0.79  
48  ,64    ,127      ,16     ,3.105          ,3.899               ,0.796 
16  ,0     ,127      ,48     ,3.122          ,3.556               ,0.878 
16  ,1     ,127      ,48     ,3.366          ,3.663               ,0.919 
16  ,64    ,127      ,48     ,3.185          ,3.851               ,0.827 
80  ,0     ,127      ,16     ,3.095          ,3.735               ,0.829 
80  ,1     ,127      ,16     ,3.066          ,3.824               ,0.802 
80  ,64    ,127      ,16     ,3.19           ,3.899               ,0.818 
16  ,0     ,127      ,80     ,3.009          ,3.989               ,0.754 
16  ,1     ,127      ,80     ,2.994          ,4.063               ,0.737 
16  ,64    ,127      ,80     ,3.1            ,4.088               ,0.758 
112 ,0     ,127      ,16     ,3.334          ,3.92                ,0.851 
112 ,1     ,127      ,16     ,3.104          ,3.872               ,0.802 
112 ,64    ,127      ,16     ,3.156          ,3.889               ,0.812 
16  ,0     ,127      ,112    ,3.054          ,3.981               ,0.767 
16  ,1     ,127      ,112    ,3.147          ,4.085               ,0.77  
16  ,64    ,127      ,112    ,3.05           ,4.012               ,0.76  
144 ,0     ,127      ,16     ,3.29           ,3.87                ,0.85  
144 ,1     ,127      ,16     ,3.077          ,3.878               ,0.794 
144 ,64    ,127      ,16     ,3.1            ,3.867               ,0.802 
16  ,0     ,127      ,144    ,3.179          ,4.087               ,0.778 
16  ,1     ,127      ,144    ,3.112          ,3.98                ,0.782 
16  ,64    ,127      ,144    ,3.036          ,4.058               ,0.748 
176 ,0     ,127      ,16     ,3.316          ,4.028               ,0.823 
176 ,1     ,127      ,16     ,3.284          ,3.893               ,0.844 
176 ,64    ,127      ,16     ,3.05           ,3.938               ,0.775 
16  ,0     ,127      ,176    ,3.079          ,4.033               ,0.763 
16  ,1     ,127      ,176    ,3.069          ,3.864               ,0.794 
16  ,64    ,127      ,176    ,3.077          ,3.743               ,0.822 
208 ,0     ,127      ,16     ,3.074          ,3.908               ,0.787 
208 ,1     ,127      ,16     ,3.396          ,3.889               ,0.873 
208 ,64    ,127      ,16     ,3.12           ,3.885               ,0.803 
16  ,0     ,127      ,208    ,3.043          ,3.99                ,0.763 
16  ,1     ,127      ,208    ,3.009          ,4.088               ,0.736 
16  ,64    ,127      ,208    ,3.103          ,4.083               ,0.76  
240 ,0     ,127      ,16     ,3.324          ,3.931               ,0.846 
240 ,1     ,127      ,16     ,3.267          ,3.924               ,0.833 
240 ,64    ,127      ,16     ,3.241          ,3.936               ,0.823 
16  ,0     ,127      ,240    ,3.05           ,4.082               ,0.747 
16  ,1     ,127      ,240    ,3.002          ,3.978               ,0.755 
16  ,64    ,127      ,240    ,3.058          ,4.086               ,0.748 
272 ,0     ,127      ,16     ,3.301          ,4.019               ,0.821 
272 ,1     ,127      ,16     ,3.12           ,3.968               ,0.786 
272 ,64    ,127      ,16     ,3.118          ,3.9                 ,0.799 
16  ,0     ,127      ,272    ,3.092          ,4.078               ,0.758 
16  ,1     ,127      ,272    ,3.041          ,4.065               ,0.748 
16  ,64    ,127      ,272    ,3.1            ,4.094               ,0.757 
304 ,0     ,127      ,16     ,3.331          ,3.93                ,0.848 
304 ,1     ,127      ,16     ,3.256          ,3.963               ,0.822 
304 ,64    ,127      ,16     ,3.131          ,4.001               ,0.782 
16  ,0     ,127      ,304    ,3.03           ,4.104               ,0.738 
16  ,1     ,127      ,304    ,3.1            ,3.859               ,0.803 
16  ,64    ,127      ,304    ,3.054          ,3.94                ,0.775 
336 ,0     ,127      ,16     ,3.365          ,3.957               ,0.85  
336 ,1     ,127      ,16     ,3.23           ,4.069               ,0.794 
336 ,64    ,127      ,16     ,3.287          ,4.041               ,0.813 
16  ,0     ,127      ,336    ,3.05           ,3.78                ,0.807 
16  ,1     ,127      ,336    ,3.002          ,3.743               ,0.802 
16  ,64    ,127      ,336    ,3.1            ,3.712               ,0.835 
368 ,0     ,127      ,16     ,3.26           ,3.965               ,0.822 
368 ,1     ,127      ,16     ,3.231          ,3.988               ,0.81  
368 ,64    ,127      ,16     ,3.245          ,3.936               ,0.824 
16  ,0     ,127      ,368    ,3.08           ,3.791               ,0.813 
16  ,1     ,127      ,368    ,3.144          ,3.776               ,0.833 
16  ,64    ,127      ,368    ,3.009          ,3.857               ,0.78  
400 ,0     ,127      ,16     ,3.314          ,3.956               ,0.838 
400 ,1     ,127      ,16     ,3.092          ,3.936               ,0.786 
400 ,64    ,127      ,16     ,3.072          ,4.113               ,0.747 
16  ,0     ,127      ,400    ,3.157          ,3.937               ,0.802 
16  ,1     ,127      ,400    ,3.192          ,3.848               ,0.829 
16  ,64    ,127      ,400    ,3.106          ,3.791               ,0.82  
432 ,0     ,127      ,16     ,3.453          ,3.904               ,0.884 
432 ,1     ,127      ,16     ,3.232          ,3.935               ,0.821 
432 ,64    ,127      ,16     ,3.247          ,4.009               ,0.81  
16  ,0     ,127      ,432    ,3.057          ,3.788               ,0.807 
16  ,1     ,127      ,432    ,3.122          ,3.888               ,0.803 
16  ,64    ,127      ,432    ,3.193          ,3.8                 ,0.84  
464 ,0     ,127      ,16     ,3.262          ,4.011               ,0.813 
464 ,1     ,127      ,16     ,3.127          ,3.898               ,0.802 
464 ,64    ,127      ,16     ,3.332          ,4.073               ,0.818 
16  ,0     ,127      ,464    ,3.073          ,3.807               ,0.807 
16  ,1     ,127      ,464    ,3.117          ,3.803               ,0.82  
16  ,64    ,127      ,464    ,3.072          ,3.857               ,0.797 
496 ,0     ,127      ,16     ,3.269          ,3.958               ,0.826 
496 ,1     ,127      ,16     ,3.193          ,3.871               ,0.825 
496 ,64    ,127      ,16     ,3.193          ,3.951               ,0.808 
16  ,0     ,127      ,496    ,3.115          ,3.809               ,0.818 
16  ,1     ,127      ,496    ,3.066          ,3.866               ,0.793 
16  ,64    ,127      ,496    ,3.016          ,3.867               ,0.78  
528 ,0     ,127      ,16     ,3.452          ,3.884               ,0.889 
528 ,1     ,127      ,16     ,3.355          ,3.999               ,0.839 
528 ,64    ,127      ,16     ,3.209          ,3.956               ,0.811 
16  ,0     ,127      ,528    ,3.106          ,4.075               ,0.762 
16  ,1     ,127      ,528    ,3.069          ,3.921               ,0.783 
16  ,64    ,127      ,528    ,3.031          ,3.957               ,0.766 
560 ,0     ,127      ,16     ,3.407          ,3.884               ,0.877 
560 ,1     ,127      ,16     ,3.341          ,4.061               ,0.823 
560 ,64    ,127      ,16     ,3.348          ,4.058               ,0.825 
16  ,0     ,127      ,560    ,3.115          ,3.66                ,0.851 
16  ,1     ,127      ,560    ,3.375          ,3.857               ,0.875 
16  ,64    ,127      ,560    ,3.107          ,4.089               ,0.76  
592 ,0     ,127      ,16     ,3.215          ,4.038               ,0.796 
592 ,1     ,127      ,16     ,3.19           ,4.019               ,0.794 
592 ,64    ,127      ,16     ,3.304          ,3.957               ,0.835 
16  ,0     ,127      ,592    ,3.074          ,3.808               ,0.807 
16  ,1     ,127      ,592    ,3.107          ,3.794               ,0.819 
16  ,64    ,127      ,592    ,3.038          ,3.895               ,0.78  
624 ,0     ,127      ,16     ,3.238          ,3.98                ,0.813 
624 ,1     ,127      ,16     ,3.233          ,3.872               ,0.835 
624 ,64    ,127      ,16     ,3.318          ,4.005               ,0.829 
16  ,0     ,127      ,624    ,3.172          ,4.112               ,0.772 
16  ,1     ,127      ,624    ,3.172          ,3.957               ,0.802 
16  ,64    ,127      ,624    ,3.024          ,3.859               ,0.784 
656 ,0     ,127      ,16     ,3.225          ,4.038               ,0.799 
656 ,1     ,127      ,16     ,3.144          ,3.951               ,0.796 
656 ,64    ,127      ,16     ,3.236          ,3.955               ,0.818 
16  ,0     ,127      ,656    ,3.07           ,3.876               ,0.792 
16  ,1     ,127      ,656    ,3.099          ,3.938               ,0.787 
16  ,64    ,127      ,656    ,3.124          ,4.125               ,0.757 
688 ,0     ,127      ,16     ,3.427          ,3.92                ,0.874 
688 ,1     ,127      ,16     ,3.172          ,4.028               ,0.787 
688 ,64    ,127      ,16     ,3.1            ,4.021               ,0.771 
16  ,0     ,127      ,688    ,3.028          ,3.761               ,0.805 
16  ,1     ,127      ,688    ,3.035          ,3.807               ,0.797 
16  ,64    ,127      ,688    ,3.038          ,3.895               ,0.78  
720 ,0     ,127      ,16     ,3.32           ,3.902               ,0.851 
720 ,1     ,127      ,16     ,3.209          ,4.082               ,0.786 
720 ,64    ,127      ,16     ,3.171          ,3.948               ,0.803 
16  ,0     ,127      ,720    ,3.058          ,3.789               ,0.807 
16  ,1     ,127      ,720    ,3.078          ,3.809               ,0.808 
16  ,64    ,127      ,720    ,3.072          ,3.826               ,0.803 
32  ,0     ,127      ,32     ,2.988          ,3.972               ,0.752 
32  ,1     ,127      ,32     ,2.974          ,3.801               ,0.783 
32  ,64    ,127      ,32     ,2.976          ,3.834               ,0.776 
64  ,0     ,127      ,32     ,3.284          ,3.886               ,0.845 
64  ,1     ,127      ,32     ,3.279          ,3.967               ,0.827 
64  ,64    ,127      ,32     ,3.335          ,4.07                ,0.819 
32  ,0     ,127      ,64     ,4.901          ,6.344               ,0.773 
32  ,1     ,127      ,64     ,4.83           ,6.109               ,0.791 
32  ,64    ,127      ,64     ,4.82           ,6.074               ,0.793 
96  ,0     ,127      ,32     ,3.354          ,3.654               ,0.918 
96  ,1     ,127      ,32     ,3.306          ,3.886               ,0.851 
96  ,64    ,127      ,32     ,3.207          ,3.952               ,0.811 
32  ,0     ,127      ,96     ,4.872          ,6.07                ,0.803 
32  ,1     ,127      ,96     ,4.777          ,6.473               ,0.738 
32  ,64    ,127      ,96     ,5.012          ,6.263               ,0.8   
128 ,0     ,127      ,32     ,3.273          ,3.914               ,0.836 
128 ,1     ,127      ,32     ,3.199          ,3.935               ,0.813 
128 ,64    ,127      ,32     ,3.163          ,3.81                ,0.83  
32  ,0     ,127      ,128    ,4.826          ,6.694               ,0.721 
32  ,1     ,127      ,128    ,4.863          ,6.562               ,0.741 
32  ,64    ,127      ,128    ,4.817          ,6.589               ,0.731 
160 ,0     ,127      ,32     ,3.188          ,3.958               ,0.806 
160 ,1     ,127      ,32     ,3.149          ,4.083               ,0.771 
160 ,64    ,127      ,32     ,3.27           ,3.956               ,0.827 
32  ,0     ,127      ,160    ,4.901          ,6.548               ,0.748 
32  ,1     ,127      ,160    ,4.781          ,5.197               ,0.92  
32  ,64    ,127      ,160    ,4.778          ,6.321               ,0.756 
192 ,0     ,127      ,32     ,3.32           ,3.893               ,0.853 
192 ,1     ,127      ,32     ,3.319          ,3.729               ,0.89  
192 ,64    ,127      ,32     ,3.466          ,3.884               ,0.892 
32  ,0     ,127      ,192    ,4.854          ,5.162               ,0.94  
32  ,1     ,127      ,192    ,4.775          ,5.107               ,0.935 
32  ,64    ,127      ,192    ,4.821          ,4.952               ,0.974 
224 ,0     ,127      ,32     ,3.251          ,3.844               ,0.846 
224 ,1     ,127      ,32     ,3.266          ,3.796               ,0.86  
224 ,64    ,127      ,32     ,3.201          ,3.807               ,0.841 
32  ,0     ,127      ,224    ,4.799          ,4.982               ,0.963 
32  ,1     ,127      ,224    ,4.777          ,5.137               ,0.93  
32  ,64    ,127      ,224    ,4.788          ,4.919               ,0.973 
256 ,0     ,127      ,32     ,3.199          ,3.732               ,0.857 
256 ,1     ,127      ,32     ,3.231          ,3.928               ,0.822 
256 ,64    ,127      ,32     ,3.282          ,3.994               ,0.822 
32  ,0     ,127      ,256    ,4.85           ,5.101               ,0.951 
32  ,1     ,127      ,256    ,4.796          ,5.126               ,0.936 
32  ,64    ,127      ,256    ,4.816          ,5.221               ,0.923 
288 ,0     ,127      ,32     ,3.36           ,3.965               ,0.847 
288 ,1     ,127      ,32     ,3.16           ,3.936               ,0.803 
288 ,64    ,127      ,32     ,3.261          ,3.905               ,0.835 
32  ,0     ,127      ,288    ,4.813          ,5.207               ,0.924 
32  ,1     ,127      ,288    ,4.81           ,5.007               ,0.961 
32  ,64    ,127      ,288    ,4.786          ,4.96                ,0.965 
320 ,0     ,127      ,32     ,3.246          ,3.907               ,0.831 
320 ,1     ,127      ,32     ,3.167          ,3.957               ,0.8   
320 ,64    ,127      ,32     ,3.373          ,3.886               ,0.868 
32  ,0     ,127      ,320    ,4.803          ,4.962               ,0.968 
32  ,1     ,127      ,320    ,4.784          ,5.38                ,0.889 
32  ,64    ,127      ,320    ,4.799          ,5.067               ,0.947 
352 ,0     ,127      ,32     ,3.298          ,4.046               ,0.815 
352 ,1     ,127      ,32     ,3.212          ,4.009               ,0.801 
352 ,64    ,127      ,32     ,3.244          ,3.842               ,0.844 
32  ,0     ,127      ,352    ,4.809          ,5.186               ,0.927 
32  ,1     ,127      ,352    ,4.775          ,5.052               ,0.945 
32  ,64    ,127      ,352    ,4.79           ,5.191               ,0.923 
384 ,0     ,127      ,32     ,3.496          ,3.842               ,0.91  
384 ,1     ,127      ,32     ,3.197          ,3.898               ,0.82  
384 ,64    ,127      ,32     ,3.434          ,4.033               ,0.851 
32  ,0     ,127      ,384    ,4.866          ,5.334               ,0.912 
32  ,1     ,127      ,384    ,4.775          ,5.376               ,0.888 
32  ,64    ,127      ,384    ,4.78           ,4.938               ,0.968 
416 ,0     ,127      ,32     ,3.327          ,3.884               ,0.857 
416 ,1     ,127      ,32     ,3.49           ,3.927               ,0.889 
416 ,64    ,127      ,32     ,3.202          ,3.953               ,0.81  
32  ,0     ,127      ,416    ,4.807          ,5.375               ,0.894 
32  ,1     ,127      ,416    ,4.768          ,4.938               ,0.966 
32  ,64    ,127      ,416    ,4.788          ,5.143               ,0.931 
448 ,0     ,127      ,32     ,3.595          ,3.899               ,0.922 
448 ,1     ,127      ,32     ,3.357          ,3.903               ,0.86  
448 ,64    ,127      ,32     ,3.121          ,3.884               ,0.804 
32  ,0     ,127      ,448    ,4.8            ,4.864               ,0.987 
32  ,1     ,127      ,448    ,4.777          ,4.84                ,0.987 
32  ,64    ,127      ,448    ,4.791          ,4.839               ,0.99  
480 ,0     ,127      ,32     ,3.326          ,3.823               ,0.87  
480 ,1     ,127      ,32     ,3.221          ,3.807               ,0.846 
480 ,64    ,127      ,32     ,3.15           ,3.814               ,0.826 
32  ,0     ,127      ,480    ,4.786          ,5.513               ,0.868 
32  ,1     ,127      ,480    ,4.79           ,4.782               ,1.002 
32  ,64    ,127      ,480    ,4.798          ,5.394               ,0.889 
512 ,0     ,127      ,32     ,3.46           ,3.7                 ,0.935 
512 ,1     ,127      ,32     ,3.262          ,3.923               ,0.831 
512 ,64    ,127      ,32     ,3.237          ,3.922               ,0.825 
32  ,0     ,127      ,512    ,4.798          ,5.145               ,0.933 
32  ,1     ,127      ,512    ,4.786          ,5.04                ,0.95  
32  ,64    ,127      ,512    ,4.802          ,5.082               ,0.945 
544 ,0     ,127      ,32     ,3.446          ,3.772               ,0.914 
544 ,1     ,127      ,32     ,3.314          ,3.999               ,0.829 
544 ,64    ,127      ,32     ,3.253          ,4.028               ,0.807 
32  ,0     ,127      ,544    ,4.8            ,5.596               ,0.858 
32  ,1     ,127      ,544    ,4.78           ,4.837               ,0.988 
32  ,64    ,127      ,544    ,4.796          ,4.963               ,0.966 
576 ,0     ,127      ,32     ,3.459          ,3.886               ,0.89  
576 ,1     ,127      ,32     ,3.081          ,3.944               ,0.781 
576 ,64    ,127      ,32     ,3.321          ,3.968               ,0.837 
32  ,0     ,127      ,576    ,4.846          ,5.258               ,0.922 
32  ,1     ,127      ,576    ,4.784          ,5.004               ,0.956 
32  ,64    ,127      ,576    ,4.808          ,4.936               ,0.974 
608 ,0     ,127      ,32     ,3.451          ,4.05                ,0.852 
608 ,1     ,127      ,32     ,3.318          ,4.019               ,0.826 
608 ,64    ,127      ,32     ,3.35           ,3.875               ,0.865 
32  ,0     ,127      ,608    ,4.796          ,5.213               ,0.92  
32  ,1     ,127      ,608    ,4.812          ,4.862               ,0.99  
32  ,64    ,127      ,608    ,4.81           ,5.159               ,0.932 
640 ,0     ,127      ,32     ,3.252          ,3.913               ,0.831 
640 ,1     ,127      ,32     ,3.192          ,3.865               ,0.826 
640 ,64    ,127      ,32     ,3.267          ,4.104               ,0.796 
32  ,0     ,127      ,640    ,4.8            ,4.784               ,1.003 
32  ,1     ,127      ,640    ,4.77           ,4.936               ,0.966 
32  ,64    ,127      ,640    ,4.763          ,5.116               ,0.931 
672 ,0     ,127      ,32     ,3.4            ,3.953               ,0.86  
672 ,1     ,127      ,32     ,3.2            ,4.02                ,0.796 
672 ,64    ,127      ,32     ,3.208          ,4.028               ,0.796 
32  ,0     ,127      ,672    ,4.803          ,4.763               ,1.008 
32  ,1     ,127      ,672    ,4.788          ,4.778               ,1.002 
32  ,64    ,127      ,672    ,4.81           ,4.937               ,0.974 
704 ,0     ,127      ,32     ,3.612          ,3.973               ,0.909 
704 ,1     ,127      ,32     ,3.167          ,4.083               ,0.776 
704 ,64    ,127      ,32     ,3.171          ,3.953               ,0.802 
32  ,0     ,127      ,704    ,4.799          ,5.473               ,0.877 
32  ,1     ,127      ,704    ,4.783          ,4.763               ,1.004 
32  ,64    ,127      ,704    ,4.786          ,4.96                ,0.965 
736 ,0     ,127      ,32     ,3.339          ,3.983               ,0.838 
736 ,1     ,127      ,32     ,3.222          ,3.881               ,0.83  
736 ,64    ,127      ,32     ,3.2            ,3.875               ,0.826 
32  ,0     ,127      ,736    ,4.781          ,5.326               ,0.898 
32  ,1     ,127      ,736    ,4.796          ,5.21                ,0.921 
32  ,64    ,127      ,736    ,4.798          ,4.96                ,0.967 
64  ,0     ,127      ,64     ,4.317          ,6.046               ,0.714 
64  ,1     ,127      ,64     ,5.569          ,5.766               ,0.966 
64  ,64    ,127      ,64     ,4.328          ,6.154               ,0.703 
96  ,0     ,127      ,64     ,4.46           ,6.415               ,0.695 
96  ,1     ,127      ,64     ,4.934          ,6.627               ,0.745 
96  ,64    ,127      ,64     ,4.495          ,6.794               ,0.662 
64  ,0     ,127      ,96     ,5.658          ,6.052               ,0.935 
64  ,1     ,127      ,96     ,5.49           ,7.202               ,0.762 
64  ,64    ,127      ,96     ,5.632          ,6.107               ,0.922 
128 ,0     ,127      ,64     ,4.477          ,6.835               ,0.655 
128 ,1     ,127      ,64     ,4.97           ,6.193               ,0.803 
128 ,64    ,127      ,64     ,4.512          ,6.734               ,0.67  
64  ,0     ,127      ,128    ,5.561          ,7.459               ,0.746 
64  ,1     ,127      ,128    ,5.519          ,7.27                ,0.759 
64  ,64    ,127      ,128    ,5.545          ,7.305               ,0.759 
160 ,0     ,127      ,64     ,4.473          ,6.56                ,0.682 
160 ,1     ,127      ,64     ,5.022          ,6.621               ,0.759 
160 ,64    ,127      ,64     ,4.493          ,6.584               ,0.682 
64  ,0     ,127      ,160    ,5.543          ,7.207               ,0.769 
64  ,1     ,127      ,160    ,5.527          ,5.392               ,1.025 
64  ,64    ,127      ,160    ,5.51           ,7.158               ,0.77  
192 ,0     ,127      ,64     ,4.554          ,6.446               ,0.706 
192 ,1     ,127      ,64     ,4.838          ,5.946               ,0.814 
192 ,64    ,127      ,64     ,4.511          ,6.241               ,0.723 
64  ,0     ,127      ,192    ,5.546          ,5.734               ,0.967 
64  ,1     ,127      ,192    ,5.558          ,5.419               ,1.026 
64  ,64    ,127      ,192    ,5.5            ,5.645               ,0.974 
224 ,0     ,127      ,64     ,4.559          ,6.742               ,0.676 
224 ,1     ,127      ,64     ,5.137          ,6.302               ,0.815 
224 ,64    ,127      ,64     ,4.461          ,6.579               ,0.678 
64  ,0     ,127      ,224    ,5.526          ,5.496               ,1.005 
64  ,1     ,127      ,224    ,5.501          ,5.861               ,0.939 
64  ,64    ,127      ,224    ,5.519          ,5.472               ,1.009 
256 ,0     ,127      ,64     ,4.482          ,6.856               ,0.654 
256 ,1     ,127      ,64     ,4.868          ,6.589               ,0.739 
256 ,64    ,127      ,64     ,4.47           ,6.845               ,0.653 
64  ,0     ,127      ,256    ,5.507          ,5.669               ,0.971 
64  ,1     ,127      ,256    ,5.511          ,5.837               ,0.944 
64  ,64    ,127      ,256    ,5.533          ,5.939               ,0.932 
288 ,0     ,127      ,64     ,4.391          ,6.921               ,0.634 
288 ,1     ,127      ,64     ,4.955          ,6.482               ,0.764 
288 ,64    ,127      ,64     ,4.457          ,6.599               ,0.675 
64  ,0     ,127      ,288    ,5.525          ,5.665               ,0.975 
64  ,1     ,127      ,288    ,5.558          ,5.87                ,0.947 
64  ,64    ,127      ,288    ,5.547          ,5.829               ,0.952 
320 ,0     ,127      ,64     ,4.545          ,6.583               ,0.69  
320 ,1     ,127      ,64     ,4.94           ,6.335               ,0.78  
320 ,64    ,127      ,64     ,4.445          ,6.498               ,0.684 
64  ,0     ,127      ,320    ,5.558          ,5.501               ,1.01  
64  ,1     ,127      ,320    ,5.55           ,5.624               ,0.987 
64  ,64    ,127      ,320    ,5.561          ,5.42                ,1.026 
352 ,0     ,127      ,64     ,4.501          ,6.442               ,0.699 
352 ,1     ,127      ,64     ,4.866          ,6.586               ,0.739 
352 ,64    ,127      ,64     ,4.498          ,6.818               ,0.66  
64  ,0     ,127      ,352    ,5.553          ,5.459               ,1.017 
64  ,1     ,127      ,352    ,5.553          ,5.629               ,0.987 
64  ,64    ,127      ,352    ,5.586          ,5.768               ,0.968 
384 ,0     ,127      ,64     ,4.561          ,6.382               ,0.715 
384 ,1     ,127      ,64     ,4.824          ,6.432               ,0.75  
384 ,64    ,127      ,64     ,4.448          ,6.915               ,0.643 
64  ,0     ,127      ,384    ,5.555          ,5.593               ,0.993 
64  ,1     ,127      ,384    ,5.536          ,5.865               ,0.944 
64  ,64    ,127      ,384    ,5.561          ,5.513               ,1.009 
416 ,0     ,127      ,64     ,4.538          ,6.597               ,0.688 
416 ,1     ,127      ,64     ,4.994          ,6.941               ,0.72  
416 ,64    ,127      ,64     ,4.534          ,6.089               ,0.745 
64  ,0     ,127      ,416    ,5.554          ,5.581               ,0.995 
64  ,1     ,127      ,416    ,5.546          ,5.656               ,0.981 
64  ,64    ,127      ,416    ,5.561          ,5.499               ,1.011 
448 ,0     ,127      ,64     ,4.55           ,6.42                ,0.709 
448 ,1     ,127      ,64     ,4.912          ,6.247               ,0.786 
448 ,64    ,127      ,64     ,4.681          ,6.496               ,0.721 
64  ,0     ,127      ,448    ,5.57           ,5.807               ,0.959 
64  ,1     ,127      ,448    ,5.57           ,5.741               ,0.97  
64  ,64    ,127      ,448    ,5.555          ,5.625               ,0.988 
480 ,0     ,127      ,64     ,4.545          ,6.438               ,0.706 
480 ,1     ,127      ,64     ,4.939          ,6.536               ,0.756 
480 ,64    ,127      ,64     ,4.581          ,6.759               ,0.678 
64  ,0     ,127      ,480    ,5.563          ,5.64                ,0.986 
