combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex ,__strnlen_evex_sunil 
384 ,0     ,127      ,128    ,6.167          ,6.986                ,0.883 
384 ,1     ,127      ,128    ,6.534          ,7.057                ,0.926 
384 ,64    ,127      ,128    ,6.025          ,6.815                ,0.884 
128 ,0     ,127      ,384    ,6.844          ,7.394                ,0.926 
128 ,1     ,127      ,384    ,6.781          ,7.41                 ,0.915 
128 ,64    ,127      ,384    ,6.773          ,7.62                 ,0.889 
416 ,0     ,127      ,128    ,5.967          ,6.602                ,0.904 
416 ,1     ,127      ,128    ,6.502          ,7.06                 ,0.921 
416 ,64    ,127      ,128    ,5.973          ,6.833                ,0.874 
128 ,0     ,127      ,416    ,6.743          ,7.394                ,0.912 
128 ,1     ,127      ,416    ,6.732          ,7.371                ,0.913 
128 ,64    ,127      ,416    ,6.754          ,7.454                ,0.906 
448 ,0     ,127      ,128    ,5.928          ,6.498                ,0.912 
448 ,1     ,127      ,128    ,6.652          ,7.019                ,0.948 
448 ,64    ,127      ,128    ,5.879          ,6.466                ,0.909 
128 ,0     ,127      ,448    ,6.745          ,7.423                ,0.909 
128 ,1     ,127      ,448    ,6.733          ,7.568                ,0.89  
128 ,64    ,127      ,448    ,6.756          ,7.409                ,0.912 
480 ,0     ,127      ,128    ,5.892          ,6.595                ,0.893 
480 ,1     ,127      ,128    ,6.64           ,7.134                ,0.931 
480 ,64    ,127      ,128    ,6.038          ,6.531                ,0.925 
128 ,0     ,127      ,480    ,6.783          ,7.441                ,0.912 
128 ,1     ,127      ,480    ,6.719          ,7.551                ,0.89  
128 ,64    ,127      ,480    ,6.73           ,7.405                ,0.909 
512 ,0     ,127      ,128    ,5.99           ,6.675                ,0.897 
512 ,1     ,127      ,128    ,6.435          ,7.109                ,0.905 
512 ,64    ,127      ,128    ,5.928          ,6.646                ,0.892 
