
Results For: strncat
align1,align2 ,len1 ,len2 ,max_char ,n    ,new    ,old    ,new/old 
0     ,0      ,4    ,4    ,127      ,2    ,18.033 ,20.127 ,0.896   
0     ,0      ,4    ,4    ,127      ,2048 ,18.752 ,19.593 ,0.957   
0     ,0      ,4    ,4    ,127      ,32   ,18.69  ,18.739 ,0.997   
0     ,0      ,4    ,4    ,127      ,512  ,18.693 ,19.161 ,0.976   
0     ,0      ,4    ,4    ,127      ,8    ,18.651 ,18.618 ,1.002   
0     ,0      ,512  ,128  ,127      ,128  ,19.857 ,22.42  ,0.886   
0     ,0      ,512  ,128  ,127      ,2    ,17.202 ,19.308 ,0.891   
0     ,0      ,512  ,128  ,127      ,2048 ,26.361 ,29.868 ,0.883   
0     ,0      ,512  ,128  ,127      ,32   ,17.515 ,19.325 ,0.906   
0     ,0      ,512  ,128  ,127      ,512  ,25.866 ,28.883 ,0.896   
0     ,0      ,512  ,128  ,127      ,8    ,17.431 ,19.205 ,0.908   
0     ,0      ,512  ,448  ,127      ,512  ,27.339 ,29.935 ,0.913   
0     ,0      ,512  ,480  ,127      ,512  ,26.78  ,29.613 ,0.904   
0     ,0      ,512  ,512  ,127      ,128  ,21.937 ,23.096 ,0.95    
0     ,0      ,512  ,512  ,127      ,2    ,18.125 ,18.851 ,0.961   
0     ,0      ,512  ,512  ,127      ,2048 ,29.999 ,29.213 ,1.027   
0     ,0      ,512  ,512  ,127      ,32   ,18.455 ,19.313 ,0.956   
0     ,0      ,512  ,512  ,127      ,448  ,26.492 ,28.895 ,0.917   
0     ,0      ,512  ,512  ,127      ,480  ,27.025 ,29.564 ,0.914   
0     ,0      ,512  ,512  ,127      ,512  ,27.953 ,29.149 ,0.959   
0     ,0      ,512  ,512  ,127      ,544  ,29.55  ,31.227 ,0.946   
0     ,0      ,512  ,512  ,127      ,576  ,29.649 ,30.933 ,0.958   
0     ,0      ,512  ,512  ,127      ,8    ,18.532 ,18.917 ,0.98    
0     ,0      ,512  ,544  ,127      ,512  ,26.823 ,31.019 ,0.865   
0     ,0      ,512  ,576  ,127      ,512  ,26.787 ,31.405 ,0.853   
0     ,0      ,64   ,16   ,127      ,128  ,24.945 ,24.421 ,1.021   
0     ,0      ,64   ,16   ,127      ,2    ,18.08  ,18.282 ,0.989   
