combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex512 ,__strnlen_evex512_orig 
2048,64    ,127      ,1984   ,17.918            ,20.375                 ,0.879 
2144,0     ,127      ,2048   ,17.775            ,20.442                 ,0.87  
2144,1     ,127      ,2048   ,22.92             ,23.607                 ,0.971 
2144,64    ,127      ,2048   ,23.362            ,24.78                  ,0.943 
2048,0     ,127      ,2144   ,21.97             ,21.765                 ,1.009 
2048,1     ,127      ,2144   ,21.997            ,22.572                 ,0.975 
2048,64    ,127      ,2144   ,22.433            ,23.518                 ,0.954 
1952,0     ,127      ,2048   ,21.441            ,21.736                 ,0.986 
1952,1     ,127      ,2048   ,21.531            ,22.199                 ,0.97  
1952,64    ,127      ,2048   ,21.444            ,22.471                 ,0.954 
2048,0     ,127      ,1952   ,18.11             ,19.873                 ,0.911 
2048,1     ,127      ,1952   ,17.959            ,20.871                 ,0.86  
2048,64    ,127      ,1952   ,17.889            ,20.136                 ,0.888 
2176,0     ,127      ,2048   ,18.013            ,20.171                 ,0.893 
2176,1     ,127      ,2048   ,23.604            ,23.44                  ,1.007 
2176,64    ,127      ,2048   ,23.26             ,23.776                 ,0.978 
2048,0     ,127      ,2176   ,21.957            ,22.458                 ,0.978 
2048,1     ,127      ,2176   ,22.125            ,21.894                 ,1.011 
2048,64    ,127      ,2176   ,22.711            ,22.701                 ,1.0   
1920,0     ,127      ,2048   ,21.408            ,21.966                 ,0.975 
1920,1     ,127      ,2048   ,21.568            ,21.921                 ,0.984 
1920,64    ,127      ,2048   ,21.407            ,22.056                 ,0.971 
2048,0     ,127      ,1920   ,18.046            ,20.542                 ,0.878 
2048,1     ,127      ,1920   ,18.012            ,20.486                 ,0.879 
2048,64    ,127      ,1920   ,18.202            ,20.074                 ,0.907 
2208,0     ,127      ,2048   ,18.087            ,20.337                 ,0.889 
2208,1     ,127      ,2048   ,24.11             ,23.791                 ,1.013 
2208,64    ,127      ,2048   ,22.967            ,24.592                 ,0.934 
2048,0     ,127      ,2208   ,21.763            ,22.552                 ,0.965 
2048,1     ,127      ,2208   ,21.934            ,23.033                 ,0.952 
2048,64    ,127      ,2208   ,22.602            ,23.386                 ,0.966 
1888,0     ,127      ,2048   ,20.777            ,21.068                 ,0.986 
1888,1     ,127      ,2048   ,20.818            ,21.386                 ,0.973 
1888,64    ,127      ,2048   ,21.348            ,21.868                 ,0.976 
2048,0     ,127      ,1888   ,17.962            ,20.385                 ,0.881 
2048,1     ,127      ,1888   ,17.976            ,20.835                 ,0.863 
2048,64    ,127      ,1888   ,18.055            ,20.268                 ,0.891 
2240,0     ,127      ,2048   ,18.287            ,19.786                 ,0.924 
2240,1     ,127      ,2048   ,23.226            ,24.66                  ,0.942 
2240,64    ,127      ,2048   ,19.804            ,22.746                 ,0.871 
2048,0     ,127      ,2240   ,22.057            ,23.518                 ,0.938 
2048,1     ,127      ,2240   ,22.16             ,23.073                 ,0.96  
2048,64    ,127      ,2240   ,22.869            ,24.157                 ,0.947 
1856,0     ,127      ,2048   ,20.751            ,21.407                 ,0.969 
1856,1     ,127      ,2048   ,20.932            ,22.564                 ,0.928 
1856,64    ,127      ,2048   ,21.515            ,22.462                 ,0.958 
2048,0     ,127      ,1856   ,18.053            ,21.069                 ,0.857 
2048,1     ,127      ,1856   ,18.067            ,20.801                 ,0.869 
2048,64    ,127      ,1856   ,18.093            ,20.971                 ,0.863 
2272,0     ,127      ,2048   ,18.057            ,20.933                 ,0.863 
2272,1     ,127      ,2048   ,23.278            ,24.599                 ,0.946 
2272,64    ,127      ,2048   ,19.849            ,22.916                 ,0.866 
2048,0     ,127      ,2272   ,21.974            ,22.56                  ,0.974 
2048,1     ,127      ,2272   ,22.307            ,22.648                 ,0.985 
2048,64    ,127      ,2272   ,22.621            ,23.626                 ,0.957 
1824,0     ,127      ,2048   ,19.95             ,20.862                 ,0.956 
1824,1     ,127      ,2048   ,20.252            ,20.528                 ,0.987 
1824,64    ,127      ,2048   ,20.771            ,21.517                 ,0.965 
2048,0     ,127      ,1824   ,18.076            ,20.556                 ,0.879 
2048,1     ,127      ,1824   ,18.105            ,20.591                 ,0.879 
2048,64    ,127      ,1824   ,18.25             ,20.289                 ,0.899 
2304,0     ,127      ,2048   ,18.217            ,20.084                 ,0.907 
2304,1     ,127      ,2048   ,20.129            ,24.067                 ,0.836 
2304,64    ,127      ,2048   ,19.805            ,23.281                 ,0.851 
2048,0     ,127      ,2304   ,21.933            ,22.695                 ,0.966 
2048,1     ,127      ,2304   ,22.16             ,22.2                   ,0.998 
2048,64    ,127      ,2304   ,22.69             ,23.85                  ,0.951 
1792,0     ,127      ,2048   ,20.019            ,20.262                 ,0.988 
1792,1     ,127      ,2048   ,20.326            ,20.937                 ,0.971 
1792,64    ,127      ,2048   ,20.676            ,21.627                 ,0.956 
2048,0     ,127      ,1792   ,16.715            ,18.745                 ,0.892 
2048,1     ,127      ,1792   ,18.372            ,20.517                 ,0.895 
2048,64    ,127      ,1792   ,18.101            ,20.371                 ,0.889 
2336,0     ,127      ,2048   ,18.081            ,20.429                 ,0.885 
2336,1     ,127      ,2048   ,20.083            ,22.992                 ,0.873 
2336,64    ,127      ,2048   ,19.989            ,22.788                 ,0.877 
2048,0     ,127      ,2336   ,22.031            ,23.013                 ,0.957 
2048,1     ,127      ,2336   ,22.414            ,22.953                 ,0.976 
2048,64    ,127      ,2336   ,22.949            ,23.976                 ,0.957 
1760,0     ,127      ,2048   ,20.001            ,20.307                 ,0.985 
1760,1     ,127      ,2048   ,20.318            ,20.785                 ,0.978 
1760,64    ,127      ,2048   ,19.988            ,20.281                 ,0.986 
2048,0     ,127      ,1760   ,16.544            ,18.627                 ,0.888 
2048,1     ,127      ,1760   ,16.409            ,18.756                 ,0.875 
2048,64    ,127      ,1760   ,17.955            ,20.174                 ,0.89  
2368,0     ,127      ,2048   ,18.037            ,20.458                 ,0.882 
2368,1     ,127      ,2048   ,19.787            ,22.689                 ,0.872 
2368,64    ,127      ,2048   ,19.732            ,22.823                 ,0.865 
2048,0     ,127      ,2368   ,21.799            ,22.403                 ,0.973 
2048,1     ,127      ,2368   ,21.932            ,23.098                 ,0.95  
2048,64    ,127      ,2368   ,22.67             ,23.632                 ,0.959 
1728,0     ,127      ,2048   ,19.783            ,20.51                  ,0.965 
1728,1     ,127      ,2048   ,20.231            ,20.652                 ,0.98  
1728,64    ,127      ,2048   ,20.007            ,21.018                 ,0.952 
2048,0     ,127      ,1728   ,16.274            ,18.327                 ,0.888 
2048,1     ,127      ,1728   ,16.376            ,18.536                 ,0.883 
2048,64    ,127      ,1728   ,16.487            ,18.967                 ,0.869 
2400,0     ,127      ,2048   ,18.291            ,20.52                  ,0.891 
2400,1     ,127      ,2048   ,19.804            ,22.412                 ,0.884 
2400,64    ,127      ,2048   ,19.726            ,22.832                 ,0.864 
2048,0     ,127      ,2400   ,22.032            ,22.504                 ,0.979 
2048,1     ,127      ,2400   ,22.136            ,22.705                 ,0.975 
2048,64    ,127      ,2400   ,22.792            ,23.663                 ,0.963 
1696,0     ,127      ,2048   ,19.919            ,20.155                 ,0.988 
1696,1     ,127      ,2048   ,20.203            ,20.514                 ,0.985 
1696,64    ,127      ,2048   ,19.991            ,20.661                 ,0.968 
2048,0     ,127      ,1696   ,16.335            ,18.763                 ,0.871 
2048,1     ,127      ,1696   ,16.366            ,18.657                 ,0.877 
2048,64    ,127      ,1696   ,16.426            ,18.944                 ,0.867 
2432,0     ,127      ,2048   ,17.933            ,20.488                 ,0.875 
2432,1     ,127      ,2048   ,19.804            ,22.746                 ,0.871 
2432,64    ,127      ,2048   ,19.848            ,22.788                 ,0.871 
2048,0     ,127      ,2432   ,21.945            ,22.553                 ,0.973 
2048,1     ,127      ,2432   ,22.08             ,22.782                 ,0.969 
2048,64    ,127      ,2432   ,22.967            ,23.307                 ,0.985 
1664,0     ,127      ,2048   ,19.859            ,20.397                 ,0.974 
1664,1     ,127      ,2048   ,19.924            ,20.335                 ,0.98  
1664,64    ,127      ,2048   ,20.016            ,20.501                 ,0.976 
2048,0     ,127      ,1664   ,16.347            ,19.469                 ,0.84  
2048,1     ,127      ,1664   ,16.438            ,18.78                  ,0.875 
2048,64    ,127      ,1664   ,16.33             ,19.222                 ,0.85  
2464,0     ,127      ,2048   ,17.911            ,20.277                 ,0.883 
2464,1     ,127      ,2048   ,19.682            ,22.581                 ,0.872 
2464,64    ,127      ,2048   ,19.772            ,22.961                 ,0.861 
2048,0     ,127      ,2464   ,22.004            ,22.383                 ,0.983 
2048,1     ,127      ,2464   ,22.194            ,22.644                 ,0.98  
2048,64    ,127      ,2464   ,22.721            ,23.664                 ,0.96  
1632,0     ,127      ,2048   ,19.419            ,20.007                 ,0.971 
1632,1     ,127      ,2048   ,19.855            ,20.573                 ,0.965 
1632,64    ,127      ,2048   ,19.803            ,20.058                 ,0.987 
2048,0     ,127      ,1632   ,16.506            ,18.859                 ,0.875 
2048,1     ,127      ,1632   ,16.582            ,18.671                 ,0.888 
2048,64    ,127      ,1632   ,16.358            ,19.181                 ,0.853 
2496,0     ,127      ,2048   ,18.104            ,19.613                 ,0.923 
2496,1     ,127      ,2048   ,19.831            ,22.701                 ,0.874 
2496,64    ,127      ,2048   ,19.793            ,22.357                 ,0.885 
2048,0     ,127      ,2496   ,22.318            ,23.097                 ,0.966 
2048,1     ,127      ,2496   ,22.129            ,22.581                 ,0.98  
2048,64    ,127      ,2496   ,22.686            ,23.589                 ,0.962 
1600,0     ,127      ,2048   ,19.386            ,20.382                 ,0.951 
1600,1     ,127      ,2048   ,19.829            ,20.757                 ,0.955 
1600,64    ,127      ,2048   ,19.873            ,20.073                 ,0.99  
2048,0     ,127      ,1600   ,16.315            ,19.377                 ,0.842 
2048,1     ,127      ,1600   ,16.413            ,18.444                 ,0.89  
2048,64    ,127      ,1600   ,16.381            ,18.623                 ,0.88  
2528,0     ,127      ,2048   ,17.983            ,19.867                 ,0.905 
2528,1     ,127      ,2048   ,19.61             ,22.191                 ,0.884 
2528,64    ,127      ,2048   ,19.798            ,22.361                 ,0.885 
2048,0     ,127      ,2528   ,21.936            ,22.196                 ,0.988 
2048,1     ,127      ,2528   ,22.268            ,22.518                 ,0.989 
2048,64    ,127      ,2528   ,22.673            ,24.287                 ,0.934 
1568,0     ,127      ,2048   ,19.443            ,19.056                 ,1.02  
1568,1     ,127      ,2048   ,19.489            ,19.537                 ,0.998 
1568,64    ,127      ,2048   ,19.431            ,20.189                 ,0.962 
2048,0     ,127      ,1568   ,16.554            ,18.781                 ,0.881 
2048,1     ,127      ,1568   ,16.451            ,18.985                 ,0.867 
2048,64    ,127      ,1568   ,16.601            ,18.564                 ,0.894 
2560,0     ,127      ,2048   ,18.021            ,20.148                 ,0.894 
2560,1     ,127      ,2048   ,19.672            ,22.518                 ,0.874 
2560,64    ,127      ,2048   ,19.648            ,22.493                 ,0.874 
2048,0     ,127      ,2560   ,21.97             ,22.374                 ,0.982 
2048,1     ,127      ,2560   ,22.102            ,23.505                 ,0.94  
2048,64    ,127      ,2560   ,22.796            ,24.189                 ,0.942 
1536,0     ,127      ,2048   ,19.024            ,18.997                 ,1.001 
1536,1     ,127      ,2048   ,19.616            ,19.015                 ,1.032 
1536,64    ,127      ,2048   ,19.695            ,20.274                 ,0.971 
2048,0     ,127      ,1536   ,14.862            ,17.541                 ,0.847 
2048,1     ,127      ,1536   ,16.451            ,19.276                 ,0.853 
2048,64    ,127      ,1536   ,16.376            ,19.179                 ,0.854 
2592,0     ,127      ,2048   ,18.074            ,21.296                 ,0.849 
2592,1     ,127      ,2048   ,20.093            ,23.949                 ,0.839 
2592,64    ,127      ,2048   ,19.708            ,23.723                 ,0.831 
2048,0     ,127      ,2592   ,21.995            ,22.892                 ,0.961 
2048,1     ,127      ,2592   ,22.001            ,22.606                 ,0.973 
2048,64    ,127      ,2592   ,22.505            ,25.25                  ,0.891 
1504,0     ,127      ,2048   ,18.608            ,19.292                 ,0.965 
1504,1     ,127      ,2048   ,18.77             ,19.084                 ,0.984 
1504,64    ,127      ,2048   ,19.362            ,19.063                 ,1.016 
2048,0     ,127      ,1504   ,14.931            ,17.266                 ,0.865 
2048,1     ,127      ,1504   ,14.892            ,17.656                 ,0.843 
2048,64    ,127      ,1504   ,16.457            ,20.228                 ,0.814 
2624,0     ,127      ,2048   ,18.032            ,21.426                 ,0.842 
2624,1     ,127      ,2048   ,19.853            ,24.065                 ,0.825 
2624,64    ,127      ,2048   ,19.724            ,24.353                 ,0.81  
2048,0     ,127      ,2624   ,21.878            ,23.054                 ,0.949 
2048,1     ,127      ,2624   ,22.289            ,22.75                  ,0.98  
2048,64    ,127      ,2624   ,22.609            ,24.798                 ,0.912 
1472,0     ,127      ,2048   ,18.549            ,19.208                 ,0.966 
1472,1     ,127      ,2048   ,18.898            ,19.842                 ,0.952 
1472,64    ,127      ,2048   ,19.14             ,19.123                 ,1.001 
2048,0     ,127      ,1472   ,14.831            ,16.937                 ,0.876 
2048,1     ,127      ,1472   ,15.022            ,17.574                 ,0.855 
2048,64    ,127      ,1472   ,14.975            ,17.6                   ,0.851 
2656,0     ,127      ,2048   ,18.168            ,20.893                 ,0.87  
2656,1     ,127      ,2048   ,19.714            ,23.043                 ,0.856 
2656,64    ,127      ,2048   ,19.757            ,22.54                  ,0.877 
2048,0     ,127      ,2656   ,21.864            ,22.096                 ,0.99  
2048,1     ,127      ,2656   ,21.878            ,22.708                 ,0.963 
2048,64    ,127      ,2656   ,22.702            ,23.422                 ,0.969 
1440,0     ,127      ,2048   ,18.677            ,18.589                 ,1.005 
1440,1     ,127      ,2048   ,18.896            ,19.239                 ,0.982 
1440,64    ,127      ,2048   ,18.766            ,19.481                 ,0.963 
2048,0     ,127      ,1440   ,14.823            ,16.836                 ,0.88  
2048,1     ,127      ,1440   ,14.956            ,17.392                 ,0.86  
2048,64    ,127      ,1440   ,14.893            ,17.751                 ,0.839 
2688,0     ,127      ,2048   ,18.186            ,21.865                 ,0.832 
2688,1     ,127      ,2048   ,19.971            ,24.335                 ,0.821 
2688,64    ,127      ,2048   ,19.767            ,23.395                 ,0.845 
2048,0     ,127      ,2688   ,21.919            ,23.386                 ,0.937 
2048,1     ,127      ,2688   ,22.15             ,23.309                 ,0.95  
2048,64    ,127      ,2688   ,22.803            ,23.91                  ,0.954 
1408,0     ,127      ,2048   ,18.438            ,18.867                 ,0.977 
1408,1     ,127      ,2048   ,18.75             ,19.244                 ,0.974 
1408,64    ,127      ,2048   ,18.721            ,19.333                 ,0.968 
2048,0     ,127      ,1408   ,14.877            ,17.094                 ,0.87  
2048,1     ,127      ,1408   ,14.95             ,17.582                 ,0.85  
2048,64    ,127      ,1408   ,14.857            ,17.502                 ,0.849 
2720,0     ,127      ,2048   ,18.12             ,21.974                 ,0.825 
2720,1     ,127      ,2048   ,19.835            ,23.511                 ,0.844 
2720,64    ,127      ,2048   ,19.828            ,24.108                 ,0.822 
2048,0     ,127      ,2720   ,21.857            ,23.225                 ,0.941 
2048,1     ,127      ,2720   ,22.101            ,23.262                 ,0.95  
2048,64    ,127      ,2720   ,22.726            ,24.491                 ,0.928 
1376,0     ,127      ,2048   ,18.235            ,18.622                 ,0.979 
1376,1     ,127      ,2048   ,18.756            ,19.004                 ,0.987 
1376,64    ,127      ,2048   ,18.376            ,19.013                 ,0.966 
2048,0     ,127      ,1376   ,14.806            ,17.632                 ,0.84  
2048,1     ,127      ,1376   ,14.907            ,17.268                 ,0.863 
2048,64    ,127      ,1376   ,15.087            ,17.432                 ,0.865 
2752,0     ,127      ,2048   ,18.068            ,21.865                 ,0.826 
2752,1     ,127      ,2048   ,19.781            ,24.061                 ,0.822 
2752,64    ,127      ,2048   ,19.832            ,24.74                  ,0.802 
2048,0     ,127      ,2752   ,21.876            ,22.882                 ,0.956 
2048,1     ,127      ,2752   ,22.345            ,22.873                 ,0.977 
2048,64    ,127      ,2752   ,22.909            ,24.281                 ,0.943 
1344,0     ,127      ,2048   ,18.27             ,18.397                 ,0.993 
1344,1     ,127      ,2048   ,18.933            ,18.8                   ,1.007 
1344,64    ,127      ,2048   ,18.737            ,19.196                 ,0.976 
2048,0     ,127      ,1344   ,14.781            ,17.24                  ,0.857 
2048,1     ,127      ,1344   ,14.915            ,17.616                 ,0.847 
2048,64    ,127      ,1344   ,14.822            ,17.201                 ,0.862 
4096,0     ,127      ,4096   ,33.449            ,33.961                 ,0.985 
4096,1     ,127      ,4096   ,36.191            ,36.9                   ,0.981 
4096,64    ,127      ,4096   ,37.097            ,37.735                 ,0.983 
4128,0     ,127      ,4096   ,34.396            ,36.899                 ,0.932 
4128,1     ,127      ,4096   ,37.032            ,39.304                 ,0.942 
4128,64    ,127      ,4096   ,37.91             ,39.157                 ,0.968 
4096,0     ,127      ,4128   ,37.537            ,38.307                 ,0.98  
4096,1     ,127      ,4128   ,37.123            ,38.113                 ,0.974 
4096,64    ,127      ,4128   ,37.898            ,40.125                 ,0.944 
4064,0     ,127      ,4096   ,37.049            ,38.737                 ,0.956 
4064,1     ,127      ,4096   ,37.025            ,38.541                 ,0.961 
4064,64    ,127      ,4096   ,37.104            ,39.007                 ,0.951 
4096,0     ,127      ,4064   ,34.238            ,36.381                 ,0.941 
4096,1     ,127      ,4064   ,34.305            ,37.962                 ,0.904 
4096,64    ,127      ,4064   ,37.828            ,40.004                 ,0.946 
4160,0     ,127      ,4096   ,34.717            ,37.495                 ,0.926 
4160,1     ,127      ,4096   ,37.875            ,39.135                 ,0.968 
4160,64    ,127      ,4096   ,38.703            ,41.664                 ,0.929 
4096,0     ,127      ,4160   ,37.036            ,39.177                 ,0.945 
4096,1     ,127      ,4160   ,37.195            ,39.481                 ,0.942 
4096,64    ,127      ,4160   ,37.739            ,40.447                 ,0.933 
4032,0     ,127      ,4096   ,37.057            ,39.085                 ,0.948 
4032,1     ,127      ,4096   ,36.835            ,37.796                 ,0.975 
4032,64    ,127      ,4096   ,36.879            ,37.814                 ,0.975 
4096,0     ,127      ,4032   ,34.139            ,35.333                 ,0.966 
4096,1     ,127      ,4032   ,34.163            ,36.522                 ,0.935 
4096,64    ,127      ,4032   ,34.202            ,37.637                 ,0.909 
4192,0     ,127      ,4096   ,34.325            ,35.082                 ,0.978 
4192,1     ,127      ,4096   ,37.724            ,38.843                 ,0.971 
4192,64    ,127      ,4096   ,38.684            ,39.164                 ,0.988 
4096,0     ,127      ,4192   ,37.425            ,37.948                 ,0.986 
4096,1     ,127      ,4192   ,36.947            ,39.112                 ,0.945 
4096,64    ,127      ,4192   ,37.643            ,37.821                 ,0.995 
4000,0     ,127      ,4096   ,36.345            ,37.146                 ,0.978 
4000,1     ,127      ,4096   ,36.554            ,38.682                 ,0.945 
4000,64    ,127      ,4096   ,36.973            ,38.168                 ,0.969 
4096,0     ,127      ,4000   ,34.447            ,35.298                 ,0.976 
4096,1     ,127      ,4000   ,34.374            ,35.539                 ,0.967 
4096,64    ,127      ,4000   ,34.463            ,36.864                 ,0.935 
4224,0     ,127      ,4096   ,34.14             ,35.453                 ,0.963 
4224,1     ,127      ,4096   ,38.621            ,40.609                 ,0.951 
4224,64    ,127      ,4096   ,39.123            ,40.483                 ,0.966 
4096,0     ,127      ,4224   ,36.829            ,39.401                 ,0.935 
4096,1     ,127      ,4224   ,36.825            ,37.172                 ,0.991 
4096,64    ,127      ,4224   ,37.732            ,38.913                 ,0.97  
3968,0     ,127      ,4096   ,36.343            ,38.289                 ,0.949 
3968,1     ,127      ,4096   ,36.391            ,37.965                 ,0.959 
3968,64    ,127      ,4096   ,37.066            ,37.152                 ,0.998 
4096,0     ,127      ,3968   ,33.899            ,35.436                 ,0.957 
4096,1     ,127      ,3968   ,34.699            ,36.635                 ,0.947 
4096,64    ,127      ,3968   ,34.191            ,36.526                 ,0.936 
4256,0     ,127      ,4096   ,34.279            ,36.359                 ,0.943 
4256,1     ,127      ,4096   ,38.763            ,39.577                 ,0.979 
4256,64    ,127      ,4096   ,39.287            ,39.7                   ,0.99  
4096,0     ,127      ,4256   ,36.939            ,37.886                 ,0.975 
4096,1     ,127      ,4256   ,36.86             ,36.892                 ,0.999 
4096,64    ,127      ,4256   ,37.601            ,38.939                 ,0.966 
3936,0     ,127      ,4096   ,35.665            ,36.812                 ,0.969 
3936,1     ,127      ,4096   ,35.622            ,35.841                 ,0.994 
3936,64    ,127      ,4096   ,36.496            ,36.624                 ,0.997 
4096,0     ,127      ,3936   ,34.224            ,35.428                 ,0.966 
4096,1     ,127      ,3936   ,34.233            ,35.522                 ,0.964 
4096,64    ,127      ,3936   ,34.372            ,35.547                 ,0.967 
4288,0     ,127      ,4096   ,34.221            ,35.456                 ,0.965 
4288,1     ,127      ,4096   ,39.461            ,40.812                 ,0.967 
4288,64    ,127      ,4096   ,36.186            ,38.508                 ,0.94  
4096,0     ,127      ,4288   ,36.69             ,38.762                 ,0.947 
4096,1     ,127      ,4288   ,37.005            ,38.733                 ,0.955 
4096,64    ,127      ,4288   ,37.739            ,39.217                 ,0.962 
3904,0     ,127      ,4096   ,35.787            ,37.984                 ,0.942 
3904,1     ,127      ,4096   ,35.707            ,38.077                 ,0.938 
3904,64    ,127      ,4096   ,36.194            ,37.995                 ,0.953 
4096,0     ,127      ,3904   ,34.015            ,36.309                 ,0.937 
4096,1     ,127      ,3904   ,33.805            ,38.075                 ,0.888 
4096,64    ,127      ,3904   ,34.336            ,36.206                 ,0.948 
4320,0     ,127      ,4096   ,34.413            ,36.449                 ,0.944 
4320,1     ,127      ,4096   ,39.449            ,40.92                  ,0.964 
4320,64    ,127      ,4096   ,36.328            ,37.483                 ,0.969 
4096,0     ,127      ,4320   ,37.034            ,38.851                 ,0.953 
4096,1     ,127      ,4320   ,36.826            ,36.529                 ,1.008 
4096,64    ,127      ,4320   ,40.565            ,40.865                 ,0.993 
3872,0     ,127      ,4096   ,34.724            ,35.719                 ,0.972 
3872,1     ,127      ,4096   ,34.858            ,34.814                 ,1.001 
3872,64    ,127      ,4096   ,35.78             ,36.971                 ,0.968 
4096,0     ,127      ,3872   ,34.148            ,35.787                 ,0.954 
4096,1     ,127      ,3872   ,34.237            ,37.027                 ,0.925 
4096,64    ,127      ,3872   ,34.073            ,35.54                  ,0.959 
4352,0     ,127      ,4096   ,33.848            ,35.327                 ,0.958 
4352,1     ,127      ,4096   ,36.276            ,36.05                  ,1.006 
4352,64    ,127      ,4096   ,36.155            ,36.251                 ,0.997 
4096,0     ,127      ,4352   ,36.81             ,37.882                 ,0.972 
4096,1     ,127      ,4352   ,36.963            ,37.099                 ,0.996 
4096,64    ,127      ,4352   ,37.848            ,38.059                 ,0.994 
3840,0     ,127      ,4096   ,35.101            ,36.118                 ,0.972 
3840,1     ,127      ,4096   ,34.94             ,35.038                 ,0.997 
3840,64    ,127      ,4096   ,35.432            ,36.957                 ,0.959 
4096,0     ,127      ,3840   ,31.905            ,34.65                  ,0.921 
4096,1     ,127      ,3840   ,34.166            ,35.36                  ,0.966 
4096,64    ,127      ,3840   ,34.127            ,35.487                 ,0.962 
4384,0     ,127      ,4096   ,34.357            ,34.234                 ,1.004 
4384,1     ,127      ,4096   ,36.435            ,36.441                 ,1.0   
4384,64    ,127      ,4096   ,36.318            ,39.013                 ,0.931 
4096,0     ,127      ,4384   ,36.917            ,36.874                 ,1.001 
4096,1     ,127      ,4384   ,36.817            ,36.693                 ,1.003 
4096,64    ,127      ,4384   ,37.699            ,37.91                  ,0.994 
3808,0     ,127      ,4096   ,34.766            ,35.496                 ,0.979 
3808,1     ,127      ,4096   ,34.909            ,35.611                 ,0.98  
3808,64    ,127      ,4096   ,34.793            ,35.491                 ,0.98  
4096,0     ,127      ,3808   ,32.109            ,32.859                 ,0.977 
4096,1     ,127      ,3808   ,32.153            ,32.991                 ,0.975 
4096,64    ,127      ,3808   ,34.016            ,35.945                 ,0.946 
4416,0     ,127      ,4096   ,34.695            ,34.959                 ,0.992 
4416,1     ,127      ,4096   ,36.328            ,37.157                 ,0.978 
4416,64    ,127      ,4096   ,36.142            ,38.053                 ,0.95  
4096,0     ,127      ,4416   ,36.959            ,38.455                 ,0.961 
4096,1     ,127      ,4416   ,37.056            ,38.058                 ,0.974 
4096,64    ,127      ,4416   ,37.742            ,39.192                 ,0.963 
3776,0     ,127      ,4096   ,34.953            ,35.743                 ,0.978 
3776,1     ,127      ,4096   ,34.747            ,35.518                 ,0.978 
3776,64    ,127      ,4096   ,34.751            ,35.808                 ,0.97  
4096,0     ,127      ,3776   ,32.025            ,34.624                 ,0.925 
4096,1     ,127      ,3776   ,32.021            ,33.038                 ,0.969 
4096,64    ,127      ,3776   ,32.033            ,33.061                 ,0.969 
4448,0     ,127      ,4096   ,34.228            ,35.319                 ,0.969 
4448,1     ,127      ,4096   ,36.203            ,36.231                 ,0.999 
4448,64    ,127      ,4096   ,36.244            ,37.369                 ,0.97  
4096,0     ,127      ,4448   ,36.998            ,36.762                 ,1.006 
4096,1     ,127      ,4448   ,37.051            ,36.877                 ,1.005 
4096,64    ,127      ,4448   ,37.634            ,37.721                 ,0.998 
3744,0     ,127      ,4096   ,34.412            ,34.059                 ,1.01  
3744,1     ,127      ,4096   ,34.39             ,34.351                 ,1.001 
3744,64    ,127      ,4096   ,34.91             ,35.333                 ,0.988 
4096,0     ,127      ,3744   ,32.107            ,32.131                 ,0.999 
4096,1     ,127      ,3744   ,32.27             ,32.141                 ,1.004 
4096,64    ,127      ,3744   ,32.18             ,32.043                 ,1.004 
4480,0     ,127      ,4096   ,34.247            ,34.265                 ,0.999 
4480,1     ,127      ,4096   ,36.411            ,36.269                 ,1.004 
4480,64    ,127      ,4096   ,36.206            ,37.209                 ,0.973 
4096,0     ,127      ,4480   ,36.825            ,38.072                 ,0.967 
4096,1     ,127      ,4480   ,37.029            ,37.932                 ,0.976 
4096,64    ,127      ,4480   ,37.694            ,39.001                 ,0.967 
3712,0     ,127      ,4096   ,34.439            ,34.362                 ,1.002 
3712,1     ,127      ,4096   ,34.683            ,34.221                 ,1.014 
3712,64    ,127      ,4096   ,34.904            ,35.336                 ,0.988 
4096,0     ,127      ,3712   ,32.16             ,32.159                 ,1.0   
4096,1     ,127      ,3712   ,32.134            ,33.478                 ,0.96  
4096,64    ,127      ,3712   ,31.934            ,33.399                 ,0.956 
4512,0     ,127      ,4096   ,34.095            ,35.511                 ,0.96  
4512,1     ,127      ,4096   ,36.246            ,37.36                  ,0.97  
4512,64    ,127      ,4096   ,36.403            ,37.389                 ,0.974 
4096,0     ,127      ,4512   ,36.969            ,38.109                 ,0.97  
4096,1     ,127      ,4512   ,37.003            ,38.067                 ,0.972 
4096,64    ,127      ,4512   ,37.969            ,39.605                 ,0.959 
3680,0     ,127      ,4096   ,33.754            ,34.116                 ,0.989 
3680,1     ,127      ,4096   ,33.727            ,34.747                 ,0.971 
3680,64    ,127      ,4096   ,34.411            ,35.078                 ,0.981 
4096,0     ,127      ,3680   ,32.089            ,33.157                 ,0.968 
4096,1     ,127      ,3680   ,32.11             ,33.342                 ,0.963 
4096,64    ,127      ,3680   ,32.093            ,33.491                 ,0.958 
4544,0     ,127      ,4096   ,34.317            ,34.16                  ,1.005 
4544,1     ,127      ,4096   ,36.424            ,36.334                 ,1.002 
4544,64    ,127      ,4096   ,36.275            ,36.342                 ,0.998 
