combined/run1/order0-0//bench-strnlen0.out
combined/run1/order0-0//bench-strnlen1.out
combined/run1/order0-0//bench-strnlen2.out
combined/run1/order0-0//bench-strnlen3.out
combined/run1/order0-0//bench-strnlen4.out
combined/run1/order0-0//bench-strnlen5.out
combined/run1/order0-0//bench-strnlen6.out
combined/run1/order0-0//bench-strnlen7.out
combined/run1/order0-0//bench-strnlen8.out
combined/run1/order0-0//bench-strnlen9.out

Results For: strnlen
len ,align ,max_char ,maxlen ,__strnlen_evex512 ,__strnlen_evex512_orig 
256 ,1     ,127      ,544    ,7.031             ,7.688                  ,0.915 
256 ,64    ,127      ,544    ,7.087             ,7.487                  ,0.947 
576 ,0     ,127      ,256    ,6.832             ,6.483                  ,1.054 
576 ,1     ,127      ,256    ,6.521             ,7.316                  ,0.891 
576 ,64    ,127      ,256    ,6.462             ,6.195                  ,1.043 
256 ,0     ,127      ,576    ,7.035             ,7.42                   ,0.948 
256 ,1     ,127      ,576    ,7.069             ,7.671                  ,0.922 
256 ,64    ,127      ,576    ,6.969             ,7.478                  ,0.932 
608 ,0     ,127      ,256    ,6.991             ,6.458                  ,1.083 
608 ,1     ,127      ,256    ,6.54              ,7.252                  ,0.902 
608 ,64    ,127      ,256    ,6.521             ,6.583                  ,0.991 
256 ,0     ,127      ,608    ,6.929             ,7.427                  ,0.933 
256 ,1     ,127      ,608    ,7.019             ,7.612                  ,0.922 
256 ,64    ,127      ,608    ,7.16              ,7.514                  ,0.953 
640 ,0     ,127      ,256    ,6.814             ,6.399                  ,1.065 
640 ,1     ,127      ,256    ,6.498             ,7.192                  ,0.904 
640 ,64    ,127      ,256    ,6.577             ,6.474                  ,1.016 
256 ,0     ,127      ,640    ,7.02              ,7.448                  ,0.943 
256 ,1     ,127      ,640    ,7.011             ,7.631                  ,0.919 
256 ,64    ,127      ,640    ,6.904             ,7.44                   ,0.928 
672 ,0     ,127      ,256    ,6.787             ,6.514                  ,1.042 
672 ,1     ,127      ,256    ,6.534             ,7.316                  ,0.893 
672 ,64    ,127      ,256    ,6.468             ,6.26                   ,1.033 
256 ,0     ,127      ,672    ,6.945             ,7.439                  ,0.934 
256 ,1     ,127      ,672    ,7.05              ,7.61                   ,0.926 
256 ,64    ,127      ,672    ,6.974             ,7.423                  ,0.939 
704 ,0     ,127      ,256    ,6.594             ,6.261                  ,1.053 
704 ,1     ,127      ,256    ,6.541             ,7.356                  ,0.889 
704 ,64    ,127      ,256    ,6.595             ,6.148                  ,1.073 
256 ,0     ,127      ,704    ,7.038             ,7.452                  ,0.944 
256 ,1     ,127      ,704    ,7.029             ,7.598                  ,0.925 
256 ,64    ,127      ,704    ,6.83              ,7.43                   ,0.919 
736 ,0     ,127      ,256    ,6.799             ,6.134                  ,1.109 
736 ,1     ,127      ,256    ,6.504             ,7.309                  ,0.89  
736 ,64    ,127      ,256    ,6.632             ,6.221                  ,1.066 
256 ,0     ,127      ,736    ,6.836             ,7.411                  ,0.922 
256 ,1     ,127      ,736    ,7.206             ,7.666                  ,0.94  
256 ,64    ,127      ,736    ,6.958             ,7.448                  ,0.934 
768 ,0     ,127      ,256    ,6.602             ,6.327                  ,1.043 
768 ,1     ,127      ,256    ,6.464             ,7.376                  ,0.876 
