Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9996456480425209

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
   9,     0,   10,        23,          0,     0.996
   9,     0,   10,         0,          0,     0.998
   9,    10,   10,        23,          0,     1.002
   9,    10,   10,         0,          0,     1.005
  11,  2048,   10,        23,          0,     1.001
  11,  2048,   10,         0,          0,     1.006
  11,  2058,   10,        23,          0,       1.0
  11,  2058,   10,         0,          0,     0.997
   9,  2048,   10,        23,          0,     0.997
   9,  2048,   10,         0,          0,     0.997
   9,  2058,   10,        23,          0,     0.998
   9,  2058,   10,         0,          0,     0.996
   9,  4081,   10,        23,          0,     0.997
   9,  4081,   10,         0,          0,     1.001
  11,  4081,   10,        23,          0,     0.999
  11,  4081,   10,         0,          0,       1.0
  12,     0,   11,        23,          0,     0.998
  12,     0,   11,         0,          0,     1.001
  12,    11,   11,        23,          0,     1.001
  12,    11,   11,         0,          0,     0.998
  10,     0,   11,        23,          0,     0.998
  10,     0,   11,         0,          0,       1.0
  10,    11,   11,        23,          0,     0.997
  10,    11,   11,         0,          0,     0.999
  12,  2048,   11,        23,          0,     0.999
  12,  2048,   11,         0,          0,     0.996
  12,  2059,   11,        23,          0,     0.997
  12,  2059,   11,         0,          0,     1.004
  10,  2048,   11,        23,          0,       1.0
  10,  2048,   11,         0,          0,     0.996
  10,  2059,   11,        23,          0,     1.003
  10,  2059,   11,         0,          0,     0.995
  10,  4081,   11,        23,          0,     0.994
  10,  4081,   11,         0,          0,     0.997
  12,  4081,   11,        23,          0,     1.001
  12,  4081,   11,         0,          0,     0.995
  13,     0,   12,        23,          0,     0.993
  13,     0,   12,         0,          0,     0.999
  13,    12,   12,        23,          0,       1.0
  13,    12,   12,         0,          0,     0.999
  11,     0,   12,        23,          0,     0.999
  11,     0,   12,         0,          0,     0.995
  11,    12,   12,        23,          0,     0.992
  11,    12,   12,         0,          0,     1.002
  13,  2048,   12,        23,          0,     0.997
