
Results For: wcpcpy
align1,align2 ,len  ,max_char   ,__wcpcpy_avx2 ,__wcpcpy_generic 
5     ,7      ,212  ,1273       ,28.461        ,47.344           ,0.601 
7     ,5      ,212  ,1273       ,29.586        ,39.626           ,0.747 
0     ,4      ,216  ,1273       ,29.87         ,47.314           ,0.631 
4     ,0      ,216  ,2147483647 ,29.368        ,39.498           ,0.744 
4     ,4      ,216  ,1273       ,21.792        ,43.19            ,0.505 
2     ,2      ,216  ,2147483647 ,21.777        ,43.03            ,0.506 
2     ,6      ,216  ,1273       ,29.882        ,47.427           ,0.63  
6     ,2      ,216  ,2147483647 ,29.464        ,39.722           ,0.742 
1     ,7      ,216  ,1273       ,30.004        ,47.569           ,0.631 
7     ,1      ,216  ,2147483647 ,29.673        ,38.831           ,0.764 
3     ,4      ,216  ,1273       ,28.588        ,47.506           ,0.602 
4     ,3      ,216  ,2147483647 ,29.446        ,39.739           ,0.741 
5     ,7      ,216  ,1273       ,28.55         ,47.489           ,0.601 
7     ,5      ,216  ,1273       ,29.334        ,38.833           ,0.755 
0     ,4      ,220  ,1273       ,29.338        ,49.171           ,0.597 
4     ,0      ,220  ,2147483647 ,29.92         ,37.389           ,0.8   
4     ,4      ,220  ,1273       ,23.095        ,42.667           ,0.541 
2     ,2      ,220  ,2147483647 ,21.802        ,43.189           ,0.505 
2     ,6      ,220  ,1273       ,29.309        ,49.148           ,0.596 
6     ,2      ,220  ,2147483647 ,29.938        ,37.223           ,0.804 
1     ,7      ,220  ,1273       ,29.243        ,49.126           ,0.595 
7     ,1      ,220  ,2147483647 ,29.73         ,37.077           ,0.802 
3     ,4      ,220  ,1273       ,29.374        ,49.301           ,0.596 
4     ,3      ,220  ,2147483647 ,29.794        ,36.759           ,0.811 
5     ,7      ,220  ,1273       ,31.179        ,47.788           ,0.652 
7     ,5      ,220  ,1273       ,30.982        ,37.135           ,0.834 
0     ,4      ,224  ,1273       ,32.544        ,47.983           ,0.678 
4     ,0      ,224  ,2147483647 ,31.037        ,37.122           ,0.836 
4     ,4      ,224  ,1273       ,23.141        ,42.91            ,0.539 
2     ,2      ,224  ,2147483647 ,23.085        ,42.826           ,0.539 
2     ,6      ,224  ,1273       ,32.531        ,47.928           ,0.679 
6     ,2      ,224  ,2147483647 ,30.852        ,36.899           ,0.836 
1     ,7      ,224  ,1273       ,32.122        ,47.523           ,0.676 
7     ,1      ,224  ,2147483647 ,30.8          ,36.184           ,0.851 
3     ,4      ,224  ,1273       ,31.064        ,47.516           ,0.654 
4     ,3      ,224  ,2147483647 ,30.681        ,36.882           ,0.832 
5     ,7      ,224  ,1273       ,30.469        ,47.806           ,0.637 
7     ,5      ,224  ,1273       ,30.813        ,36.111           ,0.853 
0     ,4      ,228  ,1273       ,30.588        ,48.721           ,0.628 
4     ,0      ,228  ,2147483647 ,32.248        ,36.893           ,0.874 
