
Results For: wcpcpy
align1,align2 ,len  ,max_char   ,__wcpcpy_evex ,__wcpcpy_generic 
2     ,2      ,360  ,2147483647 ,26.747        ,54.031           ,0.495 
2     ,6      ,360  ,1273       ,46.886        ,62.1             ,0.755 
6     ,2      ,360  ,2147483647 ,48.118        ,53.485           ,0.9   
1     ,7      ,360  ,1273       ,47.047        ,62.621           ,0.751 
7     ,1      ,360  ,2147483647 ,48.505        ,52.645           ,0.921 
3     ,4      ,360  ,1273       ,47.098        ,62.26            ,0.756 
4     ,3      ,360  ,2147483647 ,47.961        ,53.085           ,0.903 
5     ,7      ,360  ,1273       ,46.838        ,61.982           ,0.756 
7     ,5      ,360  ,1273       ,48.202        ,52.494           ,0.918 
0     ,4      ,364  ,1273       ,48.151        ,61.416           ,0.784 
4     ,0      ,364  ,2147483647 ,48.601        ,55.562           ,0.875 
4     ,4      ,364  ,1273       ,27.612        ,56.517           ,0.489 
2     ,2      ,364  ,2147483647 ,26.554        ,53.585           ,0.496 
2     ,6      ,364  ,1273       ,47.828        ,61.224           ,0.781 
6     ,2      ,364  ,2147483647 ,48.538        ,56.158           ,0.864 
1     ,7      ,364  ,1273       ,48.15         ,61.426           ,0.784 
7     ,1      ,364  ,2147483647 ,48.502        ,56.189           ,0.863 
3     ,4      ,364  ,1273       ,47.938        ,61.307           ,0.782 
4     ,3      ,364  ,2147483647 ,48.561        ,56.293           ,0.863 
5     ,7      ,364  ,1273       ,49.636        ,64.844           ,0.765 
7     ,5      ,364  ,1273       ,49.287        ,55.841           ,0.883 
0     ,4      ,368  ,1273       ,49.426        ,64.564           ,0.766 
4     ,0      ,368  ,2147483647 ,49.407        ,55.24            ,0.894 
4     ,4      ,368  ,1273       ,27.672        ,56.523           ,0.49  
2     ,2      ,368  ,2147483647 ,27.6          ,56.576           ,0.488 
2     ,6      ,368  ,1273       ,49.408        ,64.56            ,0.765 
6     ,2      ,368  ,2147483647 ,49.569        ,56.238           ,0.881 
1     ,7      ,368  ,1273       ,48.833        ,64.655           ,0.755 
7     ,1      ,368  ,2147483647 ,49.765        ,54.755           ,0.909 
3     ,4      ,368  ,1273       ,49.612        ,64.715           ,0.767 
4     ,3      ,368  ,2147483647 ,49.518        ,56.12            ,0.882 
5     ,7      ,368  ,1273       ,48.826        ,64.724           ,0.754 
7     ,5      ,368  ,1273       ,49.67         ,54.782           ,0.907 
0     ,4      ,372  ,1273       ,48.766        ,64.693           ,0.754 
4     ,0      ,372  ,2147483647 ,50.615        ,54.365           ,0.931 
4     ,4      ,372  ,1273       ,26.928        ,56.455           ,0.477 
2     ,2      ,372  ,2147483647 ,27.566        ,56.462           ,0.488 
2     ,6      ,372  ,1273       ,48.506        ,64.682           ,0.75  
6     ,2      ,372  ,2147483647 ,50.916        ,55.302           ,0.921 
1     ,7      ,372  ,1273       ,48.607        ,64.835           ,0.75  
7     ,1      ,372  ,2147483647 ,50.631        ,55.314           ,0.915 
3     ,4      ,372  ,1273       ,48.665        ,64.75            ,0.752 
4     ,3      ,372  ,2147483647 ,49.962        ,55.26            ,0.904 
5     ,7      ,372  ,1273       ,48.65         ,64.715           ,0.752 
7     ,5      ,372  ,1273       ,50.076        ,55.085           ,0.909 
0     ,4      ,376  ,1273       ,48.515        ,64.664           ,0.75  
4     ,0      ,376  ,2147483647 ,50.113        ,54.541           ,0.919 
4     ,4      ,376  ,1273       ,27.141        ,56.762           ,0.478 
2     ,2      ,376  ,2147483647 ,26.836        ,56.7             ,0.473 
2     ,6      ,376  ,1273       ,48.868        ,64.766           ,0.755 
6     ,2      ,376  ,2147483647 ,50.133        ,55.274           ,0.907 
1     ,7      ,376  ,1273       ,48.768        ,64.686           ,0.754 
7     ,1      ,376  ,2147483647 ,50.111        ,54.505           ,0.919 
3     ,4      ,376  ,1273       ,48.93         ,65.091           ,0.752 
4     ,3      ,376  ,2147483647 ,50.107        ,55.281           ,0.906 
5     ,7      ,376  ,1273       ,48.662        ,64.603           ,0.753 
7     ,5      ,376  ,1273       ,50.0          ,54.384           ,0.919 
0     ,4      ,380  ,1273       ,49.908        ,63.842           ,0.782 
4     ,0      ,380  ,2147483647 ,50.187        ,54.742           ,0.917 
4     ,4      ,380  ,1273       ,28.396        ,56.113           ,0.506 
2     ,2      ,380  ,2147483647 ,26.826        ,56.225           ,0.477 
2     ,6      ,380  ,1273       ,49.976        ,64.134           ,0.779 
6     ,2      ,380  ,2147483647 ,50.518        ,55.744           ,0.906 
1     ,7      ,380  ,1273       ,50.103        ,63.805           ,0.785 
7     ,1      ,380  ,2147483647 ,50.512        ,55.639           ,0.908 
3     ,4      ,380  ,1273       ,50.04         ,64.005           ,0.782 
4     ,3      ,380  ,2147483647 ,50.397        ,55.495           ,0.908 
5     ,7      ,380  ,1273       ,51.416        ,64.028           ,0.803 
7     ,5      ,380  ,1273       ,51.686        ,55.758           ,0.927 
0     ,4      ,384  ,1273       ,51.503        ,63.906           ,0.806 
4     ,0      ,384  ,2147483647 ,51.439        ,54.988           ,0.935 
4     ,4      ,384  ,1273       ,28.538        ,56.657           ,0.504 
2     ,2      ,384  ,2147483647 ,28.393        ,56.311           ,0.504 
2     ,6      ,384  ,1273       ,51.459        ,64.152           ,0.802 
6     ,2      ,384  ,2147483647 ,51.683        ,55.663           ,0.928 
1     ,7      ,384  ,1273       ,50.766        ,63.918           ,0.794 
