
Results For: strcpy
align1,align2 ,len  ,max_char ,new    ,old    ,new/old 
7     ,1      ,488  ,127      ,19.851 ,19.573 ,1.014   
7     ,1      ,492  ,127      ,19.989 ,19.78  ,1.011   
7     ,1      ,496  ,127      ,19.941 ,19.572 ,1.019   
7     ,1      ,500  ,127      ,18.896 ,19.612 ,0.963   
7     ,1      ,504  ,127      ,18.804 ,19.655 ,0.957   
7     ,1      ,508  ,127      ,20.566 ,18.811 ,1.093   
7     ,1      ,512  ,127      ,21.695 ,19.793 ,1.096   
7     ,1      ,52   ,127      ,6.348  ,9.752  ,0.651   
7     ,1      ,56   ,127      ,6.362  ,9.812  ,0.648   
7     ,1      ,60   ,127      ,7.489  ,9.784  ,0.765   
7     ,1      ,64   ,127      ,7.744  ,8.981  ,0.862   
7     ,1      ,68   ,127      ,7.713  ,11.61  ,0.664   
7     ,1      ,72   ,127      ,7.527  ,11.068 ,0.68    
7     ,1      ,76   ,127      ,7.548  ,11.414 ,0.661   
7     ,1      ,80   ,127      ,7.602  ,11.716 ,0.649   
7     ,1      ,84   ,127      ,6.924  ,10.79  ,0.642   
7     ,1      ,88   ,127      ,5.992  ,10.288 ,0.582   
7     ,1      ,92   ,127      ,7.464  ,8.248  ,0.905   
7     ,1      ,96   ,127      ,7.543  ,9.011  ,0.837   
7     ,2      ,16   ,127      ,5.069  ,7.562  ,0.67    
7     ,5      ,100  ,127      ,7.528  ,10.758 ,0.7     
7     ,5      ,104  ,127      ,7.54   ,10.666 ,0.707   
7     ,5      ,108  ,127      ,7.562  ,10.792 ,0.701   
7     ,5      ,112  ,127      ,7.595  ,10.863 ,0.699   
7     ,5      ,116  ,127      ,7.578  ,10.779 ,0.703   
7     ,5      ,120  ,127      ,6.902  ,10.58  ,0.652   
7     ,5      ,124  ,127      ,9.115  ,9.06   ,1.006   
7     ,5      ,128  ,127      ,9.044  ,11.888 ,0.761   
7     ,5      ,132  ,127      ,9.076  ,12.741 ,0.712   
7     ,5      ,136  ,127      ,9.056  ,12.634 ,0.717   
7     ,5      ,140  ,127      ,9.049  ,12.565 ,0.72    
7     ,5      ,144  ,127      ,9.061  ,12.673 ,0.715   
7     ,5      ,148  ,127      ,9.033  ,12.704 ,0.711   
7     ,5      ,152  ,127      ,7.98   ,12.727 ,0.627   
7     ,5      ,156  ,127      ,12.747 ,9.318  ,1.368   
7     ,5      ,16   ,127      ,5.257  ,7.856  ,0.669   
7     ,5      ,160  ,127      ,12.731 ,11.952 ,1.065   
7     ,5      ,164  ,127      ,12.785 ,11.131 ,1.149   
7     ,5      ,168  ,127      ,12.826 ,11.175 ,1.148   
7     ,5      ,172  ,127      ,12.839 ,11.134 ,1.153   
7     ,5      ,176  ,127      ,12.751 ,11.084 ,1.15    
7     ,5      ,180  ,127      ,12.79  ,11.068 ,1.156   
7     ,5      ,184  ,127      ,10.908 ,11.085 ,0.984   
7     ,5      ,188  ,127      ,12.014 ,9.929  ,1.21    
7     ,5      ,192  ,127      ,12.116 ,11.413 ,1.062   
7     ,5      ,196  ,127      ,12.11  ,11.792 ,1.027   
7     ,5      ,20   ,127      ,5.243  ,7.857  ,0.667   
7     ,5      ,200  ,127      ,12.154 ,11.957 ,1.016   
7     ,5      ,204  ,127      ,12.082 ,11.646 ,1.037   
7     ,5      ,208  ,127      ,12.197 ,11.814 ,1.032   
7     ,5      ,212  ,127      ,12.198 ,11.638 ,1.048   
7     ,5      ,216  ,127      ,10.979 ,11.763 ,0.933   
7     ,5      ,220  ,127      ,12.02  ,10.561 ,1.138   
7     ,5      ,224  ,127      ,11.938 ,11.731 ,1.018   
7     ,5      ,228  ,127      ,11.91  ,11.815 ,1.008   
7     ,5      ,232  ,127      ,11.988 ,11.782 ,1.018   
7     ,5      ,236  ,127      ,12.019 ,11.8   ,1.019   
7     ,5      ,24   ,127      ,5.241  ,7.777  ,0.674   
7     ,5      ,240  ,127      ,11.937 ,11.934 ,1.0     
7     ,5      ,244  ,127      ,12.079 ,11.871 ,1.017   
7     ,5      ,248  ,127      ,11.597 ,11.88  ,0.976   
7     ,5      ,252  ,127      ,15.256 ,14.694 ,1.038   
7     ,5      ,256  ,127      ,15.191 ,15.943 ,0.953   
7     ,5      ,260  ,127      ,15.119 ,16.046 ,0.942   
7     ,5      ,264  ,127      ,15.123 ,15.976 ,0.947   
7     ,5      ,268  ,127      ,15.145 ,15.721 ,0.963   
7     ,5      ,272  ,127      ,15.151 ,15.75  ,0.962   
7     ,5      ,276  ,127      ,15.191 ,15.801 ,0.961   
7     ,5      ,28   ,127      ,5.237  ,7.763  ,0.675   
7     ,5      ,280  ,127      ,13.139 ,15.787 ,0.832   
7     ,5      ,284  ,127      ,14.321 ,16.326 ,0.877   
7     ,5      ,288  ,127      ,14.288 ,16.94  ,0.843   
7     ,5      ,292  ,127      ,14.256 ,17.057 ,0.836   
7     ,5      ,296  ,127      ,14.194 ,16.896 ,0.84    
7     ,5      ,300  ,127      ,14.295 ,16.842 ,0.849   
7     ,5      ,304  ,127      ,14.286 ,16.727 ,0.854   
7     ,5      ,308  ,127      ,14.216 ,16.752 ,0.849   
7     ,5      ,312  ,127      ,13.252 ,16.809 ,0.788   
7     ,5      ,316  ,127      ,16.767 ,16.948 ,0.989   
7     ,5      ,32   ,127      ,6.336  ,5.632  ,1.125   
7     ,5      ,320  ,127      ,16.023 ,17.565 ,0.912   
7     ,5      ,324  ,127      ,15.945 ,17.26  ,0.924   
7     ,5      ,328  ,127      ,15.984 ,17.471 ,0.915   
7     ,5      ,332  ,127      ,16.057 ,17.271 ,0.93    
7     ,5      ,336  ,127      ,15.979 ,17.368 ,0.92    
7     ,5      ,340  ,127      ,16.057 ,17.408 ,0.922   
7     ,5      ,344  ,127      ,14.284 ,17.383 ,0.822   
7     ,5      ,348  ,127      ,15.588 ,17.919 ,0.87    
7     ,5      ,352  ,127      ,15.626 ,18.089 ,0.864   
7     ,5      ,356  ,127      ,15.707 ,17.498 ,0.898   
7     ,5      ,36   ,127      ,6.334  ,9.21   ,0.688   
7     ,5      ,360  ,127      ,15.631 ,17.433 ,0.897   
7     ,5      ,364  ,127      ,15.634 ,17.733 ,0.882   
7     ,5      ,368  ,127      ,15.6   ,17.635 ,0.885   
7     ,5      ,372  ,127      ,15.623 ,17.716 ,0.882   
7     ,5      ,376  ,127      ,14.825 ,17.684 ,0.838   
7     ,5      ,380  ,127      ,18.924 ,17.385 ,1.089   
7     ,5      ,384  ,127      ,18.685 ,18.284 ,1.022   
7     ,5      ,388  ,127      ,18.722 ,18.37  ,1.019   
7     ,5      ,392  ,127      ,18.678 ,19.099 ,0.978   
7     ,5      ,396  ,127      ,18.677 ,19.085 ,0.979   
7     ,5      ,40   ,127      ,6.408  ,9.629  ,0.665   
7     ,5      ,400  ,127      ,18.691 ,19.114 ,0.978   
7     ,5      ,404  ,127      ,18.568 ,18.733 ,0.991   
7     ,5      ,408  ,127      ,16.326 ,18.655 ,0.875   
7     ,5      ,412  ,127      ,18.381 ,18.227 ,1.008   
7     ,5      ,416  ,127      ,18.215 ,18.625 ,0.978   
7     ,5      ,420  ,127      ,18.173 ,18.787 ,0.967   
7     ,5      ,424  ,127      ,18.359 ,18.751 ,0.979   
7     ,5      ,428  ,127      ,18.314 ,18.794 ,0.974   
7     ,5      ,432  ,127      ,18.34  ,18.82  ,0.974   
7     ,5      ,436  ,127      ,18.253 ,18.8   ,0.971   
7     ,5      ,44   ,127      ,6.363  ,9.802  ,0.649   
7     ,5      ,440  ,127      ,16.964 ,18.721 ,0.906   
7     ,5      ,444  ,127      ,19.528 ,18.927 ,1.032   
7     ,5      ,448  ,127      ,19.599 ,19.262 ,1.017   
7     ,5      ,452  ,127      ,19.503 ,19.179 ,1.017   
7     ,5      ,456  ,127      ,19.725 ,19.175 ,1.029   
7     ,5      ,460  ,127      ,19.456 ,19.168 ,1.015   
7     ,5      ,464  ,127      ,19.631 ,19.184 ,1.023   
7     ,5      ,468  ,127      ,19.404 ,19.182 ,1.012   
7     ,5      ,472  ,127      ,17.647 ,19.188 ,0.92    
7     ,5      ,476  ,127      ,19.946 ,19.552 ,1.02    
7     ,5      ,48   ,127      ,6.374  ,9.741  ,0.654   
7     ,5      ,480  ,127      ,19.765 ,19.8   ,0.998   
7     ,5      ,484  ,127      ,20.02  ,19.707 ,1.016   
7     ,5      ,488  ,127      ,19.899 ,19.7   ,1.01    
7     ,5      ,492  ,127      ,19.895 ,19.521 ,1.019   
7     ,5      ,496  ,127      ,19.887 ,19.542 ,1.018   
7     ,5      ,500  ,127      ,19.86  ,19.545 ,1.016   
7     ,5      ,504  ,127      ,18.841 ,19.417 ,0.97    
7     ,5      ,508  ,127      ,21.672 ,19.154 ,1.131   
7     ,5      ,512  ,127      ,21.661 ,19.723 ,1.098   
7     ,5      ,52   ,127      ,6.364  ,9.794  ,0.65    
7     ,5      ,56   ,127      ,6.363  ,9.835  ,0.647   
7     ,5      ,60   ,127      ,8.688  ,10.683 ,0.813   
7     ,5      ,64   ,127      ,7.73   ,10.416 ,0.742   
7     ,5      ,68   ,127      ,7.529  ,12.022 ,0.626   
7     ,5      ,72   ,127      ,7.5    ,10.986 ,0.683   
7     ,5      ,76   ,127      ,7.53   ,11.663 ,0.646   
7     ,5      ,80   ,127      ,7.548  ,11.652 ,0.648   
7     ,5      ,84   ,127      ,7.539  ,10.657 ,0.707   
7     ,5      ,88   ,127      ,5.992  ,10.303 ,0.582   
7     ,5      ,92   ,127      ,7.622  ,8.454  ,0.902   
7     ,5      ,96   ,127      ,7.561  ,10.248 ,0.738   
7     ,6      ,1024 ,127      ,35.886 ,31.956 ,1.123   
7     ,7      ,1024 ,127      ,24.87  ,24.378 ,1.02    
0.8798759271694846
