
Results For: wcsncat
align1,align2 ,len1 ,len2 ,max_char   ,n    ,__wcsncat_evex ,__wcsncat_generic 
0     ,0      ,1024 ,256  ,1273       ,128  ,32.292         ,38.303            ,0.843 
1     ,6      ,1024 ,256  ,1273       ,128  ,42.495         ,42.213            ,1.007 
1     ,2      ,16   ,1    ,1273       ,128  ,28.452         ,24.132            ,1.179 
2     ,1      ,16   ,1    ,2147483647 ,128  ,27.13          ,24.005            ,1.13  
1     ,1      ,16   ,10   ,1273       ,128  ,25.911         ,23.733            ,1.092 
2     ,4      ,32   ,1    ,1273       ,128  ,29.249         ,23.752            ,1.231 
4     ,2      ,32   ,1    ,2147483647 ,128  ,27.722         ,23.711            ,1.169 
2     ,2      ,32   ,10   ,1273       ,128  ,26.934         ,26.828            ,1.004 
3     ,6      ,64   ,1    ,1273       ,128  ,29.799         ,28.879            ,1.032 
6     ,3      ,64   ,1    ,2147483647 ,128  ,31.722         ,29.118            ,1.089 
3     ,3      ,64   ,10   ,1273       ,128  ,30.955         ,30.871            ,1.003 
4     ,0      ,128  ,1    ,1273       ,128  ,38.352         ,36.068            ,1.063 
0     ,4      ,128  ,1    ,2147483647 ,128  ,37.299         ,36.578            ,1.02  
4     ,4      ,128  ,10   ,1273       ,128  ,37.211         ,36.898            ,1.008 
5     ,2      ,256  ,1    ,1273       ,128  ,38.609         ,36.461            ,1.059 
2     ,5      ,256  ,1    ,2147483647 ,128  ,38.278         ,36.939            ,1.036 
5     ,5      ,256  ,10   ,1273       ,128  ,37.258         ,36.938            ,1.009 
6     ,4      ,512  ,1    ,1273       ,128  ,38.621         ,36.57             ,1.056 
4     ,6      ,512  ,1    ,2147483647 ,128  ,38.622         ,37.037            ,1.043 
6     ,6      ,512  ,10   ,1273       ,128  ,36.766         ,34.783            ,1.057 
7     ,6      ,1024 ,1    ,1273       ,128  ,30.436         ,34.586            ,0.88  
6     ,7      ,1024 ,1    ,2147483647 ,128  ,35.679         ,34.859            ,1.024 
7     ,7      ,1024 ,10   ,1273       ,128  ,38.09          ,37.669            ,1.011 
0     ,2      ,2    ,2    ,1273       ,512  ,19.785         ,20.758            ,0.953 
0     ,0      ,4    ,4    ,1273       ,512  ,19.73          ,20.662            ,0.955 
4     ,0      ,4    ,4    ,2147483647 ,512  ,19.569         ,20.51             ,0.954 
0     ,0      ,8    ,8    ,1273       ,512  ,24.821         ,21.045            ,1.179 
0     ,0      ,16   ,16   ,1273       ,512  ,24.877         ,20.92             ,1.189 
7     ,2      ,16   ,16   ,1273       ,512  ,24.762         ,23.004            ,1.076 
0     ,0      ,16   ,4    ,1273       ,512  ,26.463         ,22.322            ,1.186 
7     ,2      ,16   ,4    ,1273       ,512  ,24.942         ,22.834            ,1.092 
0     ,0      ,32   ,32   ,1273       ,512  ,25.091         ,22.453            ,1.118 
6     ,4      ,32   ,32   ,1273       ,512  ,26.484         ,22.977            ,1.153 
0     ,0      ,32   ,8    ,1273       ,512  ,22.575         ,23.599            ,0.957 
6     ,4      ,32   ,8    ,1273       ,512  ,25.686         ,25.958            ,0.99  
0     ,0      ,64   ,64   ,1273       ,512  ,27.655         ,27.197            ,1.017 
5     ,6      ,64   ,64   ,1273       ,512  ,31.239         ,29.826            ,1.047 
0     ,0      ,64   ,16   ,1273       ,512  ,27.755         ,26.96             ,1.029 
5     ,6      ,64   ,16   ,1273       ,512  ,31.956         ,29.145            ,1.096 
0     ,0      ,128  ,128  ,1273       ,512  ,32.012         ,35.701            ,0.897 
4     ,0      ,128  ,128  ,1273       ,512  ,38.248         ,38.38             ,0.997 
0     ,0      ,128  ,32   ,1273       ,512  ,30.346         ,34.141            ,0.889 
4     ,0      ,128  ,32   ,1273       ,512  ,39.305         ,36.293            ,1.083 
0     ,0      ,256  ,256  ,1273       ,512  ,43.447         ,58.018            ,0.749 
3     ,2      ,256  ,256  ,1273       ,512  ,54.518         ,62.534            ,0.872 
0     ,0      ,256  ,64   ,1273       ,512  ,41.795         ,52.084            ,0.802 
3     ,2      ,256  ,64   ,1273       ,512  ,58.191         ,61.962            ,0.939 
0     ,0      ,512  ,512  ,1273       ,512  ,67.387         ,89.34             ,0.754 
2     ,4      ,512  ,512  ,1273       ,512  ,116.366        ,100.634           ,1.156 
0     ,0      ,512  ,128  ,1273       ,512  ,62.145         ,80.615            ,0.771 
2     ,4      ,512  ,128  ,1273       ,512  ,81.633         ,98.085            ,0.832 
0     ,0      ,1024 ,256  ,1273       ,512  ,58.488         ,78.563            ,0.744 
1     ,6      ,1024 ,256  ,1273       ,512  ,85.223         ,88.564            ,0.962 
1     ,2      ,16   ,1    ,1273       ,512  ,27.813         ,23.647            ,1.176 
2     ,1      ,16   ,1    ,2147483647 ,512  ,26.456         ,23.347            ,1.133 
1     ,1      ,16   ,10   ,1273       ,512  ,25.132         ,23.266            ,1.08  
2     ,4      ,32   ,1    ,1273       ,512  ,28.669         ,23.272            ,1.232 
4     ,2      ,32   ,1    ,2147483647 ,512  ,27.23          ,23.397            ,1.164 
2     ,2      ,32   ,10   ,1273       ,512  ,26.585         ,26.275            ,1.012 
3     ,6      ,64   ,1    ,1273       ,512  ,29.381         ,28.614            ,1.027 
6     ,3      ,64   ,1    ,2147483647 ,512  ,31.492         ,28.957            ,1.088 
3     ,3      ,64   ,10   ,1273       ,512  ,30.793         ,30.966            ,0.994 
4     ,0      ,128  ,1    ,1273       ,512  ,37.748         ,35.99             ,1.049 
0     ,4      ,128  ,1    ,2147483647 ,512  ,39.212         ,36.836            ,1.065 
4     ,4      ,128  ,10   ,1273       ,512  ,38.319         ,36.956            ,1.037 
5     ,2      ,256  ,1    ,1273       ,512  ,54.906         ,48.467            ,1.133 
2     ,5      ,256  ,1    ,2147483647 ,512  ,55.663         ,52.677            ,1.057 
5     ,5      ,256  ,10   ,1273       ,512  ,54.403         ,52.313            ,1.04  
6     ,4      ,512  ,1    ,1273       ,512  ,78.273         ,76.559            ,1.022 
4     ,6      ,512  ,1    ,2147483647 ,512  ,78.786         ,80.789            ,0.975 
6     ,6      ,512  ,10   ,1273       ,512  ,77.205         ,79.355            ,0.973 
7     ,6      ,1024 ,1    ,1273       ,512  ,48.648         ,64.205            ,0.758 
6     ,7      ,1024 ,1    ,2147483647 ,512  ,78.058         ,73.286            ,1.065 
7     ,7      ,1024 ,10   ,1273       ,512  ,79.703         ,75.189            ,1.06  
1     ,0      ,128  ,128  ,1273       ,64   ,29.057         ,27.548            ,1.055 
0     ,0      ,128  ,128  ,1273       ,64   ,24.117         ,27.348            ,0.882 
1     ,0      ,128  ,64   ,1273       ,128  ,38.867         ,38.256            ,1.016 
0     ,0      ,128  ,64   ,1273       ,128  ,29.961         ,37.088            ,0.808 
1     ,0      ,128  ,128  ,1273       ,96   ,34.615         ,35.625            ,0.972 
0     ,0      ,128  ,128  ,1273       ,96   ,32.487         ,31.766            ,1.023 
1     ,0      ,128  ,96   ,1273       ,128  ,38.941         ,39.306            ,0.991 
0     ,0      ,128  ,96   ,1273       ,128  ,30.57          ,33.332            ,0.917 
1     ,0      ,128  ,128  ,1273       ,128  ,38.773         ,40.455            ,0.958 
1     ,0      ,128  ,128  ,1273       ,160  ,40.352         ,40.664            ,0.992 
0     ,0      ,128  ,128  ,1273       ,160  ,33.165         ,37.384            ,0.887 
1     ,0      ,128  ,160  ,1273       ,128  ,40.231         ,41.358            ,0.973 
0     ,0      ,128  ,160  ,1273       ,128  ,33.108         ,35.003            ,0.946 
1     ,0      ,128  ,128  ,1273       ,192  ,40.3           ,40.238            ,1.002 
0     ,0      ,128  ,128  ,1273       ,192  ,33.709         ,37.34             ,0.903 
1     ,0      ,128  ,192  ,1273       ,128  ,39.598         ,42.168            ,0.939 
0     ,0      ,128  ,192  ,1273       ,128  ,31.073         ,36.932            ,0.841 
1     ,0      ,256  ,256  ,1273       ,192  ,48.195         ,51.378            ,0.938 
0     ,0      ,256  ,256  ,1273       ,192  ,35.647         ,47.265            ,0.754 
1     ,0      ,256  ,192  ,1273       ,256  ,56.649         ,61.172            ,0.926 
0     ,0      ,256  ,192  ,1273       ,256  ,40.401         ,51.807            ,0.78  
1     ,0      ,256  ,256  ,1273       ,224  ,51.288         ,55.286            ,0.928 
0     ,0      ,256  ,256  ,1273       ,224  ,38.344         ,51.453            ,0.745 
1     ,0      ,256  ,224  ,1273       ,256  ,55.167         ,62.326            ,0.885 
0     ,0      ,256  ,224  ,1273       ,256  ,41.213         ,53.641            ,0.768 
1     ,0      ,256  ,256  ,1273       ,256  ,53.736         ,62.931            ,0.854 
0     ,0      ,256  ,256  ,1273       ,256  ,41.763         ,54.84             ,0.762 
1     ,0      ,256  ,256  ,1273       ,288  ,57.162         ,62.957            ,0.908 
0     ,0      ,256  ,256  ,1273       ,288  ,43.028         ,59.183            ,0.727 
1     ,0      ,256  ,288  ,1273       ,256  ,51.669         ,64.47             ,0.801 
0     ,0      ,256  ,288  ,1273       ,256  ,43.095         ,55.498            ,0.777 
1     ,0      ,256  ,256  ,1273       ,320  ,56.05          ,63.07             ,0.889 
0     ,0      ,256  ,256  ,1273       ,320  ,44.392         ,59.317            ,0.748 
1     ,0      ,256  ,320  ,1273       ,256  ,51.728         ,66.211            ,0.781 
0     ,0      ,256  ,320  ,1273       ,256  ,44.291         ,57.192            ,0.774 
1     ,0      ,512  ,512  ,1273       ,448  ,77.044         ,93.969            ,0.82  
0     ,0      ,512  ,512  ,1273       ,448  ,64.463         ,83.23             ,0.775 
1     ,0      ,512  ,448  ,1273       ,512  ,82.176         ,102.805           ,0.799 
0     ,0      ,512  ,448  ,1273       ,512  ,64.948         ,86.671            ,0.749 
1     ,0      ,512  ,512  ,1273       ,480  ,78.905         ,97.942            ,0.806 
0     ,0      ,512  ,512  ,1273       ,480  ,66.69          ,86.138            ,0.774 
1     ,0      ,512  ,480  ,1273       ,512  ,82.057         ,103.857           ,0.79  
0     ,0      ,512  ,480  ,1273       ,512  ,66.51          ,88.213            ,0.754 
1     ,0      ,512  ,512  ,1273       ,512  ,82.539         ,105.332           ,0.784 
1     ,0      ,512  ,512  ,1273       ,544  ,98.515         ,105.008           ,0.938 
0     ,0      ,512  ,512  ,1273       ,544  ,68.895         ,91.912            ,0.75  
1     ,0      ,512  ,544  ,1273       ,512  ,101.075        ,107.52            ,0.94  
0     ,0      ,512  ,544  ,1273       ,512  ,71.554         ,92.177            ,0.776 
1     ,0      ,512  ,512  ,1273       ,576  ,98.514         ,105.224           ,0.936 
0     ,0      ,512  ,512  ,1273       ,576  ,69.458         ,91.801            ,0.757 
1     ,0      ,512  ,576  ,1273       ,512  ,99.421         ,110.899           ,0.897 
0     ,0      ,512  ,576  ,1273       ,512  ,74.804         ,94.531            ,0.791 
1     ,0      ,1024 ,960  ,1273       ,1024 ,172.197        ,186.762           ,0.922 
0     ,0      ,1024 ,960  ,1273       ,1024 ,149.064        ,148.704           ,1.002 
1     ,0      ,1024 ,992  ,1273       ,1024 ,182.58         ,176.28            ,1.036 
0     ,0      ,1024 ,992  ,1273       ,1024 ,148.858        ,147.869           ,1.007 
0.9592914274003035
