
Results For: wcscpy
align1,align2 ,len  ,max_char   ,__wcscpy_evex ,__wcscpy_ssse3 
5     ,7      ,28   ,1273       ,9.749         ,20.821         ,0.468 
7     ,5      ,28   ,1273       ,9.133         ,19.835         ,0.46  
0     ,4      ,32   ,1273       ,10.025        ,14.53          ,0.69  
4     ,0      ,32   ,2147483647 ,8.037         ,15.435         ,0.521 
4     ,4      ,32   ,1273       ,8.375         ,15.526         ,0.539 
2     ,6      ,32   ,1273       ,10.119        ,14.94          ,0.677 
6     ,2      ,32   ,2147483647 ,8.345         ,16.104         ,0.518 
1     ,7      ,32   ,1273       ,9.915         ,21.821         ,0.454 
7     ,1      ,32   ,2147483647 ,8.143         ,20.677         ,0.394 
3     ,4      ,32   ,1273       ,9.733         ,19.069         ,0.51  
4     ,3      ,32   ,2147483647 ,9.044         ,20.868         ,0.433 
5     ,7      ,32   ,1273       ,9.681         ,21.946         ,0.441 
7     ,5      ,32   ,1273       ,8.161         ,20.994         ,0.389 
0     ,4      ,36   ,1273       ,9.382         ,15.408         ,0.609 
4     ,0      ,36   ,2147483647 ,12.827        ,15.951         ,0.804 
4     ,4      ,36   ,1273       ,12.013        ,16.522         ,0.727 
2     ,2      ,36   ,2147483647 ,8.397         ,15.462         ,0.543 
2     ,6      ,36   ,1273       ,9.384         ,15.931         ,0.589 
6     ,2      ,36   ,2147483647 ,13.068        ,16.268         ,0.803 
1     ,7      ,36   ,1273       ,9.358         ,23.296         ,0.402 
7     ,1      ,36   ,2147483647 ,11.348        ,21.587         ,0.526 
3     ,4      ,36   ,1273       ,9.169         ,20.487         ,0.448 
4     ,3      ,36   ,2147483647 ,12.783        ,21.487         ,0.595 
5     ,7      ,36   ,1273       ,13.409        ,22.453         ,0.597 
7     ,5      ,36   ,1273       ,13.169        ,21.913         ,0.601 
0     ,4      ,40   ,1273       ,14.053        ,16.284         ,0.863 
4     ,0      ,40   ,2147483647 ,10.913        ,16.698         ,0.654 
4     ,4      ,40   ,1273       ,11.978        ,17.271         ,0.694 
2     ,2      ,40   ,2147483647 ,11.943        ,15.879         ,0.752 
2     ,6      ,40   ,1273       ,13.993        ,16.702         ,0.838 
6     ,2      ,40   ,2147483647 ,10.924        ,16.823         ,0.649 
1     ,7      ,40   ,1273       ,13.974        ,24.407         ,0.573 
7     ,1      ,40   ,2147483647 ,10.928        ,22.273         ,0.491 
3     ,4      ,40   ,1273       ,13.435        ,21.636         ,0.621 
4     ,3      ,40   ,2147483647 ,12.851        ,22.373         ,0.574 
5     ,7      ,40   ,1273       ,13.135        ,23.349         ,0.563 
7     ,5      ,40   ,1273       ,10.951        ,22.464         ,0.487 
0     ,4      ,44   ,1273       ,12.787        ,16.849         ,0.759 
4     ,0      ,44   ,2147483647 ,12.041        ,16.163         ,0.745 
4     ,4      ,44   ,1273       ,11.471        ,16.446         ,0.697 
2     ,2      ,44   ,2147483647 ,11.971        ,16.471         ,0.727 
2     ,6      ,44   ,1273       ,12.684        ,16.881         ,0.751 
6     ,2      ,44   ,2147483647 ,12.052        ,16.296         ,0.74  
1     ,7      ,44   ,1273       ,12.663        ,25.506         ,0.496 
