
Results For: stpncpy
align1,align2 ,len  ,max_char ,n    ,new    ,old    ,new/old 
6     ,4      ,16   ,127      ,16   ,4.699  ,6.98   ,0.673   
6     ,4      ,16   ,127      ,32   ,4.873  ,10.487 ,0.465   
6     ,4      ,4    ,127      ,8    ,5.912  ,11.561 ,0.511   
6     ,4      ,64   ,127      ,32   ,4.048  ,6.35   ,0.637   
6     ,5      ,16   ,127      ,8    ,5.564  ,6.366  ,0.874   
6     ,6      ,16   ,127      ,16   ,4.706  ,7.006  ,0.672   
6     ,7      ,16   ,127      ,16   ,4.816  ,6.977  ,0.69    
7     ,2      ,2    ,127      ,4    ,5.523  ,9.048  ,0.61    
7     ,2      ,32   ,127      ,16   ,4.643  ,6.329  ,0.734   
7     ,2      ,8    ,127      ,16   ,5.959  ,11.075 ,0.538   
7     ,6      ,16   ,127      ,16   ,4.739  ,7.011  ,0.676   
7     ,7      ,16   ,127      ,16   ,4.739  ,7.041  ,0.673   
0.7752967916527937
