
Results For: wcscat
align1,align2 ,len1 ,len2 ,max_char   ,__wcscat_avx2 ,__wcscat_generic 
1     ,0      ,768  ,31   ,1273       ,117.782       ,114.053          ,1.033 
0     ,0      ,768  ,31   ,1273       ,119.228       ,114.178          ,1.044 
1     ,0      ,896  ,31   ,1273       ,135.912       ,134.107          ,1.013 
0     ,0      ,896  ,31   ,1273       ,135.737       ,134.943          ,1.006 
1     ,0      ,1024 ,31   ,1273       ,192.696       ,193.52           ,0.996 
0     ,0      ,1024 ,31   ,1273       ,192.646       ,194.621          ,0.99  
1     ,0      ,1280 ,31   ,1273       ,199.171       ,197.074          ,1.011 
0     ,0      ,1280 ,31   ,1273       ,199.114       ,196.469          ,1.013 
1     ,0      ,1536 ,31   ,1273       ,221.033       ,221.47           ,0.998 
0     ,0      ,1536 ,31   ,1273       ,220.904       ,220.521          ,1.002 
1     ,0      ,1792 ,31   ,1273       ,251.953       ,249.707          ,1.009 
0     ,0      ,1792 ,31   ,1273       ,252.037       ,249.793          ,1.009 
0.9752833633099592
