                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length  128/  10, alignment  4/ 4:	30.6118	30.4426	30.1435	29.7578	54.3636
Length  128/  10, alignment  4/ 4:	30.5755	30.1986	30.348	29.872	54.3565
Length  256/   1, alignment  5/ 2:	32.4608	31.6206	32.5822	33.9338	58.5669
Length  256/   1, alignment  2/ 5:	35.2905	34.1185	34.9467	36.2751	79.2993
Length  256/  10, alignment  5/ 5:	35.3173	34.3474	34.8632	35.6165	91.1822
Length  256/  10, alignment  5/ 5:	35.2448	34.034	34.5569	35.3538	90.7052
Length  512/   1, alignment  6/ 4:	41.2454	40.4191	40.865	44.1266	106.823
Length  512/   1, alignment  4/ 6:	44.9323	43.5382	43.5621	51.9369	141.417
Length  512/  10, alignment  6/ 6:	43.848	42.198	43.1721	51.9034	165.863
Length  512/  10, alignment  6/ 6:	43.1875	42.3696	55.847	48.9395	166.423
Length 1024/   1, alignment  7/ 6:	40.466	39.5474	40.9421	57.3404	229.502
Length 1024/   1, alignment  6/ 7:	62.3815	61.3779	62.5926	70.7851	292.583
Length 1024/  10, alignment  7/ 7:	60.8545	61.3563	61.8668	69.8191	342.694
Length 1024/  10, alignment  7/ 7:	59.8118	60.8186	61.8089	64.9786	345.743
