                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   20, alignments in bytes  6/ 2:	10.9708	8.72522	8.62024	6.35388	13.3875
Length   20, alignments in bytes  1/ 7:	10.9713	8.73657	8.6178	7.95496	20.9274
Length   20, alignments in bytes  7/ 1:	10.9703	8.76562	8.60669	7.41089	13.1385
Length   20, alignments in bytes  3/ 4:	10.9706	8.69543	8.61279	8.41663	17.8335
Length   20, alignments in bytes  4/ 3:	10.9713	8.74255	8.62964	7.62866	13.837
Length   20, alignments in bytes  5/ 7:	10.9716	8.70972	8.61487	8.40674	14.9875
Length   20, alignments in bytes  7/ 5:	10.9706	8.71704	8.61877	7.63464	13.0303
Length   24, alignments in bytes  0/ 4:	10.7097	8.71289	8.39429	8.22327	10.803
Length   24, alignments in bytes  4/ 0:	10.7102	8.54724	8.41333	7.45312	16.1123
Length   24, alignments in bytes  4/ 4:	10.71	8.50171	8.422	7.06946	15.3414
Length   24, alignments in bytes  2/ 2:	10.7101	8.51086	8.41968	7.0636	16.0907
Length   24, alignments in bytes  2/ 6:	10.7102	8.55371	8.41284	8.20935	20.0192
Length   24, alignments in bytes  6/ 2:	12.0629	8.53943	8.41113	7.45715	15.8865
Length   24, alignments in bytes  1/ 7:	10.7095	8.51379	8.40881	8.21777	19.946
Length   24, alignments in bytes  7/ 1:	10.7095	8.51428	8.41211	7.45215	14.4503
Length   24, alignments in bytes  3/ 4:	10.71	8.51208	8.40833	8.20813	16.7893
Length   24, alignments in bytes  4/ 3:	10.7102	8.52893	8.41248	7.44849	15.1573
Length   24, alignments in bytes  5/ 7:	10.71	8.50439	8.40503	8.20642	16.0209
Length   24, alignments in bytes  7/ 5:	10.7191	9.19434	8.92603	7.45471	14.5719
Length   28, alignments in bytes  0/ 4:	10.7114	8.90747	8.14429	8.59851	12.749
Length   28, alignments in bytes  4/ 0:	10.7089	7.75391	8.06799	8.1792	15.1155
Length   28, alignments in bytes  4/ 4:	10.7098	8.53015	8.40674	7.71436	14.1808
Length   28, alignments in bytes  2/ 2:	10.7102	8.51782	8.42029	7.7002	19.4349
Length   28, alignments in bytes  2/ 6:	10.7102	8.26135	8.32495	8.62012	21.6665
Length   28, alignments in bytes  6/ 2:	10.7089	8.06482	8.0918	8.15869	14.3608
Length   28, alignments in bytes  1/ 7:	10.7089	8.26929	8.32202	8.5946	22.2811
Length   28, alignments in bytes  7/ 1:	10.7104	8.06885	8.07507	8.73413	13.9073
Length   28, alignments in bytes  3/ 4:	10.7119	8.51782	8.41785	8.73877	19.0771
Length   28, alignments in bytes  4/ 3:	10.7095	8.50073	8.41162	8.06824	14.9495
Length   28, alignments in bytes  5/ 7:	10.7211	8.51941	8.41211	8.69897	16.0968
Length   28, alignments in bytes  7/ 5:	10.7095	8.9928	8.40869	8.05969	13.9927
Length   32, alignments in bytes  0/ 4:	12.0458	7.38428	8.03833	8.0802	12.4293
Length   32, alignments in bytes  4/ 0:	12.0508	6.69324	8.03589	9.49133	16.795
Length   32, alignments in bytes  4/ 4:	12.0479	6.6947	8.02991	9.47571	15.812
Length   32, alignments in bytes  2/ 2:	12.0469	6.69556	8.03149	9.63464	16.7633
Length   32, alignments in bytes  2/ 6:	12.045	8.05225	8.03711	10.1166	21.2949
Length   32, alignments in bytes  6/ 2:	12.0474	6.69446	8.02966	9.849	16.6489
Length   32, alignments in bytes  1/ 7:	12.0466	8.04956	8.03198	8.90918	21.6587
Length   32, alignments in bytes  7/ 1:	12.05	6.69128	8.03479	8.83936	15.3125
Length   32, alignments in bytes  3/ 4:	12.5288	8.23621	8.35693	10.2197	19.0306
Length   32, alignments in bytes  4/ 3:	12.3411	6.86353	6.94543	11.3633	16.4153
Length   32, alignments in bytes  5/ 7:	12.3448	8.24353	8.36365	11.1754	17.5299
Length   32, alignments in bytes  7/ 5:	12.339	6.86719	6.85999	9.03882	15.8992
Length   36, alignments in bytes  0/ 4:	12.339	9.13025	9.06531	10.3074	14.2439
Length   36, alignments in bytes  4/ 0:	13.8359	7.552	7.60339	10.2527	17.0304
Length   36, alignments in bytes  4/ 4:	12.6075	10.7598	9.76404	9.6991	15.3508
Length   36, alignments in bytes  2/ 2:	11.0148	9.69983	9.8252	10.6931	19.3174
Length   36, alignments in bytes  2/ 6:	10.9752	11.9203	11.9563	10.6364	24.1799
Length   36, alignments in bytes  6/ 2:	10.9733	7.55005	7.64966	10.5575	15.546
Length   36, alignments in bytes  1/ 7:	10.9742	10.9792	10.8499	10.5881	24.7913
Length   36, alignments in bytes  7/ 1:	10.9741	7.54407	7.54199	10.5548	15.3004
Length   36, alignments in bytes  3/ 4:	10.9854	11.7944	11.9115	10.2144	21.5201
Length   36, alignments in bytes  4/ 3:	10.9746	10.1572	10.1296	10.4058	16.3739
Length   36, alignments in bytes  5/ 7:	11.0079	12.9784	12.5966	11.1298	18.0602
Length   36, alignments in bytes  7/ 5:	10.9763	10.2084	10.1726	11.4551	15.5706
Length   40, alignments in bytes  0/ 4:	10.9746	9.83765	9.64539	10.746	14.2101
Length   40, alignments in bytes  4/ 0:	10.9744	10.8318	10.401	11.0551	17.7556
Length   40, alignments in bytes  4/ 4:	10.9741	10.4904	10.4725	10.6753	16.9456
