                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length   16, alignments in bytes  6/ 2:	10.2223	8.54724	8.40869	5.72437	15.0663
Length   16, alignments in bytes  1/ 7:	10.2312	8.60291	8.40417	5.65991	19.1965
Length   16, alignments in bytes  7/ 1:	10.6962	8.74207	8.60071	5.86401	13.7096
Length   16, alignments in bytes  3/ 4:	10.694	8.53967	8.39502	5.65015	15.1949
Length   16, alignments in bytes  4/ 3:	10.1602	8.54602	8.38464	5.72119	14.3225
Length   16, alignments in bytes  5/ 7:	10.0903	8.52649	8.39209	5.65186	14.7341
Length   16, alignments in bytes  7/ 5:	10.2872	8.5509	8.41699	5.70142	13.6155
Length   20, alignments in bytes  0/ 4:	10.0532	8.5614	8.36877	7.76453	11.2053
Length   20, alignments in bytes  4/ 0:	10.0433	8.53662	8.40479	6.19666	13.7397
Length   20, alignments in bytes  4/ 4:	10.2863	8.526	8.39514	7.10706	13.1013
Length   20, alignments in bytes  2/ 2:	10.0898	8.5708	8.42029	7.07922	16.8617
Length   20, alignments in bytes  2/ 6:	10.1371	8.56165	8.40601	7.75916	19.7897
Length   20, alignments in bytes  6/ 2:	10.2958	8.53979	8.41821	6.20117	13.2028
Length   20, alignments in bytes  1/ 7:	10.2488	8.54333	8.40845	7.77051	20.3632
Length   20, alignments in bytes  7/ 1:	10.1117	8.57593	8.41626	7.27576	12.9712
Length   20, alignments in bytes  3/ 4:	10.2572	8.54504	8.38586	8.20898	18.079
Length   20, alignments in bytes  4/ 3:	10.3109	8.54175	8.41748	7.45544	13.616
Length   20, alignments in bytes  5/ 7:	10.1163	8.58167	8.40295	8.20862	14.6251
Length   20, alignments in bytes  7/ 5:	10.1285	8.55029	8.41064	7.44897	12.5726
Length   24, alignments in bytes  0/ 4:	10.2117	9.07947	8.3678	8.22668	10.8099
Length   24, alignments in bytes  4/ 0:	10.0673	8.5614	8.396	7.46191	17.8613
