Geometric mean of N = 30 runs.
Benchmarked on Tigerlake: https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html

Aggregate Geometric Mean of New / Old: 0.9674465599435252

Results For: memchr
 len, align,  pos, seek_char, invert_pos, New / Old
  10,  2057,    9,         0,          0,     0.908
   8,  2048,    9,        23,          0,     0.993
   8,  2048,    9,         0,          0,     0.997
   8,  2057,    9,        23,          0,     1.006
   8,  2057,    9,         0,          0,     1.001
   8,  4081,    9,        23,          0,     1.138
   8,  4081,    9,         0,          0,     1.137
  10,  4081,    9,        23,          0,     0.993
  10,  4081,    9,         0,          0,     0.999
  11,     0,   10,        23,          0,     0.862
  11,     0,   10,         0,          0,     0.913
  11,    10,   10,        23,          0,     0.901
  11,    10,   10,         0,          0,      0.88
   9,     0,   10,        23,          0,     0.998
   9,     0,   10,         0,          0,       1.0
   9,    10,   10,        23,          0,     1.004
   9,    10,   10,         0,          0,     1.005
  11,  2048,   10,        23,          0,     0.902
  11,  2048,   10,         0,          0,     0.944
  11,  2058,   10,        23,          0,      0.92
  11,  2058,   10,         0,          0,     0.891
   9,  2048,   10,        23,          0,     0.998
   9,  2048,   10,         0,          0,     0.995
   9,  2058,   10,        23,          0,     0.998
   9,  2058,   10,         0,          0,     0.998
   9,  4081,   10,        23,          0,     1.137
   9,  4081,   10,         0,          0,     1.143
  11,  4081,   10,        23,          0,     0.996
  11,  4081,   10,         0,          0,     0.992
  12,     0,   11,        23,          0,     0.865
  12,     0,   11,         0,          0,     0.891
  12,    11,   11,        23,          0,     0.907
  12,    11,   11,         0,          0,     0.911
  10,     0,   11,        23,          0,       1.0
  10,     0,   11,         0,          0,     0.998
  10,    11,   11,        23,          0,     0.996
  10,    11,   11,         0,          0,     0.999
  12,  2048,   11,        23,          0,     0.889
  12,  2048,   11,         0,          0,     0.901
  12,  2059,   11,        23,          0,     0.886
  12,  2059,   11,         0,          0,     0.892
  10,  2048,   11,        23,          0,       1.0
  10,  2048,   11,         0,          0,     0.995
  10,  2059,   11,        23,          0,       1.0
  10,  2059,   11,         0,          0,     0.997
  10,  4081,   11,        23,          0,     1.133
  10,  4081,   11,         0,          0,     1.139
  12,  4081,   11,        23,          0,     1.006
  12,  4081,   11,         0,          0,     1.002
  13,     0,   12,        23,          0,     0.889
  13,     0,   12,         0,          0,      0.87
  13,    12,   12,        23,          0,     0.899
  13,    12,   12,         0,          0,     0.885
  11,     0,   12,        23,          0,     1.001
  11,     0,   12,         0,          0,     0.998
  11,    12,   12,        23,          0,      0.99
  11,    12,   12,         0,          0,     0.999
  13,  2048,   12,        23,          0,     0.882
  13,  2048,   12,         0,          0,     0.904
  13,  2060,   12,        23,          0,     0.887
  13,  2060,   12,         0,          0,     0.912
  11,  2048,   12,        23,          0,     1.001
  11,  2048,   12,         0,          0,     1.002
  11,  2060,   12,        23,          0,     0.993
  11,  2060,   12,         0,          0,     0.993
  11,  4081,   12,        23,          0,     1.148
  11,  4081,   12,         0,          0,     1.136
  13,  4081,   12,        23,          0,     1.001
  13,  4081,   12,         0,          0,     1.005
  14,     0,   13,        23,          0,     0.903
  14,     0,   13,         0,          0,     0.867
  14,    13,   13,        23,          0,     0.883
  14,    13,   13,         0,          0,     0.926
  12,     0,   13,        23,          0,       1.0
  12,     0,   13,         0,          0,     1.003
  12,    13,   13,        23,          0,     0.999
  12,    13,   13,         0,          0,     1.005
  14,  2048,   13,        23,          0,     0.869
  14,  2048,   13,         0,          0,     0.867
  14,  2061,   13,        23,          0,     0.912
  14,  2061,   13,         0,          0,       0.9
  12,  2048,   13,        23,          0,     1.006
  12,  2048,   13,         0,          0,     0.996
  12,  2061,   13,        23,          0,     0.996
  12,  2061,   13,         0,          0,       1.0
  12,  4081,   13,        23,          0,     1.139
  12,  4081,   13,         0,          0,     1.143
  14,  4081,   13,        23,          0,     1.002
  14,  4081,   13,         0,          0,     1.003
  15,     0,   14,        23,          0,      0.88
  15,     0,   14,         0,          0,     0.916
  15,    14,   14,        23,          0,     0.913
  15,    14,   14,         0,          0,      0.88
  13,     0,   14,        23,          0,     0.999
  13,     0,   14,         0,          0,     0.998
  13,    14,   14,        23,          0,     1.001
  13,    14,   14,         0,          0,     1.006
  15,  2048,   14,        23,          0,     0.876
  15,  2048,   14,         0,          0,     0.881
  15,  2062,   14,        23,          0,     0.937
  15,  2062,   14,         0,          0,     0.916
  13,  2048,   14,        23,          0,     1.003
  13,  2048,   14,         0,          0,     0.993
  13,  2062,   14,        23,          0,     1.003
  13,  2062,   14,         0,          0,     1.001
  13,  4081,   14,        23,          0,      1.15
  13,  4081,   14,         0,          0,     1.104
  15,  4081,   14,        23,          0,     0.999
  15,  4081,   14,         0,          0,     0.999
  16,     0,   15,        23,          0,     0.883
  16,     0,   15,         0,          0,     0.897
  16,    15,   15,        23,          0,     0.866
  16,    15,   15,         0,          0,     0.908
  14,     0,   15,        23,          0,     0.993
  14,     0,   15,         0,          0,     1.001
  14,    15,   15,        23,          0,     0.998
  14,    15,   15,         0,          0,     0.999
  16,  2048,   15,        23,          0,     0.902
  16,  2048,   15,         0,          0,     0.888
  16,  2063,   15,        23,          0,     0.922
  16,  2063,   15,         0,          0,     0.902
  14,  2048,   15,        23,          0,     0.999
  14,  2048,   15,         0,          0,     0.995
  14,  2063,   15,        23,          0,     0.998
  14,  2063,   15,         0,          0,     1.001
  14,  4081,   15,        23,          0,     1.127
