                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   32, alignments in bytes  7/ 1:	12.0498	6.6925	6.7052	8.8374	15.463
Length   32, alignments in bytes  3/ 4:	12.0498	8.04932	8.16333	9.97827	18.5315
Length   32, alignments in bytes  4/ 3:	12.0444	6.70264	6.69543	11.0652	16.0417
Length   32, alignments in bytes  5/ 7:	12.0465	8.04504	8.16211	10.824	17.1123
Length   32, alignments in bytes  7/ 5:	12.0503	6.69556	7.36816	8.82581	15.5685
Length   36, alignments in bytes  0/ 4:	12.0509	8.88892	8.83777	10.0518	13.8716
Length   36, alignments in bytes  4/ 0:	12.0468	7.37097	8.70398	10.0096	16.1376
Length   36, alignments in bytes  4/ 4:	12.0441	9.38147	9.54639	9.47803	14.9979
Length   36, alignments in bytes  2/ 2:	12.0533	9.38074	9.57434	10.4362	20.7595
Length   36, alignments in bytes  2/ 6:	12.0486	11.7526	11.6797	10.3773	23.5642
Length   36, alignments in bytes  6/ 2:	12.0565	7.37024	8.70154	10.3065	15.1665
Length   36, alignments in bytes  1/ 7:	12.0486	10.7266	10.576	10.288	24.8997
Length   36, alignments in bytes  7/ 1:	12.3387	7.54968	8.91187	10.5565	15.3105
Length   36, alignments in bytes  3/ 4:	13.2472	12.054	11.9224	10.2102	21.3351
Length   36, alignments in bytes  4/ 3:	12.3395	10.1315	10.1505	10.399	16.3715
Length   36, alignments in bytes  5/ 7:	12.3422	13.0095	12.5847	11.1196	18.1016
Length   36, alignments in bytes  7/ 5:	12.3402	10.1671	10.1702	11.4476	15.5977
Length   40, alignments in bytes  0/ 4:	12.3385	9.85498	9.62378	10.7063	14.215
Length   40, alignments in bytes  4/ 0:	12.3431	10.4833	10.3682	11.062	17.8091
Length   40, alignments in bytes  4/ 4:	12.3445	10.4839	10.4653	10.6917	16.9218
Length   40, alignments in bytes  2/ 2:	12.3433	10.481	10.4438	10.6697	17.9517
Length   40, alignments in bytes  2/ 6:	12.3435	12.6	12.2418	10.6257	23.6957
Length   40, alignments in bytes  6/ 2:	12.3412	10.5146	10.2646	11.446	17.8065
Length   40, alignments in bytes  1/ 7:	12.3422	12.595	12.2513	10.8035	23.9893
Length   40, alignments in bytes  7/ 1:	12.3412	10.4971	10.3109	9.04602	17.0492
Length   40, alignments in bytes  3/ 4:	12.3383	11.8877	11.7937	11.4244	21.0726
Length   40, alignments in bytes  4/ 3:	12.3412	10.8324	10.4149	10.9312	17.1094
Length   40, alignments in bytes  5/ 7:	12.3429	12.5768	12.2271	11.4131	19.5144
Length   40, alignments in bytes  7/ 5:	12.3409	10.4956	10.2794	9.03345	16.8292
Length   44, alignments in bytes  0/ 4:	12.3386	9.00647	8.92896	10.9144	15.548
Length   44, alignments in bytes  4/ 0:	12.3434	9.57776	9.53247	9.15222	17.1344
Length   44, alignments in bytes  4/ 4:	12.3381	10.8838	10.2268	8.89453	15.6851
Length   44, alignments in bytes  2/ 2:	12.0491	10.3018	10.198	10.4393	20.7585
Length   44, alignments in bytes  2/ 6:	12.0465	11.6755	11.5295	10.6622	25.3387
