                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length  256, alignments in bytes  5/ 5:	24.2197	14.4575	17.6705	18.5609	56.9357
Length  256, alignments in bytes  5/ 5:	24.1583	14.4365	17.6804	18.5624	62.2018
Length  512, alignments in bytes  6/ 4:	31.9849	24.1667	22.9847	27.9355	107.168
Length  512, alignments in bytes  4/ 6:	33.1477	28.4053	27.4431	28.3015	147.825
Length  512, alignments in bytes  6/ 6:	31.2441	20.2198	22.5901	28.1594	108.524
Length  512, alignments in bytes  6/ 6:	31.2189	21.2668	22.5989	28.1818	108.748
Length 1024, alignments in bytes  7/ 6:	49.6567	40.2073	36.4545	47.6803	230.376
Length 1024, alignments in bytes  6/ 7:	66.7804	40.473	35.7507	48.2416	308.004
Length 1024, alignments in bytes  7/ 7:	56.5785	27.7163	28.931	47.7122	238.311
Length 1024, alignments in bytes  7/ 7:	55.6666	27.1173	28.1901	46.5515	230.611
Length   16, alignments in bytes  0/ 4:	17.5365	9.77209	9.64307	8.28931	12.9075
Length   16, alignments in bytes  4/ 0:	15.0027	9.44287	8.95923	8.03442	16.8286
Length   16, alignments in bytes  4/ 4:	15.5049	9.91565	9.47375	8.33679	17.1243
Length   16, alignments in bytes  2/ 2:	10.3431	8.57275	8.41113	5.35327	14.8066
Length   16, alignments in bytes  2/ 6:	10.2119	8.53955	8.42322	7.69946	17.9785
Length   16, alignments in bytes  6/ 2:	10.1943	8.56458	8.40857	5.7323	15.4988
Length   16, alignments in bytes  1/ 7:	10.4904	8.7345	8.6106	5.80603	18.9807
Length   16, alignments in bytes  7/ 1:	10.2887	8.74524	8.61279	5.85681	13.7509
Length   16, alignments in bytes  3/ 4:	10.4025	8.79456	8.62964	5.79626	15.5695
Length   16, alignments in bytes  4/ 3:	10.3337	8.76855	8.61035	5.84741	14.691
Length   16, alignments in bytes  5/ 7:	10.4055	8.74133	8.60693	5.79297	15.068
Length   16, alignments in bytes  7/ 5:	10.288	8.75098	8.60168	6.24475	13.5754
Length   20, alignments in bytes  0/ 4:	10.2546	9.14551	8.3822	7.76782	11.2169
Length   20, alignments in bytes  4/ 0:	10.2169	8.57031	8.40173	6.19727	13.7778
