                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length   16/   1, alignment  2/ 1, N    8:	25.7404	22.9277	23.631	21.4349	24.8643
Length   16/  10, alignment  1/ 1, N    8:	24.8268	22.9273	23.4155	21.4326	24.8668
Length   32/   1, alignment  2/ 4, N    8:	24.8908	22.7471	23.4156	21.4189	25.0102
Length   32/   1, alignment  4/ 2, N    8:	24.4536	22.2179	22.8698	20.9108	24.383
Length   32/  10, alignment  2/ 2, N    8:	24.416	22.2175	22.8863	20.4566	23.764
Length   64/   1, alignment  3/ 6, N    8:	23.7271	21.7125	22.3503	20.4362	23.8008
Length   64/   1, alignment  6/ 3, N    8:	23.7662	21.7127	22.3499	20.4359	23.7192
Length   64/  10, alignment  3/ 3, N    8:	23.7281	21.7126	22.3505	20.4614	23.7393
Length  128/   1, alignment  4/ 0, N    8:	23.8162	21.7125	22.3513	20.435	23.942
Length  128/   1, alignment  0/ 4, N    8:	23.744	21.7125	22.3511	20.4456	23.408
Length  128/  10, alignment  4/ 4, N    8:	23.3981	21.2294	21.8546	20.548	23.7414
Length  256/   1, alignment  5/ 2, N    8:	23.721	21.7112	22.3502	20.436	23.7586
Length  256/   1, alignment  2/ 5, N    8:	23.8208	21.7118	22.3502	20.3884	23.2252
Length  256/  10, alignment  5/ 5, N    8:	23.3824	21.2292	21.8553	20.0034	23.1874
Length  512/   1, alignment  6/ 4, N    8:	23.303	21.2292	21.8553	19.9804	23.2652
Length  512/   1, alignment  4/ 6, N    8:	24.0276	21.7117	22.35	20.4373	23.7391
Length  512/  10, alignment  6/ 6, N    8:	23.6625	21.7117	22.3492	20.3483	23.2136
Length 1024/   1, alignment  7/ 6, N    8:	23.7145	21.7047	21.8545	20.0135	23.2181
Length 1024/   1, alignment  6/ 7, N    8:	23.2846	21.2296	21.8544	20.0003	23.2527
Length 1024/  10, alignment  7/ 7, N    8:	23.5501	21.7112	22.3504	20.4527	23.7487
Length    2/   2, alignment  0/ 2, N   32:	23.9218	21.8955	22.3525	20.5226	24.3083
Length    4/   4, alignment  0/ 0, N   32:	23.7955	22.7155	23.4731	20.6562	23.9896
Length    4/   4, alignment  4/ 0, N   32:	23.7607	21.8034	22.4611	20.3983	23.2609
Length    8/   8, alignment  0/ 0, N   32:	23.1779	22.4099	22.0362	20.0457	23.1726
Length    8/   8, alignment  0/ 0, N   32:	23.1453	22.4913	22.7536	20.4848	23.8209
Length   16/  16, alignment  0/ 0, N   32:	23.7697	21.7123	22.3496	21.9745	23.8641
Length   16/  16, alignment  7/ 2, N   32:	23.9148	21.7126	22.4611	22.0726	24.0427
Length   16/   4, alignment  0/ 0, N   32:	23.9989	23.203	22.3931	21.1732	23.8702
Length   16/   4, alignment  7/ 2, N   32:	23.6373	21.8708	22.3511	21.1667	23.7965
Length   32/  32, alignment  0/ 0, N   32:	24.2708	23.0251	23.6317	22.4477	24.2889
Length   32/  32, alignment  6/ 4, N   32:	28.8443	27.0311	26.1826	25.0406	28.8463
Length   32/   8, alignment  0/ 0, N   32:	23.8267	21.7148	22.3531	21.222	23.8418
Length   32/   8, alignment  6/ 4, N   32:	23.8244	21.7136	22.3502	21.2117	23.8366
Length   64/  64, alignment  0/ 0, N   32:	25.4639	22.355	22.9908	21.7499	24.3499
Length   64/  64, alignment  5/ 6, N   32:	24.4353	22.3493	22.8678	21.2959	23.8051
Length   64/  16, alignment  0/ 0, N   32:	23.2945	21.2297	21.9031	21.5369	23.2935
Length   64/  16, alignment  5/ 6, N   32:	23.6347	21.7125	22.3518	22.0443	23.8242
Length  128/ 128, alignment  0/ 0, N   32:	24.3067	22.633	23.3792	21.7527	24.4218
Length  128/ 128, alignment  4/ 0, N   32:	24.3669	22.6114	23.299	21.7496	24.4187
Length  128/  32, alignment  0/ 0, N   32:	25.3221	22.9901	23.63	22.4855	24.2916
Length  128/  32, alignment  4/ 0, N   32:	24.3667	23.0494	23.6275	22.4476	24.337
Length  256/ 256, alignment  0/ 0, N   32:	28.2619	22.5755	23.2352	21.7591	30.0781
Length  256/ 256, alignment  3/ 2, N   32:	28.4844	22.634	23.099	21.7467	28.502
Length  256/  64, alignment  0/ 0, N   32:	24.4237	22.6208	23.5261	22.2827	24.9892
Length  256/  64, alignment  3/ 2, N   32:	25.0463	22.8716	23.5226	23.0362	25.1571
Length  512/ 512, alignment  0/ 0, N   32:	29.4838	22.8743	23.5407	26.3789	29.6054
Length  512/ 512, alignment  2/ 4, N   32:	29.434	22.8805	23.6948	26.3432	29.7752
Length  512/ 128, alignment  0/ 0, N   32:	25.0358	23.6576	24.2015	22.276	24.8699
Length  512/ 128, alignment  2/ 4, N   32:	24.9121	23.1352	23.824	22.2725	24.9945
Length 1024/1024, alignment  0/ 0, N   32:	30.0705	25.0484	28.6428	37.5494	30.427
Length 1024/1024, alignment  1/ 6, N   32:	30.8823	25.498	29.2041	38.3531	30.7805
Length 1024/ 256, alignment  0/ 0, N   32:	30.339	23.6468	24.3497	23.482	29.6374
Length 1024/ 256, alignment  1/ 6, N   32:	29.758	23.7616	24.4266	22.789	29.5057
Length   16/   1, alignment  1/ 2, N   32:	25.2569	22.8399	23.5297	22.2442	24.8853
Length   16/   1, alignment  2/ 1, N   32:	24.921	22.9111	23.4229	21.6577	24.3331
Length   16/  10, alignment  1/ 1, N   32:	24.5173	22.2174	22.8755	21.6579	24.3633
Length   32/   1, alignment  2/ 4, N   32:	24.4055	22.2156	22.8718	21.7382	24.3053
Length   32/   1, alignment  4/ 2, N   32:	24.6372	22.218	22.8699	21.6375	24.3882
Length   32/  10, alignment  2/ 2, N   32:	24.596	22.218	22.869	21.7353	24.2093
Length   64/   1, alignment  3/ 6, N   32:	23.8455	21.7124	22.3492	21.2496	23.8669
Length   64/   1, alignment  6/ 3, N   32:	23.7123	21.712	22.3504	21.1413	23.7089
Length   64/  10, alignment  3/ 3, N   32:	23.8886	21.7122	22.3518	21.2406	23.9137
Length  128/   1, alignment  4/ 0, N   32:	24.2866	21.7121	22.3498	21.1359	23.8627
Length  128/   1, alignment  0/ 4, N   32:	23.8437	21.7115	22.4676	21.7341	24.5322
Length  128/  10, alignment  4/ 4, N   32:	24.4619	22.2163	22.8713	21.7295	24.1624
Length  256/   1, alignment  5/ 2, N   32:	23.7137	21.7114	22.3515	21.1456	23.7734
Length  256/   1, alignment  2/ 5, N   32:	23.821	21.7125	22.3527	21.2379	23.8391
Length  256/  10, alignment  5/ 5, N   32:	23.9391	21.7124	22.3492	21.2195	23.8644
Length  512/   1, alignment  6/ 4, N   32:	23.757	21.7114	22.3508	21.14	23.7364
Length  512/   1, alignment  4/ 6, N   32:	23.7339	21.7117	22.3522	21.2443	23.7784
Length  512/  10, alignment  6/ 6, N   32:	23.8765	21.7126	22.3504	21.2365	23.8777
Length 1024/   1, alignment  7/ 6, N   32:	23.8451	21.7117	22.3497	21.2271	23.7413
Length 1024/   1, alignment  6/ 7, N   32:	23.7987	21.7117	22.3522	21.2521	23.8759
Length 1024/  10, alignment  7/ 7, N   32:	23.8952	21.7577	21.8539	20.7652	23.3451
Length    2/   2, alignment  0/ 2, N  128:	23.3236	21.7153	22.5685	20.5289	23.6421
Length    4/   4, alignment  0/ 0, N  128:	23.7909	21.8482	22.5358	20.5503	24.0477
Length    4/   4, alignment  4/ 0, N  128:	23.8381	21.8717	22.4421	20.4716	23.9239
Length    8/   8, alignment  0/ 0, N  128:	23.7463	21.713	22.3528	20.4368	23.7008
Length    8/   8, alignment  0/ 0, N  128:	23.7972	21.7867	22.351	20.4618	23.698
Length   16/  16, alignment  0/ 0, N  128:	23.8282	21.8943	22.4594	21.4217	23.8113
Length   16/  16, alignment  7/ 2, N  128:	23.994	21.8535	22.4312	21.4901	23.7669
Length   16/   4, alignment  0/ 0, N  128:	23.3327	21.3692	21.9325	20.3318	23.7881
Length   16/   4, alignment  7/ 2, N  128:	23.8253	21.8581	22.4059	20.507	23.7799
Length   32/  32, alignment  0/ 0, N  128:	24.4595	23.8871	24.8174	23.456	24.3533
