                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length   24, alignments in bytes  4/ 4:	10.1089	8.54578	8.41016	7.08838	15.3464
Length   24, alignments in bytes  2/ 2:	10.3109	8.5415	8.4126	7.07068	15.514
Length   24, alignments in bytes  2/ 6:	10.1312	8.5437	8.39246	8.20984	19.3013
Length   24, alignments in bytes  6/ 2:	10.1351	8.52991	8.41553	7.44897	16.071
Length   24, alignments in bytes  1/ 7:	10.0552	8.55029	8.42493	8.20996	19.8848
Length   24, alignments in bytes  7/ 1:	10.1337	8.66138	8.41284	7.45959	14.6508
Length   24, alignments in bytes  3/ 4:	10.0802	8.61462	8.41052	8.21411	16.863
Length   24, alignments in bytes  4/ 3:	10.184	8.62427	8.42029	7.45959	16.0836
Length   24, alignments in bytes  5/ 7:	10.2354	9.00769	8.90271	8.40527	16.5547
Length   24, alignments in bytes  7/ 5:	10.5845	8.5321	8.40588	7.45862	14.8135
Length   28, alignments in bytes  0/ 4:	10.1731	8.22742	8.13635	8.65015	12.6392
Length   28, alignments in bytes  4/ 0:	10.0768	8.22278	8.32324	8.17224	15.1466
Length   28, alignments in bytes  4/ 4:	10.0421	8.54321	8.40442	8.75989	14.2214
Length   28, alignments in bytes  2/ 2:	10.4968	8.54614	8.41528	7.703	17.524
Length   28, alignments in bytes  2/ 6:	10.1714	8.26526	8.30493	8.64282	21.6215
Length   28, alignments in bytes  6/ 2:	10.0522	8.22668	8.26978	8.17346	14.4534
Length   28, alignments in bytes  1/ 7:	10.4092	8.27344	8.31189	8.60815	22.2222
Length   28, alignments in bytes  7/ 1:	10.2297	8.25024	8.29431	8.73511	13.9589
Length   28, alignments in bytes  3/ 4:	10.3599	8.54553	8.41211	8.73352	19.2887
Length   28, alignments in bytes  4/ 3:	10.1989	8.52747	8.3916	8.03967	15.0079
Length   28, alignments in bytes  5/ 7:	10.208	8.53418	8.40796	8.69629	16.0385
Length   28, alignments in bytes  7/ 5:	10.4293	8.54431	8.41907	8.07446	14.1367
Length   32, alignments in bytes  0/ 4:	11.5629	7.37134	6.89124	8.06091	12.4479
Length   32, alignments in bytes  4/ 0:	11.3932	6.10986	7.37134	9.78711	16.8517
Length   32, alignments in bytes  4/ 4:	11.5525	6.42407	6.71008	9.54675	15.8873
Length   32, alignments in bytes  2/ 2:	11.4905	6.4187	7.36523	9.51636	16.3625
Length   32, alignments in bytes  2/ 6:	11.6404	8.00916	8.16443	9.96716	21.188
Length   32, alignments in bytes  6/ 2:	11.6815	6.70068	6.69177	10.6743	17.1849
Length   32, alignments in bytes  1/ 7:	11.9073	8.22083	8.36389	9.15125	22.0618
Length   32, alignments in bytes  7/ 1:	11.9672	6.20361	6.86304	9.15222	15.9375
Length   32, alignments in bytes  3/ 4:	11.8691	8.22229	8.35815	10.2599	19.1823
Length   32, alignments in bytes  4/ 3:	11.9463	6.85767	6.86597	11.5637	16.5066
Length   32, alignments in bytes  5/ 7:	11.8973	8.2168	8.36267	11.1151	17.6869
Length   32, alignments in bytes  7/ 5:	11.7543	6.19788	6.86157	9.13123	16.0096
Length   36, alignments in bytes  0/ 4:	11.8174	9.23145	9.08411	10.5532	14.1439
Length   36, alignments in bytes  4/ 0:	11.6567	7.88171	7.74683	10.4517	16.5613
Length   36, alignments in bytes  4/ 4:	11.8248	9.68408	10.2889	9.76782	15.4509
Length   36, alignments in bytes  2/ 2:	12.0414	10.8922	10.2827	10.8256	23.4578
Length   36, alignments in bytes  2/ 6:	11.8556	12.0533	12.0824	10.6401	24.4216
Length   36, alignments in bytes  6/ 2:	11.8392	7.86987	7.77429	10.5607	15.6118
Length   36, alignments in bytes  1/ 7:	11.7307	11.1876	10.9003	10.3188	24.5635
Length   36, alignments in bytes  7/ 1:	11.785	6.53137	6.88306	10.5508	15.3317
Length   36, alignments in bytes  3/ 4:	11.8098	12.0623	12.0421	10.2699	21.7743
Length   36, alignments in bytes  4/ 3:	11.7068	10.7914	10.283	10.5043	18.8595
Length   36, alignments in bytes  5/ 7:	11.8492	13.0016	13.0112	11.1392	18.1055
Length   36, alignments in bytes  7/ 5:	11.8198	10.219	10.3013	11.4829	15.6461
Length   40, alignments in bytes  0/ 4:	11.89	9.95374	9.77698	10.8901	14.1887
Length   40, alignments in bytes  4/ 0:	11.6528	10.5891	10.6708	11.0792	17.8507
Length   40, alignments in bytes  4/ 4:	11.8771	11.0524	10.5037	10.4265	16.6272
Length   40, alignments in bytes  2/ 2:	11.5358	10.2721	10.5562	10.4402	17.875
Length   40, alignments in bytes  2/ 6:	11.5272	12.2677	11.9119	10.3701	23.0299
Length   40, alignments in bytes  6/ 2:	11.5812	10.5693	10.3943	11.1957	17.4747
Length   40, alignments in bytes  1/ 7:	11.6288	10.0426	11.9021	10.2886	23.3868
Length   40, alignments in bytes  7/ 1:	11.478	10.3397	10.3883	8.92676	16.7126
Length   40, alignments in bytes  3/ 4:	11.5414	10.0441	11.5676	11.1562	20.6721
Length   40, alignments in bytes  4/ 3:	11.5267	10.3738	10.5414	10.6827	16.6698
Length   40, alignments in bytes  5/ 7:	11.4449	12.2734	11.9019	11.1609	19.1638
Length   40, alignments in bytes  7/ 5:	11.5369	10.5167	10.4751	8.93347	16.5063
Length   44, alignments in bytes  0/ 4:	11.5281	9.60498	8.80969	10.6924	15.1338
Length   44, alignments in bytes  4/ 0:	11.3865	9.41016	9.40796	8.40247	17.5525
Length   44, alignments in bytes  4/ 4:	11.891	10.5253	10.7847	8.7616	16.0519
Length   44, alignments in bytes  2/ 2:	11.7974	10.6451	10.7716	10.704	24.0376
Length   44, alignments in bytes  2/ 6:	11.8317	11.9476	11.8484	10.9585	26.2052
Length   44, alignments in bytes  6/ 2:	11.6948	9.6405	9.65479	10.156	16.6132
Length   44, alignments in bytes  1/ 7:	12.1603	12.5676	12.1722	10.9352	26.4562
Length   44, alignments in bytes  7/ 1:	11.89	9.6134	9.62354	9.0824	16.2183
Length   44, alignments in bytes  3/ 4:	11.9086	10.2874	11.8469	10.2623	23.7836
Length   44, alignments in bytes  4/ 3:	11.7487	10.8615	10.7946	8.7124	17.0151
Length   44, alignments in bytes  5/ 7:	11.7689	10.2871	11.8496	10.1686	20.0366
Length   44, alignments in bytes  7/ 5:	11.7592	10.5862	10.8224	9.94885	16.4894
Length   48, alignments in bytes  0/ 4:	11.8468	9.99951	9.9043	8.8562	15.725
Length   48, alignments in bytes  4/ 0:	11.6553	10.9352	10.7615	9.95129	18.7356
Length   48, alignments in bytes  4/ 4:	11.9246	10.7676	10.9137	10.0159	18.1409
Length   48, alignments in bytes  2/ 2:	11.8323	10.7413	10.9106	10.1423	19.6111
Length   48, alignments in bytes  2/ 6:	11.8256	12.6417	12.1699	10.8684	25.4557
Length   48, alignments in bytes  6/ 2:	11.8444	10.8899	10.808	10.2889	18.2889
Length   48, alignments in bytes  1/ 7:	11.793	12.6429	12.1637	9.56689	25.8373
Length   48, alignments in bytes  7/ 1:	11.9708	10.9209	10.8215	9.96191	17.9425
Length   48, alignments in bytes  3/ 4:	11.7446	10.2897	11.8143	10.0973	23.0856
Length   48, alignments in bytes  4/ 3:	12.4916	10.8976	10.9761	10.9193	17.9222
Length   48, alignments in bytes  5/ 7:	11.7716	12.637	12.1707	12.2085	21.9098
Length   48, alignments in bytes  7/ 5:	11.9075	10.9062	10.8405	9.96191	17.5211
Length   52, alignments in bytes  0/ 4:	11.8101	9.25073	9.04358	10.8499	16.974
Length   52, alignments in bytes  4/ 0:	11.6541	10.5735	10.8833	10.6055	17.8873
Length   52, alignments in bytes  4/ 4:	11.9359	10.8842	10.926	10.0173	17.1798
Length   52, alignments in bytes  2/ 2:	11.9331	10.7458	10.9342	12.2803	24.0142
Length   52, alignments in bytes  2/ 6:	11.913	11.9969	11.8253	11.8716	27.8002
Length   52, alignments in bytes  6/ 2:	11.807	10.5387	10.9174	11.4679	17.3228
Length   52, alignments in bytes  1/ 7:	11.8607	12.6382	12.1659	11.5856	28.2847
