                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length   24, alignments in bytes  4/ 3:	10.972	8.71533	8.61926	7.64966	15.5015
Length   24, alignments in bytes  5/ 7:	10.9733	9.73914	8.60767	8.41821	16.4711
Length   24, alignments in bytes  7/ 5:	10.972	8.7262	8.61365	7.63037	14.9663
Length   28, alignments in bytes  0/ 4:	10.972	8.41138	8.37195	8.82703	12.9984
Length   28, alignments in bytes  4/ 0:	10.9718	8.19531	8.26685	8.37549	15.4618
Length   28, alignments in bytes  4/ 4:	10.9727	8.71509	8.61292	7.89453	14.4955
Length   28, alignments in bytes  2/ 2:	10.9722	8.72253	8.61487	7.9054	19.8939
Length   28, alignments in bytes  2/ 6:	10.9713	8.46606	8.5155	8.81812	22.1519
Length   28, alignments in bytes  6/ 2:	10.9713	8.12842	8.25623	8.36511	14.7416
Length   28, alignments in bytes  1/ 7:	10.9749	8.45374	8.50684	8.80469	22.8462
Length   28, alignments in bytes  7/ 1:	10.9713	8.39709	8.24011	8.94873	14.1439
Length   28, alignments in bytes  3/ 4:	10.9718	8.72705	8.61584	8.95837	19.4802
Length   28, alignments in bytes  4/ 3:	10.9711	8.73096	8.61829	8.23926	15.3373
Length   28, alignments in bytes  5/ 7:	11.8417	8.75	8.61841	8.90344	16.3707
Length   28, alignments in bytes  7/ 5:	10.972	8.73242	9.38098	8.26465	14.3638
Length   32, alignments in bytes  0/ 4:	12.3555	6.95337	6.9375	8.28662	12.7417
Length   32, alignments in bytes  4/ 0:	12.3414	6.87048	6.85986	9.73499	17.2196
Length   32, alignments in bytes  4/ 4:	12.354	6.87268	6.86743	9.68994	16.1775
Length   32, alignments in bytes  2/ 2:	12.3409	6.86438	6.86438	9.85132	16.5953
Length   32, alignments in bytes  2/ 6:	12.3436	8.24475	8.37231	10.321	21.8293
Length   32, alignments in bytes  6/ 2:	12.3444	6.86462	7.5509	10.1344	17.0386
Length   32, alignments in bytes  1/ 7:	12.3447	8.2478	8.37097	9.16882	22.1637
Length   32, alignments in bytes  7/ 1:	12.3431	6.85852	6.87024	9.04675	15.7688
Length   32, alignments in bytes  3/ 4:	12.3486	8.25171	8.37024	10.2208	19.0293
Length   32, alignments in bytes  4/ 3:	12.3412	6.86841	6.85571	11.3738	16.4138
Length   32, alignments in bytes  5/ 7:	12.3441	8.23877	8.37195	11.1606	17.5349
Length   32, alignments in bytes  7/ 5:	12.339	6.86206	6.8562	9.04333	15.8035
Length   36, alignments in bytes  0/ 4:	12.3417	9.11523	9.04675	10.2938	14.2351
Length   36, alignments in bytes  4/ 0:	12.3424	7.60095	7.60046	10.2715	16.5171
Length   36, alignments in bytes  4/ 4:	12.3448	9.61658	9.63684	9.70776	15.3616
Length   36, alignments in bytes  2/ 2:	12.3395	9.61938	9.61292	10.6948	21.2681
Length   36, alignments in bytes  2/ 6:	12.3397	11.933	11.9585	10.6375	24.4216
Length   36, alignments in bytes  6/ 2:	12.3379	7.55298	7.63513	10.5583	15.5514
Length   36, alignments in bytes  1/ 7:	12.3419	10.9716	10.8519	10.4673	24.791
Length   36, alignments in bytes  7/ 1:	12.3383	7.55139	7.54138	10.5537	15.3125
Length   36, alignments in bytes  3/ 4:	12.3395	11.9	11.9193	10.214	21.3337
Length   36, alignments in bytes  4/ 3:	12.3427	11.7499	10.0953	10.8345	18.2471
Length   36, alignments in bytes  5/ 7:	10.9741	13.0093	12.6008	11.2329	18.1119
Length   36, alignments in bytes  7/ 5:	10.9751	10.2036	10.1693	11.4448	15.5509
Length   40, alignments in bytes  0/ 4:	10.9755	9.84558	9.70178	10.7468	14.2196
Length   40, alignments in bytes  4/ 0:	10.9725	10.4912	10.3691	11.0503	17.726
Length   40, alignments in bytes  4/ 4:	11.032	10.4612	10.4894	10.699	16.9005
Length   40, alignments in bytes  2/ 2:	12.3387	10.4795	10.4832	10.6938	19.2426
Length   40, alignments in bytes  2/ 6:	12.3392	12.5784	12.2249	10.6157	23.6749
Length   40, alignments in bytes  6/ 2:	12.3384	10.4839	10.349	11.4614	17.8396
Length   40, alignments in bytes  1/ 7:	12.3407	12.5751	12.229	10.73	24.0305
Length   40, alignments in bytes  7/ 1:	12.3411	10.4869	10.4214	9.06335	17.0264
Length   40, alignments in bytes  3/ 4:	12.3419	11.8566	11.8229	11.4196	21.0961
Length   40, alignments in bytes  4/ 3:	12.3422	10.507	10.4113	10.9458	17.04
Length   40, alignments in bytes  5/ 7:	12.3427	12.5803	12.2446	11.4269	19.4956
Length   40, alignments in bytes  7/ 5:	12.3405	10.7988	10.4084	9.05444	16.7841
Length   44, alignments in bytes  0/ 4:	12.3439	9.02197	8.81982	10.9236	15.4972
Length   44, alignments in bytes  4/ 0:	12.3376	9.52417	9.53894	9.11609	17.1035
Length   44, alignments in bytes  4/ 4:	12.3429	10.5571	10.46	9.15588	16.0177
Length   44, alignments in bytes  2/ 2:	12.3427	10.4961	10.4944	10.6978	20.6371
Length   44, alignments in bytes  2/ 6:	12.3438	11.9664	11.7805	10.924	26.0294
Length   44, alignments in bytes  6/ 2:	12.3438	9.51538	9.48938	10.5806	16.4868
Length   44, alignments in bytes  1/ 7:	12.3427	13.4011	12.2462	10.9209	26.4424
Length   44, alignments in bytes  7/ 1:	10.9768	9.54126	9.55005	9.36951	16.1703
Length   44, alignments in bytes  3/ 4:	10.9747	11.859	11.7916	10.2117	23.6892
Length   44, alignments in bytes  4/ 3:	10.9744	10.4694	10.4493	9.17896	16.9908
Length   44, alignments in bytes  5/ 7:	10.9766	11.8682	11.7964	10.4369	20.1139
Length   44, alignments in bytes  7/ 5:	10.9764	10.4847	10.4126	9.9845	16.5055
Length   48, alignments in bytes  0/ 4:	10.9749	9.98645	9.62549	9.21057	15.7578
Length   48, alignments in bytes  4/ 0:	10.9773	10.5236	10.2877	9.97009	18.6831
Length   48, alignments in bytes  4/ 4:	10.9978	10.4871	10.5085	10.0537	18.0463
Length   48, alignments in bytes  2/ 2:	12.3458	10.4966	10.459	10.6924	19.4254
Length   48, alignments in bytes  2/ 6:	12.3457	12.6338	12.2473	11.2203	25.5415
Length   48, alignments in bytes  6/ 2:	12.3439	10.8538	10.3201	10.296	18.2611
Length   48, alignments in bytes  1/ 7:	12.3431	12.5963	12.281	10.0161	25.8406
Length   48, alignments in bytes  7/ 1:	12.3434	10.8483	10.328	10.005	17.9785
Length   48, alignments in bytes  3/ 4:	12.3434	11.9221	11.8121	10.1731	23.0353
Length   48, alignments in bytes  4/ 3:	12.3439	10.5072	10.4329	10.9171	17.923
Length   48, alignments in bytes  5/ 7:	12.3431	12.5994	12.2305	11.9852	21.7444
Length   48, alignments in bytes  7/ 5:	12.3395	10.8444	10.3047	9.99829	17.519
Length   52, alignments in bytes  0/ 4:	12.3395	9.1897	8.89893	10.8884	17.0264
Length   52, alignments in bytes  4/ 0:	12.34	10.514	10.4065	10.6434	18.0061
