                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length   64/  10, alignment  3/ 3:	27.9269	25.6244	26.6113	25.0213	37.5794
Length   64/  10, alignment  3/ 3:	27.876	25.6403	26.5817	25.0336	37.3956
Length  128/   1, alignment  4/ 0:	30.6247	30.241	30.6923	30.4516	34.3149
Length  128/   1, alignment  0/ 4:	28.472	27.558	28.6936	28.0317	35.0624
Length  128/  10, alignment  4/ 4:	30.5715	29.9139	30.1917	29.784	54.2072
Length  128/  10, alignment  4/ 4:	30.715	29.9133	30.2396	29.8401	54.6371
Length  256/   1, alignment  5/ 2:	32.212	31.5639	32.3391	42.8829	56.7153
Length  256/   1, alignment  2/ 5:	34.277	33.4195	34.1256	44.31	77.5845
Length  256/  10, alignment  5/ 5:	34.4859	33.4331	34.0737	43.1558	89.547
Length  256/  10, alignment  5/ 5:	34.6049	33.4414	34.0777	43.1836	89.2311
Length  512/   1, alignment  6/ 4:	40.4397	39.4767	40.0252	50.9788	104.188
Length  512/   1, alignment  4/ 6:	42.7738	42.5018	42.8173	53.3978	145.234
Length  512/  10, alignment  6/ 6:	42.9115	42.349	43.2092	53.2335	163.891
Length  512/  10, alignment  6/ 6:	42.8196	41.4591	42.41	53.4774	163.606
Length 1024/   1, alignment  7/ 6:	39.5447	38.9948	40.6564	56.4834	226.361
Length 1024/   1, alignment  6/ 7:	61.6715	61.2789	61.0777	69.7498	287.243
Length 1024/  10, alignment  7/ 7:	61.6345	61.3877	61.8109	68.7154	342.305
Length 1024/  10, alignment  7/ 7:	59.6263	59.3633	60.5193	64.6013	344.788
