                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length 1024/ 256, alignment  1/ 6, N    8:	29.1725	23.4145	24.096	22.0778	29.0202
Length   16/   1, alignment  1/ 2, N    8:	24.8979	22.9299	23.6315	21.5405	24.8752
Length   16/   1, alignment  2/ 1, N    8:	24.8606	22.9279	23.6299	21.4705	24.9564
Length   16/  10, alignment  1/ 1, N    8:	24.2802	22.3938	22.8702	20.9254	24.3796
Length   32/   1, alignment  2/ 4, N    8:	24.3332	22.2177	22.8711	20.9988	24.4978
Length   32/   1, alignment  4/ 2, N    8:	24.3255	22.2173	22.8701	20.9109	24.6465
Length   32/  10, alignment  2/ 2, N    8:	23.748	21.7115	22.3511	20.4435	23.7676
Length   64/   1, alignment  3/ 6, N    8:	23.728	21.7112	22.351	20.5582	23.8211
Length   64/   1, alignment  6/ 3, N    8:	23.7419	21.7112	22.3506	20.4346	24.221
Length   64/  10, alignment  3/ 3, N    8:	23.717	21.7115	22.3515	20.4432	23.8884
Length  128/   1, alignment  4/ 0, N    8:	23.7037	21.7115	22.352	20.5357	23.8317
Length  128/   1, alignment  0/ 4, N    8:	23.7438	21.7115	22.3518	20.4922	23.7073
Length  128/  10, alignment  4/ 4, N    8:	23.2053	21.2297	21.8528	20.0003	23.1705
Length  256/   1, alignment  5/ 2, N    8:	23.295	21.2299	22.2943	20.5165	23.9947
Length  256/   1, alignment  2/ 5, N    8:	23.7811	21.5737	21.8533	20.0443	23.2567
Length  256/  10, alignment  5/ 5, N    8:	23.3345	21.2297	21.8535	19.9991	23.8384
Length  512/   1, alignment  6/ 4, N    8:	23.9414	21.712	22.3497	20.4366	23.983
Length  512/   1, alignment  4/ 6, N    8:	23.7626	21.4417	21.8533	20.0266	23.1732
Length  512/  10, alignment  6/ 6, N    8:	23.7383	21.7114	22.3513	20.4519	23.8119
Length 1024/   1, alignment  7/ 6, N    8:	23.7213	21.7114	22.3513	20.4934	23.8446
Length 1024/   1, alignment  6/ 7, N    8:	23.7178	21.7115	22.3515	20.4993	23.6922
Length 1024/  10, alignment  7/ 7, N    8:	23.8384	21.2298	21.8532	19.9989	23.2363
Length    2/   2, alignment  0/ 2, N   32:	23.4196	21.5432	21.8569	20.2297	24.497
Length    4/   4, alignment  0/ 0, N   32:	23.929	21.7159	22.5126	20.5058	23.8029
Length    4/   4, alignment  4/ 0, N   32:	23.9643	21.8038	22.4608	20.4806	23.9469
Length    8/   8, alignment  0/ 0, N   32:	23.6628	21.7569	22.4439	20.5304	23.7583
Length    8/   8, alignment  0/ 0, N   32:	23.8281	21.757	22.5333	20.4412	23.7186
Length   16/  16, alignment  0/ 0, N   32:	23.842	21.7139	22.3507	22.4572	23.8321
Length   16/  16, alignment  7/ 2, N   32:	23.2238	21.23	21.9586	21.8183	23.8614
Length   16/   4, alignment  0/ 0, N   32:	23.8869	21.7123	22.3323	20.707	23.3433
Length   16/   4, alignment  7/ 2, N   32:	23.2604	21.4949	22.3499	21.1582	23.7222
Length   32/  32, alignment  0/ 0, N   32:	24.2706	23.0263	23.6302	22.4585	24.2687
Length   32/  32, alignment  6/ 4, N   32:	28.8197	25.7095	26.1811	25.1174	28.8541
Length   32/   8, alignment  0/ 0, N   32:	23.4736	21.231	21.8568	20.7672	23.3109
Length   32/   8, alignment  6/ 4, N   32:	23.205	21.2295	21.8547	21.3514	24.3629
Length   64/  64, alignment  0/ 0, N   32:	24.3492	22.3522	22.9901	21.799	24.4823
Length   64/  64, alignment  5/ 6, N   32:	24.0713	21.8548	22.4772	21.3419	24.3635
Length   64/  16, alignment  0/ 0, N   32:	23.871	21.7131	22.352	21.9302	23.915
Length   64/  16, alignment  5/ 6, N   32:	23.817	21.7117	22.3497	22.0169	23.8053
Length  128/ 128, alignment  0/ 0, N   32:	24.4487	22.63	23.3664	21.7504	24.4765
Length  128/ 128, alignment  4/ 0, N   32:	24.4281	22.6297	23.407	21.8101	25.3809
Length  128/  32, alignment  0/ 0, N   32:	24.2682	22.9986	23.6299	22.5359	24.267
Length  128/  32, alignment  4/ 0, N   32:	24.3513	22.9931	23.6289	22.4869	24.3591
Length  256/ 256, alignment  0/ 0, N   32:	28.4676	22.5707	23.1966	21.8347	28.1486
Length  256/ 256, alignment  3/ 2, N   32:	28.6583	23.1552	23.7539	22.2408	29.1206
Length  256/  64, alignment  0/ 0, N   32:	25.0196	22.8705	23.5247	22.3446	24.937
Length  256/  64, alignment  3/ 2, N   32:	25.0014	22.8715	23.5964	22.3399	25.0453
Length  512/ 512, alignment  0/ 0, N   32:	29.5765	23.2031	23.6014	25.4433	29.7281
Length  512/ 512, alignment  2/ 4, N   32:	39.7133	23.1367	23.5543	25.4331	29.7007
Length  512/ 128, alignment  0/ 0, N   32:	25.0822	23.1608	23.7472	22.3013	25.0383
Length  512/ 128, alignment  2/ 4, N   32:	24.8676	23.2174	23.764	22.2663	25.0518
Length 1024/1024, alignment  0/ 0, N   32:	28.763	25.0087	28.6151	37.3929	28.7615
Length 1024/1024, alignment  1/ 6, N   32:	30.6237	25.4655	29.7336	38.4575	30.115
